name	term	lev	seq	value
"TORC1 complex"	GO:0031931	2	"Akt1s1"	0.00287171691664583
"TORC1 complex"	GO:0031931	2	"Larp1"	0.0470177588828949
"TORC1 complex"	GO:0031931	2	"Mlst8"	0.0423555154542181
"TORC1 complex"	GO:0031931	2	"Mtor"	0.172062976593347
"TORC1 complex"	GO:0031931	2	"Rptor"	0.0470177588828949
"TORC1 complex"	GO:0031931	2	"Telo2"	0.286258810287018
"TORC1 complex"	GO:0031931	2	"Tti1"	0.0937737751270276
"COPI vesicle coat"	GO:0030126	4	"1190002N15Rik"	0.0470177588828949
"COPI vesicle coat"	GO:0030126	4	"Arcn1"	0.375403086770664
"COPI vesicle coat"	GO:0030126	4	"Copa"	0.0151490919456098
"COPI vesicle coat"	GO:0030126	4	"Copb1"	0.000249974166616384
"COPI vesicle coat"	GO:0030126	4	"Copb2"	0.000249974166616384
"COPI vesicle coat"	GO:0030126	4	"Cope"	0.000249974166616384
"COPI vesicle coat"	GO:0030126	4	"Copg1"	0.000249974166616384
"COPI vesicle coat"	GO:0030126	4	"Copg2"	0.061552764059077
"COPI vesicle coat"	GO:0030126	4	"Copz1"	0.189002355874167
"COPI vesicle coat"	GO:0030126	4	"Copz2"	0.000249974166616384
"COPI vesicle coat"	GO:0030126	4	"Scyl1"	0.000249974166616384
"COPI vesicle coat"	GO:0030126	4	"Tmed3"	0.298460944550332
"apical cortex"	GO:0045179	2	"Khdc3"	0.0470177588828949
"apical cortex"	GO:0045179	2	"Myo5b"	1.04265535314719
"apical cortex"	GO:0045179	2	"Nlrp5"	0.000249974166616384
"apical cortex"	GO:0045179	2	"Prkcz"	0.000249974166616384
"apical cortex"	GO:0045179	2	"Sptbn5"	0.0470177588828949
"apical cortex"	GO:0045179	2	"Tchp"	0.00287171691664583
"Arp2/3 protein complex"	GO:0005885	4	"Actr2"	3.11040478374131
"Arp2/3 protein complex"	GO:0005885	4	"Actr3"	1.14902579284897
"Arp2/3 protein complex"	GO:0005885	4	"Actr3b"	0.0470177588828949
"Arp2/3 protein complex"	GO:0005885	4	"Arpc1a"	0.255313905805818
"Arp2/3 protein complex"	GO:0005885	4	"Arpc1b"	2.26796043518259
"Arp2/3 protein complex"	GO:0005885	4	"Arpc2"	0.159301563145237
"Arp2/3 protein complex"	GO:0005885	4	"Arpc3"	0.000249974166616384
"Arp2/3 protein complex"	GO:0005885	4	"Arpc4"	0.117185127124867
