"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
649 0.23590785000978 3 30 "GO:0000118" "histone deacetylase complex" 0.611975517934259
398 0.292588834828594 2 63 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.67208524435875
827 0.0936457099452544 2 37 "GO:0000139" "Golgi membrane" 0.383396553658218
-1306 0.00898776364121356 3 36 "GO:0000152" "nuclear ubiquitin ligase complex" 0.093511152557693
-645 0.568589592150623 4 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.810939254378757
-916 0.252699298171489 2 14 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.630389647051456
-524 0.445911627530278 3 19 "GO:0000178" "exosome (RNase complex)" 0.758812940736121
-175 0.698753478789984 3 44 "GO:0000228" "nuclear chromosome" 0.890718720215804
-1753 0.0642202458250581 3 10 "GO:0000242" "pericentriolar material" 0.312884479795751
76 0.898574028915136 3 25 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.964492910129643
-3331 0.0128826084330451 4 5 "GO:0000346" "transcription export complex" 0.113497411005056
-229 0.851512048441798 5 6 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 0.956301041296146
-228 0.768556581040611 4 15 "GO:0000407" "pre-autophagosomal structure" 0.931908328230427
326 0.718482530140671 2 11 "GO:0000421" "autophagic vacuole membrane" 0.902642312234489
-443 0.717172178165654 4 6 "GO:0000439" "core TFIIH complex" 0.902642312234489
594 0.387621940580654 2 19 "GO:0000502" "proteasome complex" 0.72708466456689
-919 0.00768251873219078 2 76 "GO:0000775" "chromosome, centromeric region" 0.0885953415213408
-624 0.0328520129797091 3 106 "GO:0000776" "kinetochore" 0.213263187117161
-732 0.360716793160824 2 14 "GO:0000777" "condensed chromosome kinetochore" 0.723512645648223
-2015 0.0750297031979308 3 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.328662931729046
-939 0.22473588921718 5 15 "GO:0000779" "condensed chromosome, centromeric region" 0.602250299358426
-828 0.359387319889501 2 11 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.723512645648223
-179 0.528212755180151 2 112 "GO:0000781;GO:0000784" "chromosome, telomeric region" 0.806538799454246
-1733 0.125890162852172 4 7 "GO:0000783;GO:0000782;GO:0070187" "telosome" 0.458741116990114
472 0.0116879424433372 2 262 "GO:0000785" "chromatin" 0.104292409494393
-365 0.465659518709324 2 36 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.78284788652582
-594 0.341807924087591 3 23 "GO:0000788" "nuclear nucleosome" 0.704471162666243
631 0.00613200003149788 2 172 "GO:0000790" "nuclear chromatin" 0.0790346670726393
-411 0.249061843891909 5 71 "GO:0000792" "heterochromatin" 0.627832004680038
-568 0.208964221089672 4 44 "GO:0000793" "condensed chromosome" 0.593628970932293
-749 0.194431726668307 4 27 "GO:0000794" "condensed nuclear chromosome" 0.583061230411152
-2006 0.0095007824429219 5 15 "GO:0000795" "synaptonemal complex" 0.097243302651083
-636 0.602846252870373 4 6 "GO:0000796" "condensin complex" 0.829211446635928
-1931 0.088095967177632 2 7 "GO:0000798" "nuclear cohesin complex" 0.36696069983741
-2613 0.000732244017381347 2 15 "GO:0000800" "lateral element" 0.0188756235591636
131 0.837045474095965 4 22 "GO:0000803" "sex chromosome" 0.956301041296146
1073 0.343126040436575 2 7 "GO:0000805" "X chromosome" 0.704471162666243
1505 0.218520147190104 2 6 "GO:0000812" "Swr1 complex" 0.601416600990923
-1026 0.0204250193494711 4 46 "GO:0000922" "spindle pole" 0.158542406016642
1015 0.448742400863596 3 5 "GO:0000923" "equatorial microtubule organizing center" 0.759914138688717
-21 0.97937074691123 4 14 "GO:0000930" "gamma-tubulin complex" 0.996552689839497
448 0.333137745060232 4 42 "GO:0000932" "cytoplasmic mRNA processing body" 0.694203205275214
-331 0.702098511383028 4 12 "GO:0000940" "condensed chromosome outer kinetochore" 0.893346551960855
-1937 0.0319857326473567 3 11 "GO:0000974" "Prp19 complex" 0.210019527571323
-690 0.572598936133847 2 6 "GO:0001650" "fibrillar center" 0.812263580654028
-2478 0.0642851732913683 2 5 "GO:0001651" "dense fibrillar component" 0.312884479795751
-399 0.497488161739528 2 26 "GO:0001669" "acrosomal vesicle" 0.800499062326613
861 0.0516536096535727 2 46 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.266303054213975
-147 0.7627847193973 3 38 "GO:0001726" "ruffle" 0.931767999438663
-1344 0.315694573821352 2 5 "GO:0001739" "sex chromatin" 0.685268119801613
1442 0.28164848893975 5 5 "GO:0001740" "Barr body" 0.660024741757798
-51 0.948972633412975 2 14 "GO:0001741" "XY body" 0.987435137439172
-17 0.974385533160945 5 31 "GO:0001750" "photoreceptor outer segment" 0.994318391939786
-87 0.907305382995326 2 16 "GO:0001772" "immunological synapse" 0.970022344953528
2265 0.00882715823111103 2 12 "GO:0001891" "phagocytic cup" 0.093511152557693
-673 0.211494029950359 3 31 "GO:0001917" "photoreceptor inner segment" 0.595950788847975
-1910 0.118329929115773 3 6 "GO:0001931" "uropod" 0.435754659600942
-1421 0.245149524623223 5 6 "GO:0001939;GO:0001940" "male pronucleus" 0.620451160500957
-398 0.707275151599913 2 8 "GO:0002080" "acrosomal membrane" 0.896654837000983
1449 0.0306491519144151 2 20 "GO:0002102" "podosome" 0.203160092689837
-71 0.946835385982451 3 8 "GO:0002178;GO:0017059;GO:0031211" "palmitoyltransferase complex" 0.987435137439172
-120 0.230043366672517 1 985 "GO:0005576" "extracellular region" 0.604189370581403
643 0.631167234635804 2 5 "GO:0005577" "fibrinogen complex" 0.841669024799505
