15-100,15100,CA1,100_CA1_1,100_CA1_1_S21_L002_R1_001.fastq.gz
15-100,15100,CA1,100_CA1_2,100_CA1_2_S22_L002_R1_001.fastq.gz
15-100,15100,CA1,100_CA1_3,100_CA1_3_S23_L002_R1_001.fastq.gz
15-100,15100,CA3,100_CA3_1,100_CA3_1_S24_L002_R1_001.fastq.gz
15-100,15100,CA3,100_CA3_4,100_CA3_4_S25_L002_R1_001.fastq.gz
15-100,15100,DG,100_DG_2,100_DG_2_S26_L002_R1_001.fastq.gz
15-100,15100,DG,100_DG_3,100_DG_3_S27_L002_R1_001.fastq.gz
15-101,15101,CA1,101_CA1_1,101_CA1_1_S28_L002_R1_001.fastq.gz
15-101,15101,CA1,101_CA1_2,101_CA1_2_S29_L002_R1_001.fastq.gz
15-101,15101,CA1,101_CA1_3,101_CA1_3_S30_L002_R1_001.fastq.gz
15-101,15101,CA3,101_CA3_1,101_CA3_1_S31_L002_R1_001.fastq.gz
15-101,15101,CA3,101_CA3_4,101_CA3_4_S32_L002_R1_001.fastq.gz
15-101,15101,DG,101_DG_3,101_DG_3_S33_L002_R1_001.fastq.gz
15-101,15101,DG,101_DG_4,101_DG_4_S34_L002_R1_001.fastq.gz
15-143A,15143A,CA3,143A_CA3_1,143A_CA3_1_S35_L002_R1_001.fastq.gz
15-143A,15143A,DG,143A_DG_1,143A_DG_1_S36_L002_R1_001.fastq.gz
15-143B,15143B,CA1,143B_CA1_1,143B_CA1_1_S37_L002_R1_001.fastq.gz
15-143B,15143B,DG,143B_DG_1,143B_DG_1_S38_L002_R1_001.fastq.gz
15-143C,15143C,CA1,143C_CA1_1,143C_CA1_1_S39_L002_R1_001.fastq.gz
15-143D,15143D,CA1,143D_CA1_3,143D_CA1_3_S40_L002_R1_001.fastq.gz
15-143D,15143D,DG,143D_DG_3,143D_DG_3_S41_L002_R1_001.fastq.gz
15-144A,15144A,CA1,144A_CA1_2,144A_CA1_2_S42_L002_R1_001.fastq.gz
15-144A,15144A,CA3,144A_CA3_2,144A_CA3_2_S43_L002_R1_001.fastq.gz
15-144A,15144A,DG,144A_DG_2,144A_DG_2_S44_L002_R1_001.fastq.gz
15-144B,15144B,CA1,144B_CA1_1,144B_CA1_1_S45_L002_R1_001.fastq.gz
15-144B,15144B,CA3,144B_CA3_1,144B_CA3_1_S46_L002_R1_001.fastq.gz
15-144C,15144C,CA1,144C_CA1_2,144C_CA1_2_S47_L002_R1_001.fastq.gz
15-144C,15144C,CA3,144C_CA3_2,144C_CA3_2_S48_L002_R1_001.fastq.gz
15-144C,15144C,DG,144C_DG_2,144C_DG_2_S49_L002_R1_001.fastq.gz
15-144D,15144D,CA3,144D_CA3_2,144D_CA3_2_S50_L002_R1_001.fastq.gz
15-144D,15144D,DG,144D_DG_2,144D_DG_2_S51_L002_R1_001.fastq.gz
15-145A,15145A,CA1,145A_CA1_2,145A_CA1_2_S52_L002_R1_001.fastq.gz
15-145A,15145A,CA3,145A_CA3_2,145A_CA3_2_S53_L002_R1_001.fastq.gz
15-145A,15145A,DG,145A_DG_2,145A_DG_2_S54_L002_R1_001.fastq.gz
15-145B,15145B,CA1,145B_CA1_1,145B_CA1_1_S55_L002_R1_001.fastq.gz
15-145B,15145B,CA3,145B_CA3_1,145B_CA3_1_S56_L002_R1_001.fastq.gz
15-145B,15145B,DG,145B_DG_1,145B_DG_1_S57_L002_R1_001.fastq.gz
15-146A,15146A,CA1,146A_CA1_2,146A_CA1_2_S58_L003_R1_001.fastq.gz
15-146A,15146A,CA3,146A_CA3_2,146A_CA3_2_S59_L003_R1_001.fastq.gz
15-146A,15146A,DG,146A_DG_2,146A_DG_2_S60_L003_R1_001.fastq.gz
15-146B,15146B,CA1,146B_CA1_2,146B_CA1_2_S61_L003_R1_001.fastq.gz
15-146B,15146B,CA3,146B_CA3_2,146B_CA3_2_S62_L003_R1_001.fastq.gz
15-146B,15146B,DG,146B_DG_2,146B_DG_2_S63_L003_R1_001.fastq.gz
15-146C,15146C,CA1,146C_CA1_4,146C_CA1_4_S64_L003_R1_001.fastq.gz
15-146C,15146C,CA3,146C_CA3_4,146C_CA3_4_S65_L003_R1_001.fastq.gz
15-146C,15146C,DG,146C_DG_4,146C_DG_4_S66_L003_R1_001.fastq.gz
15-146D,15146D,CA1,146D_CA1_3,146D_CA1_3_S67_L003_R1_001.fastq.gz
15-146D,15146D,CA3,146D_CA3_3,146D_CA3_3_S68_L003_R1_001.fastq.gz
15-146D,15146D,DG,146D_DG_3,146D_DG_3_S69_L003_R1_001.fastq.gz
15-147,15147,CA1,147_CA1_4,147_CA1_4_S76_L003_R1_001.fastq.gz
15-147,15147,CA3,147_CA3_4,147_CA3_4_S77_L003_R1_001.fastq.gz
15-147C,15147C,CA1,147C_CA1_3,147C_CA1_3_S70_L003_R1_001.fastq.gz
15-147C,15147C,CA3,147C_CA3_3,147C_CA3_3_S71_L003_R1_001.fastq.gz
15-147C,15147C,DG,147C_DG_3,147C_DG_3_S72_L003_R1_001.fastq.gz
15-147D,15147D,CA1,147D_CA1_1,147D_CA1_1_S73_L003_R1_001.fastq.gz
15-147D,15147D,CA3,147D_CA3_1,147D_CA3_1_S74_L003_R1_001.fastq.gz
15-147D,15147D,DG,147D_DG_1,147D_DG_1_S75_L003_R1_001.fastq.gz
15-147,15147,DG,147_DG_4,147_DG_4_S78_L003_R1_001.fastq.gz
15-148A,15148A,CA1,148A_CA1_3,148A_CA1_3_S79_L003_R1_001.fastq.gz
15-148A,15148A,CA3,148A_CA3_3,148A_CA3_3_S80_L003_R1_001.fastq.gz
15-148A,15148A,DG,148A_DG_3,148A_DG_3_S81_L003_R1_001.fastq.gz
15-148B,15148B,CA1,148B_CA1_4,148B_CA1_4_S82_L003_R1_001.fastq.gz
15-148B,15148B,CA3,148B_CA3_4,148B_CA3_4_S83_L003_R1_001.fastq.gz
15-148B,15148B,DG,148B_DG_4,148B_DG_4_S84_L003_R1_001.fastq.gz
15-148,15148,CA1,148_CA1_2,148_CA1_2_S85_L003_R1_001.fastq.gz
15-148,15148,CA3,148_CA3_2,148_CA3_2_S86_L003_R1_001.fastq.gz
15-148,15148,DG,148_DG_2,148_DG_2_S87_L003_R1_001.fastq.gz
