	dg_d_1	dg_d_2	dg_d_3	dg_v_1	dg_v_2	dg_v_3	ca4_1	ca4_2	ca4_3	ca3_d_1	ca3_d_2	ca3_d_3	ca3_v_1	ca3_v_2	ca3_v_3	ca2_1	ca2_2	ca2_3	ca1_d_1	ca1_d_2	ca1_d_3	ca1_v_1	ca1_v_2	ca1_v_3
ENSMUSG00000000001	107	333	182	520	575	567	516	1169	510	916	1049	1189	809	721	978	648	757	585	684	798	419	316	128	214
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	0	1	0	87	22	9	37	37	19	20	12	17	27	54	55	88	66	81	1	12	12	23	1	1
ENSMUSG00000000031	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037	0	0	1	4	25	9	4	0	5	6	1	0	7	13	44	5	3	37	1	4	0	0	0	6
ENSMUSG00000000049	0	0	7	0	0	0	0	28	0	4	0	0	2	0	1	12	2	18	19	2	0	1	0	0
ENSMUSG00000000056	181	85	195	626	346	420	806	1018	888	782	1104	686	1348	1014	1750	1743	1355	844	912	2144	1066	724	294	497
ENSMUSG00000000058	0	0	0	2	4	6	7	17	0	36	33	57	29	5	26	24	41	44	27	1	1	26	31	27
ENSMUSG00000000078	574	168	139	387	335	349	3441	3035	1856	654	1008	1280	545	693	2006	1289	782	1140	1287	1432	890	761	376	628
ENSMUSG00000000085	589	197	379	1073	903	854	1201	1107	1185	870	1055	917	1426	1004	1665	1314	836	1026	1455	1864	1476	387	296	528
ENSMUSG00000000088	325	250	371	204	256	243	1005	907	649	496	406	494	457	558	687	479	463	495	708	724	445	189	113	213
ENSMUSG00000000093	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	2	3	1	127	96	176	6	3	0	0	5	16	4	5	5	0	0	0	0	0	1
ENSMUSG00000000125	0	0	1	13	0	0	111	14	152	11	6	5	2	7	30	2	22	0	60	0	13	10	0	1
ENSMUSG00000000126	89	4	24	113	129	24	108	121	151	17	8	0	55	137	95	0	1	0	152	478	107	118	34	48
ENSMUSG00000000127	196	189	266	406	352	315	761	461	611	601	925	909	819	828	986	1102	871	767	1020	1475	1167	362	185	236
ENSMUSG00000000131	1264	1114	639	1583	1309	1285	2534	2115	1994	2064	2101	2275	2269	2004	2839	1728	1531	1842	3037	3164	2037	707	446	835
ENSMUSG00000000134	466	59	121	364	159	361	360	488	447	217	355	295	408	462	396	314	418	598	374	839	641	176	59	163
ENSMUSG00000000142	46	45	284	607	420	346	562	755	443	163	106	104	241	184	464	146	200	77	174	279	169	117	65	53
ENSMUSG00000000148	115	7	45	103	59	54	69	225	88	89	80	48	91	90	132	111	74	108	147	122	40	51	39	29
ENSMUSG00000000149	33	43	29	155	204	98	475	626	301	226	331	277	462	258	641	780	628	640	267	229	183	140	28	88
ENSMUSG00000000154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000167	24	5	6	70	27	13	32	1	68	17	6	0	42	21	20	16	18	0	28	52	0	6	5	1
ENSMUSG00000000168	991	842	1008	3081	2495	3621	6372	6561	4795	7926	10739	10424	8862	7858	9782	13762	13795	16215	6054	7273	5070	1855	1289	1922
ENSMUSG00000000171	230	162	287	949	837	802	3136	2637	2400	1514	1493	1560	1802	2082	1817	2339	2180	1578	2173	2177	1401	482	438	755
ENSMUSG00000000182	0	4	0	0	3	19	10	12	2	7	2	0	4	5	3	0	4	0	0	0	5	0	0	2
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
