"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"0610007P14Rik",42,157,56,64,81,47,189,117,1,0,75,31,3,6
"0610009B22Rik",14,86,13,23,13,16,61,32,4,0,35,10,2,1
"0610009L18Rik",3,35,2,11,8,2,40,12,0,0,10,2,2,8
"0610009O20Rik",44,225,66,87,88,58,200,165,3,8,100,34,4,13
"0610010F05Rik",78,280,88,63,94,54,226,105,5,11,45,49,2,9
"0610010K14Rik",19,75,21,16,29,14,101,72,2,0,3,3,1,17
"0610012G03Rik",58,236,51,64,76,25,247,206,3,9,103,42,0,5
"0610030E20Rik",56,118,32,44,19,43,229,67,0,1,73,5,0,14
"0610037L13Rik",55,271,69,83,107,55,462,169,5,4,100,32,2,1
"0610040J01Rik",6,7,3,4,1,10,40,28,0,2,6,5,0,0
"1110002E22Rik",10,65,6,5,5,11,74,2,0,0,0,0,0,0
"1110004E09Rik",26,183,41,40,83,32,150,93,2,4,34,4,1,11
"1110004F10Rik",125,587,182,122,202,97,470,308,6,22,159,84,2,35
"1110008F13Rik",59,270,81,52,120,63,218,164,12,9,69,44,0,25
"1110008L16Rik",19,21,20,14,13,3,36,22,0,0,24,9,0,0
"1110008P14Rik",84,280,78,78,142,96,193,223,22,7,134,73,3,12
"1110012L19Rik",2,39,3,12,15,9,26,8,3,5,10,5,0,0
"1110017D15Rik",0,7,1,4,3,0,1,3,0,0,3,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",20,85,31,19,67,24,83,83,1,7,32,20,1,16
"1110032F04Rik",32,93,31,26,18,15,23,89,0,0,19,1,0,0
"1110034G24Rik",17,42,6,6,10,3,44,10,0,10,19,6,0,0
"1110037F02Rik",92,286,112,74,64,35,442,168,3,17,66,25,3,8
"1110038F14Rik",17,98,25,36,37,25,155,84,1,0,29,18,0,0
"1110051M20Rik",133,538,159,173,244,109,427,333,7,27,228,85,12,48
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",21,75,20,34,27,15,143,42,3,3,10,10,1,8
"1110059G10Rik",26,63,14,8,27,9,68,47,0,0,31,0,1,0
"1110065P20Rik",53,176,63,42,132,48,219,196,3,1,112,36,1,16
"1190002N15Rik",209,554,236,41,99,17,468,285,12,5,48,14,1,65
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,16,3,2,2,1,9,14,0,0,5,1,0,0
"1190007I07Rik",30,32,11,9,13,22,66,27,1,4,5,3,0,8
"1300017J02Rik",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1500009C09Rik",101,300,48,87,153,92,273,276,3,3,141,71,5,23
"1500009L16Rik",6,77,20,14,30,20,46,46,1,0,35,8,0,0
"1500011B03Rik",111,366,133,107,122,90,439,258,8,10,110,54,1,36
"1500011K16Rik",33,87,39,19,47,28,86,63,1,11,21,14,0,8
"1500015O10Rik",1,0,0,1,0,0,2,0,0,0,0,8,0,0
"1520401A03Rik",0,0,0,0,11,0,0,0,0,0,0,0,0,0
"1600002H07Rik",4,27,7,5,40,9,58,16,0,6,23,6,0,0
"1600002K03Rik",0,7,4,3,8,11,31,8,1,0,4,7,0,0
"1600012H06Rik",59,102,21,24,43,21,90,50,0,14,29,11,0,26
"1600014C10Rik",43,156,43,49,57,43,139,71,3,6,47,14,1,30
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700001C19Rik",4,12,2,1,3,0,11,7,0,0,0,0,0,0
