"gene","logP"
"0610007P14Rik",-0.0470177588828949
"0610009B22Rik",-0.000249974166616384
"0610009L18Rik",-0.000249974166616384
"0610009O20Rik",-0.00135606584427506
"0610010F05Rik",-0.0090520312588753
"0610010K14Rik",-0.000249974166616384
"0610012G03Rik",-0.0470177588828949
"0610030E20Rik",-0.0854127996913229
"0610037L13Rik",-0.000249974166616384
"0610040J01Rik",-0.100175428279988
"1110002E22Rik",-0.499654023218563
"1110004E09Rik",-0.000249974166616384
"1110004F10Rik",-0.000249974166616384
"1110008F13Rik",-0.0470177588828949
"1110008L16Rik",-0.0470177588828949
"1110008P14Rik",-0.324357093546559
"1110012L19Rik",-0.445063913986477
"1110017D15Rik",-0.000249974166616384
"1110032A03Rik",-0.0470177588828949
"1110032F04Rik",-0.000249974166616384
"1110034G24Rik",-0.0470177588828949
"1110037F02Rik",-0.000249974166616384
"1110038F14Rik",-0.000249974166616384
"1110051M20Rik",-0.000249974166616384
"1110059E24Rik",-0.000249974166616384
"1110059G10Rik",-0.00615833815550878
"1110065P20Rik",-0.000119666875677648
"1190002N15Rik",-0.0470177588828949
"1190005I06Rik",-0.000249974166616384
"1190007I07Rik",-0.000249974166616384
"1500009C09Rik",-0.000249974166616384
"1500009L16Rik",-0.000249974166616384
"1500011B03Rik",-0.000249974166616384
"1500011K16Rik",-0.000249974166616384
"1500015O10Rik",-0.0470177588828949
"1520401A03Rik",-0.0470177588828949
"1600002H07Rik",-0.120899777885457
"1600002K03Rik",-0.000249974166616384
"1600012H06Rik",-0.000249974166616384
"1600014C10Rik",-0.000249974166616384
"1700001C19Rik",-0.000249974166616384
"1700001K19Rik",-0.0470177588828949
"1700001L19Rik",-0.0470177588828949
"1700001O22Rik",-0.0470177588828949
"1700001P01Rik",-0.0470177588828949
"1700003E16Rik",-0.123909296915494
"1700003F12Rik",-0.000249974166616384
"1700006E09Rik",-0.0470177588828949
"1700007B14Rik",-0.000249974166616384
"1700007G11Rik",-0.000249974166616384
"1700007K09Rik",-0.000249974166616384
"1700007K13Rik",-0.0090520312588753
"1700008O03Rik",-0.000249974166616384
"1700010B08Rik",-0.000249974166616384
"1700010I14Rik",-0.000249974166616384
"1700013F07Rik",-0.000249974166616384
"1700014D04Rik",-0.000249974166616384
"1700015E13Rik",-0.000249974166616384
"1700016D06Rik",-0.000249974166616384
"1700017B05Rik",-0.0470177588828949
