"ID.x","APA.x","TrainSequence.x","TrainSessionCombo.x","NumShock.y"
"15143B","Yoked","train-conflict","T1",10
"15143B","Yoked","train-conflict","T2",3
"15143B","Yoked","train-conflict","T3",1
"15143B","Yoked","train-conflict","T4_C1",14
"15143B","Yoked","train-conflict","T5_C2",2
"15143B","Yoked","train-conflict","T6_C3",1
"15145B","Yoked","train-conflict","T1",6
"15145B","Yoked","train-conflict","T2",2
"15145B","Yoked","train-conflict","T3",1
"15145B","Yoked","train-conflict","T4_C1",29
"15145B","Yoked","train-conflict","T5_C2",4
"15145B","Yoked","train-conflict","T6_C3",4
"15146B","Yoked","train-conflict","T1",25
"15146B","Yoked","train-conflict","T2",2
"15146B","Yoked","train-conflict","T3",1
"15146B","Yoked","train-conflict","T4_C1",26
"15146B","Yoked","train-conflict","T5_C2",1
"15146B","Yoked","train-conflict","T6_C3",1
"15148B","Yoked","train-conflict","T1",7
"15148B","Yoked","train-conflict","T2",1
"15148B","Yoked","train-conflict","T3",1
"15148B","Yoked","train-conflict","T4_C1",24
"15148B","Yoked","train-conflict","T5_C2",5
"15148B","Yoked","train-conflict","T6_C3",9
