"gene","logP"
"0610005C13Rik",-0.370038315185844
"0610007C21Rik",-24.5475481787409
"0610007L01Rik",-0.019102063179987
"0610007N19Rik",NA
"0610007P08Rik",-7.10768633479646
"0610007P14Rik",-2.62550617144664
"0610007P22Rik",-0.000164548230730193
"0610009B14Rik",NA
"0610009B22Rik",-0.0867122595385147
"0610009D07Rik",-2.30628988468824
"0610009E02Rik",-7.68916705593811
"0610009L18Rik",-38.396319868151
"0610009O20Rik",-1.11148960380594
"0610010F05Rik",-14.4464146517273
"0610010K14Rik",-0.294221740716604
"0610010O12Rik",-30.1933241821437
"0610011F06Rik",-5.81856180855913
"0610011L14Rik",-2.86988442080967
"0610012D04Rik",-6.52178015269611
"0610012G03Rik",-2.1039318965449
"0610012H03Rik",NA
"0610030E20Rik",-6.7103411656945
"0610031J06Rik",-2.04257630536976
"0610037L13Rik",-4.16701333383202
"0610037P05Rik",-0.293117497462955
"0610038L08Rik",-3.29582300123206
"0610038P03Rik",NA
"0610039K10Rik",NA
"0610040B10Rik",-0.0453654282682042
"0610040F04Rik",-0.00150069979037782
"0610040J01Rik",-5.93860756513758
"0610043K17Rik",-21.6146799069726
"0910001L09Rik",-4.28325153512735
"1010001B22Rik",-13.180281966873
"1110001A16Rik",-0.818187246655922
"1110001J03Rik",-0.514645362503824
"1110002B05Rik",-0.505071374382442
"1110002E22Rik",-3.18684615177305
"1110002J07Rik",-6.46188112553369
"1110002L01Rik",-1.60932408728206
"1110002N22Rik",-1.27909705049373
"1110003E01Rik",-0.0448627402880147
"1110004E09Rik",-2.69173464052984
"1110004F10Rik",-2.2650768909753
"1110005A03Rik",-8.12997210089792
"1110007C09Rik",-3.2323903390657
"1110008E08Rik",NA
"1110008F13Rik",-0.954253559085212
"1110008J03Rik",-0.270059521898172
"1110008L16Rik",-3.00191471376847
"1110008P14Rik",-32.8940949082332
"1110012J17Rik",-0.471822038505499
"1110012L19Rik",-0.768439114807194
"1110014N23Rik",-0.125254045351959
"1110017D15Rik",-2.1627019878609
"1110017F19Rik",-4.12511498266299
"1110018G07Rik",-34.4735901785375
"1110018J18Rik",-3.5020435447235
"1110018N20Rik",-0.0278419126252876
"1110019D14Rik",-1.53981163210603
"1110020A21Rik",-1.92809509912378
"1110020G09Rik",-0.210289002952079
"1110021J02Rik",-14.755631090759
"1110021L09Rik",-2.36844532255704
"1110028C15Rik",-8.5602195578054
"1110028F11Rik",-0.32613503050282
"1110031I02Rik",-2.51497536378034
"1110032A03Rik",-1.98847639509515
"1110032A04Rik",-7.53232183480483
"1110032F04Rik",-0.744336902346761
"1110034A24Rik",-16.1404105238484
"1110034B05Rik",-6.08258271956869
"1110034G24Rik",-3.58038495279235
"1110035H17Rik",-0.357400943477094
"1110035M17Rik",-0.288130380277604
"1110037F02Rik",-2.61374254280281
"1110038B12Rik",-9.55719107205631
"1110038D17Rik",-6.1218240057877
"1110038F14Rik",-2.83732166138192
"1110046J04Rik",-1.7379067115377
"1110049F12Rik",-1.9240597414429
"1110050K14Rik",-6.75696263480474
"1110051M20Rik",-3.76779478768063
"1110054M08Rik",-1.20044623138095
"1110054O05Rik",-3.64917589721067
"1110057K04Rik",-0.0267395815843327
"1110058L19Rik",-1.07053186487003
