"gene","PresAbs"
"0610007P14Rik",1
"0610009B22Rik",1
"0610009L18Rik",1
"0610009O20Rik",1
"0610010F05Rik",1
"0610010K14Rik",1
"0610012G03Rik",1
"0610030E20Rik",1
"0610037L13Rik",1
"0610040J01Rik",1
"1110002E22Rik",1
"1110004E09Rik",1
"1110004F10Rik",1
"1110008F13Rik",1
"1110008L16Rik",1
"1110008P14Rik",1
"1110012L19Rik",1
"1110017D15Rik",1
"1110032A03Rik",1
"1110032F04Rik",1
"1110034G24Rik",1
"1110037F02Rik",1
"1110038F14Rik",1
"1110051M20Rik",1
"1110059E24Rik",1
"1110059G10Rik",1
"1110065P20Rik",1
"1190002N15Rik",1
"1190005I06Rik",1
"1190007I07Rik",1
"1500009C09Rik",1
"1500009L16Rik",1
"1500011B03Rik",1
"1500011K16Rik",1
"1500015O10Rik",1
"1520401A03Rik",1
"1600002H07Rik",1
"1600002K03Rik",1
"1600012H06Rik",1
"1600014C10Rik",1
"1700001C19Rik",1
"1700001K19Rik",1
"1700001L19Rik",1
"1700001O22Rik",1
"1700001P01Rik",1
"1700003E16Rik",1
"1700003F12Rik",1
"1700007B14Rik",1
"1700007K09Rik",1
"1700007K13Rik",1
"1700008O03Rik",1
"1700010B08Rik",1
"1700010I14Rik",1
"1700013F07Rik",1
"1700014D04Rik",1
"1700015E13Rik",1
"1700016C15Rik",1
"1700016D06Rik",1
"1700017B05Rik",1
"1700019A02Rik",1
"1700019D03Rik",1
"1700020D05Rik",1
"1700020L24Rik",1
"1700020N01Rik",1
"1700021F05Rik",1
"1700022I11Rik",1
"1700023F06Rik",1
"1700024P16Rik",1
"1700025G04Rik",1
"1700027J19Rik",1
"1700028J19Rik",1
"1700028P14Rik",1
"1700029F12Rik",1
"1700029I15Rik",1
"1700029J07Rik",1
"1700030J22Rik",1
"1700030K09Rik",1
"1700034I23Rik",1
"1700034J05Rik",1
"1700037C18Rik",1
"1700037H04Rik",1
"1700040L02Rik",1
"1700047I17Rik2",1
"1700048O20Rik",1
"1700057G04Rik",1
"1700061G19Rik",1
"1700066B19Rik",1
"1700066M21Rik",1
"1700067K01Rik",1
"1700088E04Rik",1
"1700092M07Rik",1
"1700093K21Rik",1
"1700102P08Rik",1
"1700109H08Rik",1
"1700112E06Rik",1
"1700123L14Rik",1
"1700123O20Rik",1
