name	term	lev	seq	value
"Mre11 complex"	GO:0030870	4	"Mre11a"	-0.3
"Mre11 complex"	GO:0030870	4	"Nbn"	-0.4
"Mre11 complex"	GO:0030870	4	"Rad50"	0.6
"Mre11 complex"	GO:0030870	4	"Terf2"	0.3
"Mre11 complex"	GO:0030870	4	"Terf2ip"	0.2
"organelle membrane"	GO:0031090	2	"0610007P14Rik"	-0.3
"organelle membrane"	GO:0031090	2	"1600014C10Rik"	-0.1
"organelle membrane"	GO:0031090	2	"9930111J21Rik1"	-0.7
"organelle membrane"	GO:0031090	2	"Aaas"	0.5
"organelle membrane"	GO:0031090	2	"Abca12"	0.2
"organelle membrane"	GO:0031090	2	"Abca2"	1.6
"organelle membrane"	GO:0031090	2	"Abca8a"	1.5
"organelle membrane"	GO:0031090	2	"Abca8b"	0.5
"organelle membrane"	GO:0031090	2	"Abca9"	0.9
"organelle membrane"	GO:0031090	2	"Abcb10"	-0.1
"organelle membrane"	GO:0031090	2	"Abcb6"	-0.8
"organelle membrane"	GO:0031090	2	"Abcb7"	-0.8
"organelle membrane"	GO:0031090	2	"Abcb8"	0.1
"organelle membrane"	GO:0031090	2	"Abcb9"	-0.2
"organelle membrane"	GO:0031090	2	"Abcc10"	0.2
"organelle membrane"	GO:0031090	2	"Abcc4"	1.2
"organelle membrane"	GO:0031090	2	"Abcc8"	-0.1
"organelle membrane"	GO:0031090	2	"Abcd1"	-0.1
"organelle membrane"	GO:0031090	2	"Abcd2"	0.2
"organelle membrane"	GO:0031090	2	"Abcd3"	-0.5
"organelle membrane"	GO:0031090	2	"Abcd4"	-0.7
"organelle membrane"	GO:0031090	2	"Acaa2"	0.3
"organelle membrane"	GO:0031090	2	"Acad11"	-0.3
"organelle membrane"	GO:0031090	2	"Acadl"	0.4
"organelle membrane"	GO:0031090	2	"Acadm"	0.2
"organelle membrane"	GO:0031090	2	"Acads"	1.6
"organelle membrane"	GO:0031090	2	"Acadvl"	0.7
"organelle membrane"	GO:0031090	2	"Acap2"	-2.4
"organelle membrane"	GO:0031090	2	"Acat1"	-0.2
"organelle membrane"	GO:0031090	2	"Acbd3"	0.4
"organelle membrane"	GO:0031090	2	"Acox1"	0
"organelle membrane"	GO:0031090	2	"Acsl1"	0.3
"organelle membrane"	GO:0031090	2	"Acsl3"	0
"organelle membrane"	GO:0031090	2	"Acsl4"	-1.1
"organelle membrane"	GO:0031090	2	"Acsl5"	0.2
"organelle membrane"	GO:0031090	2	"Acsl6"	0.1
"organelle membrane"	GO:0031090	2	"Actn1"	-0.4
"organelle membrane"	GO:0031090	2	"Adam8"	1.5
"organelle membrane"	GO:0031090	2	"Adra1a"	0
"organelle membrane"	GO:0031090	2	"Adra1b"	0.4
"organelle membrane"	GO:0031090	2	"Aen"	-0.2
"organelle membrane"	GO:0031090	2	"Afg3l2"	-0.7
"organelle membrane"	GO:0031090	2	"Agpat4"	0.3
"organelle membrane"	GO:0031090	2	"Agpat9"	0.1
"organelle membrane"	GO:0031090	2	"Agps"	0.2
"organelle membrane"	GO:0031090	2	"Agtr1a"	0.2
"organelle membrane"	GO:0031090	2	"Agtr1b"	0
"organelle membrane"	GO:0031090	2	"Ahctf1"	-0.6
"organelle membrane"	GO:0031090	2	"Ahnak"	0.8
"organelle membrane"	GO:0031090	2	"Ahnak2"	0
"organelle membrane"	GO:0031090	2	"AI464131"	0
"organelle membrane"	GO:0031090	2	"Aifm1"	-0.4
"organelle membrane"	GO:0031090	2	"Aifm2"	0.4
"organelle membrane"	GO:0031090	2	"Aifm3"	1.3
"organelle membrane"	GO:0031090	2	"Ak2"	0.1
"organelle membrane"	GO:0031090	2	"Ak9"	0
"organelle membrane"	GO:0031090	2	"Akap1"	-0.1
"organelle membrane"	GO:0031090	2	"Akap6"	-1.8
"organelle membrane"	GO:0031090	2	"Alas2"	-0.2
"organelle membrane"	GO:0031090	2	"Aldh18a1"	0
"organelle membrane"	GO:0031090	2	"Aldh3a2"	2.3
"organelle membrane"	GO:0031090	2	"Aldob"	0.1
"organelle membrane"	GO:0031090	2	"Alg10b"	-0.3
"organelle membrane"	GO:0031090	2	"Alg11"	0
"organelle membrane"	GO:0031090	2	"Alg2"	-0.1
"organelle membrane"	GO:0031090	2	"Alg3"	-0.7
"organelle membrane"	GO:0031090	2	"Alg5"	-0.1
"organelle membrane"	GO:0031090	2	"Alg6"	-0.6
"organelle membrane"	GO:0031090	2	"Alg8"	-0.1
"organelle membrane"	GO:0031090	2	"Alox5"	-0.4
"organelle membrane"	GO:0031090	2	"Alox5ap"	0.3
"organelle membrane"	GO:0031090	2	"Amfr"	0.7
"organelle membrane"	GO:0031090	2	"Ankfy1"	-0.1
"organelle membrane"	GO:0031090	2	"Anks4b"	-0.1
"organelle membrane"	GO:0031090	2	"Anpep"	0
"organelle membrane"	GO:0031090	2	"Anxa1"	0.1
"organelle membrane"	GO:0031090	2	"Anxa2"	0.4
"organelle membrane"	GO:0031090	2	"Anxa3"	0.4
"organelle membrane"	GO:0031090	2	"Anxa4"	1.6
"organelle membrane"	GO:0031090	2	"Anxa6"	0.3
"organelle membrane"	GO:0031090	2	"Anxa7"	0.1
"organelle membrane"	GO:0031090	2	"Ap3d1"	-0.1
"organelle membrane"	GO:0031090	2	"Ap5b1"	-0.2
"organelle membrane"	GO:0031090	2	"Apc"	0.4
"organelle membrane"	GO:0031090	2	"Apeh"	0.3
"organelle membrane"	GO:0031090	2	"Apex2"	0.1
"organelle membrane"	GO:0031090	2	"Apoo"	-0.2
"organelle membrane"	GO:0031090	2	"Apool"	-0.1
"organelle membrane"	GO:0031090	2	"Appbp2"	-0.8
"organelle membrane"	GO:0031090	2	"Appl1"	-1.2
"organelle membrane"	GO:0031090	2	"Appl2"	0.9
"organelle membrane"	GO:0031090	2	"Aqp1"	0.1
"organelle membrane"	GO:0031090	2	"Arf1"	-0.4
"organelle membrane"	GO:0031090	2	"Arf6"	0.2
"organelle membrane"	GO:0031090	2	"Arfip1"	0.1
"organelle membrane"	GO:0031090	2	"Arfip2"	-0.1
"organelle membrane"	GO:0031090	2	"Arg1"	0.3
"organelle membrane"	GO:0031090	2	"Arl13b"	0.1
"organelle membrane"	GO:0031090	2	"Arl6ip1"	0.2
"organelle membrane"	GO:0031090	2	"Arl8a"	0.5
"organelle membrane"	GO:0031090	2	"Arl8b"	-0.5
"organelle membrane"	GO:0031090	2	"Arv1"	0.2
"organelle membrane"	GO:0031090	2	"Asl"	0.3
"organelle membrane"	GO:0031090	2	"Aspscr1"	1.5
"organelle membrane"	GO:0031090	2	"Ass1"	-0.1
"organelle membrane"	GO:0031090	2	"Atad1"	0.2
"organelle membrane"	GO:0031090	2	"Atad3a"	-0.3
"organelle membrane"	GO:0031090	2	"Atcay"	0
"organelle membrane"	GO:0031090	2	"Atf2"	-0.1
"organelle membrane"	GO:0031090	2	"Atf6"	-0.1
"organelle membrane"	GO:0031090	2	"Atf6b"	0
"organelle membrane"	GO:0031090	2	"Atg16l1"	0
"organelle membrane"	GO:0031090	2	"Atg16l2"	0.6
"organelle membrane"	GO:0031090	2	"Atg9a"	0.1
"organelle membrane"	GO:0031090	2	"Atl1"	-0.1
"organelle membrane"	GO:0031090	2	"Atp11a"	0
"organelle membrane"	GO:0031090	2	"Atp11c"	0.8
"organelle membrane"	GO:0031090	2	"Atp13a2"	0.4
"organelle membrane"	GO:0031090	2	"Atp13a4"	0.2
"organelle membrane"	GO:0031090	2	"Atp2a1"	0
"organelle membrane"	GO:0031090	2	"Atp2a2"	-1.4
"organelle membrane"	GO:0031090	2	"Atp2a3"	0.7
"organelle membrane"	GO:0031090	2	"Atp5a1"	0.4
"organelle membrane"	GO:0031090	2	"Atp5b"	1.3
"organelle membrane"	GO:0031090	2	"Atp5c1"	0.2
"organelle membrane"	GO:0031090	2	"Atp5d"	0.5
"organelle membrane"	GO:0031090	2	"Atp5e"	2.3
"organelle membrane"	GO:0031090	2	"Atp5f1"	0.2
"organelle membrane"	GO:0031090	2	"Atp5g1"	0.1
"organelle membrane"	GO:0031090	2	"Atp5h"	0.9
"organelle membrane"	GO:0031090	2	"Atp5j"	0.6
"organelle membrane"	GO:0031090	2	"Atp5j2"	1.2
"organelle membrane"	GO:0031090	2	"Atp5k"	1.2
"organelle membrane"	GO:0031090	2	"Atp5l"	1
"organelle membrane"	GO:0031090	2	"Atp5o"	1.4
"organelle membrane"	GO:0031090	2	"Atp5s"	-0.1
"organelle membrane"	GO:0031090	2	"Atp6v0a2"	-0.2
