name	term	lev	seq	value
"cell cortex"	GO:0005938	2	"Actr2"	-0.0492867719021676
"cell cortex"	GO:0005938	2	"Add3"	-0.00626697314601047
"cell cortex"	GO:0005938	2	"Agtrap"	-0.0144262047636888
"cell cortex"	GO:0005938	2	"Akap13"	-0.0139191819196574
"cell cortex"	GO:0005938	2	"Akt2"	-0.46862285569155
"cell cortex"	GO:0005938	2	"Anxa2"	-0.00719363434790012
"cell cortex"	GO:0005938	2	"Apc"	-1.29646678934028
"cell cortex"	GO:0005938	2	"Arf6"	-0.110516879427318
"cell cortex"	GO:0005938	2	"Arfip2"	-0.0241015724230187
"cell cortex"	GO:0005938	2	"Arhgap32"	-0.213754908936426
"cell cortex"	GO:0005938	2	"Arhgef9"	-0.162804256753015
"cell cortex"	GO:0005938	2	"Axin1"	-0.00346495556066
"cell cortex"	GO:0005938	2	"Axin2"	-0.3453323983577
"cell cortex"	GO:0005938	2	"C2cd5"	-0.175413234804455
"cell cortex"	GO:0005938	2	"Capn10"	-0.632567660366371
"cell cortex"	GO:0005938	2	"Cav1"	-0.0275271705745196
"cell cortex"	GO:0005938	2	"Cd2ap"	-1.27601049457189
"cell cortex"	GO:0005938	2	"Cd302"	-0.0975024235678914
"cell cortex"	GO:0005938	2	"Cdc42se1"	-0.462211351341751
"cell cortex"	GO:0005938	2	"Clasp1"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Clasp2"	-0.916762128944145
"cell cortex"	GO:0005938	2	"Cobl"	-0.0114967464171298
"cell cortex"	GO:0005938	2	"Col10a1"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Crip2"	-0.131847772964126
"cell cortex"	GO:0005938	2	"Ctgf"	-0.14468147935894
"cell cortex"	GO:0005938	2	"Ctnnb1"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Cttn"	-0.0157786442999106
"cell cortex"	GO:0005938	2	"Cytip"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Daxx"	-0.215883363626589
"cell cortex"	GO:0005938	2	"Dbnl"	-0.302883279073138
"cell cortex"	GO:0005938	2	"Drd4"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Dvl2"	-0.168538844730731
"cell cortex"	GO:0005938	2	"Eps8"	-0.3453323983577
"cell cortex"	GO:0005938	2	"Ermn"	-0.0139191819196574
"cell cortex"	GO:0005938	2	"Fgfr2"	-0.149516819392152
"cell cortex"	GO:0005938	2	"Fmn2"	-0.842031985477252
"cell cortex"	GO:0005938	2	"Fry"	-1.3694093498566
"cell cortex"	GO:0005938	2	"Fryl"	-0.112924583274368
"cell cortex"	GO:0005938	2	"Gad1"	-0.958689462058063
"cell cortex"	GO:0005938	2	"Gck"	-0.0398627886502345
"cell cortex"	GO:0005938	2	"Gipc1"	-3.06079867918155
"cell cortex"	GO:0005938	2	"Gpsm2"	-0.817480299901122
"cell cortex"	GO:0005938	2	"Grm7"	-0.251654034068725
"cell cortex"	GO:0005938	2	"Gys2"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Hip1r"	-0.00607348208829096
"cell cortex"	GO:0005938	2	"Hmcn1"	-0.201700148599762
"cell cortex"	GO:0005938	2	"Hmcn2"	-0.00719363434790012
"cell cortex"	GO:0005938	2	"Hnrnpk"	-0.00921937355556568
"cell cortex"	GO:0005938	2	"Itch"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Itgb4"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Itpr2"	-0.00626697314601047
"cell cortex"	GO:0005938	2	"Khdc3"	-0.0475799537709091
"cell cortex"	GO:0005938	2	"Lamc2"	-0.00642934317333733
"cell cortex"	GO:0005938	2	"Macf1"	-0.414507861205505
"cell cortex"	GO:0005938	2	"Map2k1"	-1.02798805542672
"cell cortex"	GO:0005938	2	"Map2k2"	-0.0678536215480707
"cell cortex"	GO:0005938	2	"Marcks"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Mkln1"	-1.72715648618863
"cell cortex"	GO:0005938	2	"Myh10"	-0.869271634387397
"cell cortex"	GO:0005938	2	"Myh9"	-0.489055684596555
"cell cortex"	GO:0005938	2	"Myo9b"	-0.169634110640001
"cell cortex"	GO:0005938	2	"Ncl"	-0.104349489425496
"cell cortex"	GO:0005938	2	"Ndfip1"	-0.00921937355556568
"cell cortex"	GO:0005938	2	"Nlrp5"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Numa1"	-1.21660489899466
"cell cortex"	GO:0005938	2	"Ooep"	-0.343185429277547
"cell cortex"	GO:0005938	2	"Pafah1b1"	-0.940362842107909
"cell cortex"	GO:0005938	2	"Pard3"	-0.000777854005519505
"cell cortex"	GO:0005938	2	"Pard6a"	-0.00626697314601047
"cell cortex"	GO:0005938	2	"Pard6b"	-4.12273132691853e-05
"cell cortex"	GO:0005938	2	"Pfn1"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Pfn4"	-0.433776546954414
"cell cortex"	GO:0005938	2	"Prkcz"	-0.00177256555776248
"cell cortex"	GO:0005938	2	"Prkd1"	-0.165382987322812
"cell cortex"	GO:0005938	2	"Psen2"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Ptk2b"	-0.00719363434790012
"cell cortex"	GO:0005938	2	"Rgs19"	-0.0165920495090947
"cell cortex"	GO:0005938	2	"Rgs20"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Rhoa"	-0.608018154383758
"cell cortex"	GO:0005938	2	"Ryr1"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Sept2"	-0.076754861124511
"cell cortex"	GO:0005938	2	"Sept5"	-0.733144270612632
"cell cortex"	GO:0005938	2	"Sept7"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Shroom2"	-0.311590982513741
"cell cortex"	GO:0005938	2	"Snca"	-0.0099461368841797
"cell cortex"	GO:0005938	2	"Spire1"	-0.000777854005519505
"cell cortex"	GO:0005938	2	"Spire2"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Stox1"	-0.0132937512411799
"cell cortex"	GO:0005938	2	"Tle6"	-0.0167733075991973
"cell cortex"	GO:0005938	2	"Traf2"	-1.58398462569089
"cell cortex"	GO:0005938	2	"Tsc1"	-0.228896417718396
"cell cortex"	GO:0005938	2	"Usp2"	-0.718573012702686
"cell cortex"	GO:0005938	2	"Vmn2r1"	-0.00607348208829096
"cell cortex"	GO:0005938	2	"Wdr43"	-0.175413234804455
"cell cortex"	GO:0005938	2	"Wdr81"	-0.309102165418542
"cell cortex"	GO:0005938	2	"Zhx3"	-0.107142198419468
"ciliary rootlet"	GO:0035253	2	"App"	-0.218060624184602
"ciliary rootlet"	GO:0035253	2	"Crocc"	-1.0240285070495
"ciliary rootlet"	GO:0035253	2	"Kif5a"	-0.36805784746024
"ciliary rootlet"	GO:0035253	2	"Kif5b"	-0.00921937355556568
"ciliary rootlet"	GO:0035253	2	"Kif5c"	-2.32265799802251
"ciliary rootlet"	GO:0035253	2	"Klc1"	-0.143423116935825
"ciliary rootlet"	GO:0035253	2	"Klc2"	-0.205742128569245
"ciliary rootlet"	GO:0035253	2	"Klc3"	-0.00719363434790012
"ciliary rootlet"	GO:0035253	2	"Psen1"	-1.07052054243378
"ciliary rootlet"	GO:0035253	2	"Rab28"	-0.123268201366676
"polysome"	GO:0005844	3	"Ago1"	-0.46090344634879
"polysome"	GO:0005844	3	"Ago2"	-4.10788423882641
"polysome"	GO:0005844	3	"Atxn2"	-0.245628748417931
"polysome"	GO:0005844	3	"Calr"	-0.201700148599762
"polysome"	GO:0005844	3	"Cpeb2"	-0.00729298846192524
"polysome"	GO:0005844	3	"Dazap1"	-0.600743711586906
"polysome"	GO:0005844	3	"Dazl"	-1.21940505806521
"polysome"	GO:0005844	3	"Drg1"	-0.58123701605341
"polysome"	GO:0005844	3	"Eef2"	-0.399638623672984
"polysome"	GO:0005844	3	"Eif2ak4"	-0.257827739964768
"polysome"	GO:0005844	3	"Eif4b"	-0.421740808171331
"polysome"	GO:0005844	3	"Eif4g1"	-0.0358393720505237
"polysome"	GO:0005844	3	"Eif4h"	-0.0132937512411799
"polysome"	GO:0005844	3	"Epm2a"	-0.0132937512411799
"polysome"	GO:0005844	3	"Fmr1"	-0.00719363434790012
"polysome"	GO:0005844	3	"Fus"	-0.00626697314601047
"polysome"	GO:0005844	3	"Fxr1"	-0.408792830144399
"polysome"	GO:0005844	3	"Fxr2"	-0.296663183735768
"polysome"	GO:0005844	3	"Gcn1l1"	-1.51845350924455
"polysome"	GO:0005844	3	"Impact"	-0.00921937355556568
"polysome"	GO:0005844	3	"Mcrs1"	-0.0835254958297518
"polysome"	GO:0005844	3	"Msi1"	-0.167237724182856
"polysome"	GO:0005844	3	"Msi2"	-0.0132937512411799
"polysome"	GO:0005844	3	"Naa30"	-0.197225521979708
"polysome"	GO:0005844	3	"Naa35"	-0.0891661920641686
"polysome"	GO:0005844	3	"Naa38"	-0.168246948969889
"polysome"	GO:0005844	3	"Piwil1"	-0.00719363434790012
"polysome"	GO:0005844	3	"Piwil2"	-0.116353278234431
"polysome"	GO:0005844	3	"Psma6"	-0.0132937512411799
"polysome"	GO:0005844	3	"Rpl17"	-0.166523949631205
"polysome"	GO:0005844	3	"Rpl7"	-4.30086532472447
"polysome"	GO:0005844	3	"Rps25"	-0.0132937512411799
"polysome"	GO:0005844	3	"Rps3"	-0.0132937512411799
"polysome"	GO:0005844	3	"Rps4x"	-0.960856674792074
"polysome"	GO:0005844	3	"Rps6"	-1.62840805233633
"polysome"	GO:0005844	3	"Unk"	-0.974142937024897
"polysome"	GO:0005844	3	"Upf2"	-0.799050591047587
"polysome"	GO:0005844	3	"Vbp1"	-0.000777854005519505
"polysome"	GO:0005844	3	"Ybx2"	-0.0132937512411799
"polysome"	GO:0005844	3	"Ybx3"	-0.00921937355556568
"transcriptionally active chromatin"	GO:0035327	2	"Bcas3"	-0.00719363434790012
"transcriptionally active chromatin"	GO:0035327	2	"Ctr9"	-0.337655041771668
"transcriptionally active chromatin"	GO:0035327	2	"Ell"	-0.306432068921941
"transcriptionally active chromatin"	GO:0035327	2	"Esr1"	-0.00921937355556568
"transcriptionally active chromatin"	GO:0035327	2	"Exosc10"	-0.0923910623920388
"transcriptionally active chromatin"	GO:0035327	2	"Exosc3"	-0.112173814943729
"transcriptionally active chromatin"	GO:0035327	2	"Exosc4"	-0.0518077878131413
"transcriptionally active chromatin"	GO:0035327	2	"Exosc5"	-0.00719363434790012
"transcriptionally active chromatin"	GO:0035327	2	"Hist1h1c"	-0.460455847539341
"transcriptionally active chromatin"	GO:0035327	2	"Ice1"	-0.0449020647940056
"transcriptionally active chromatin"	GO:0035327	2	"Ice2"	-0.887597818942689
"transcriptionally active chromatin"	GO:0035327	2	"Padi2"	-1.5743226254284
"transcriptionally active chromatin"	GO:0035327	2	"Pcid2"	-0.000777854005519505
"transcriptionally active chromatin"	GO:0035327	2	"Pelp1"	-0.00719363434790012
"transcriptionally active chromatin"	GO:0035327	2	"Psip1"	-0.00673752056439956
"transcriptionally active chromatin"	GO:0035327	2	"Supt6"	-0.567149243611244
"transcriptionally active chromatin"	GO:0035327	2	"Ttc37"	-0.258979750327604
"transcriptionally active chromatin"	GO:0035327	2	"Wdr61"	-1.52757728105175
"transcriptionally active chromatin"	GO:0035327	2	"Zc3h8"	-0.0132937512411799
"fibrillar collagen trimer"	GO:0005583	2	"Col11a1"	-0.0562722971242662
"fibrillar collagen trimer"	GO:0005583	2	"Col11a2"	-0.854809271603284
"fibrillar collagen trimer"	GO:0005583	2	"Col1a1"	-0.00607348208829096
"fibrillar collagen trimer"	GO:0005583	2	"Col1a2"	-0.337278219651664
"fibrillar collagen trimer"	GO:0005583	2	"Col27a1"	-0.55664054903372
"fibrillar collagen trimer"	GO:0005583	2	"Col2a1"	-0.00719363434790012
"fibrillar collagen trimer"	GO:0005583	2	"Col3a1"	-0.00719363434790012
"fibrillar collagen trimer"	GO:0005583	2	"Col5a1"	-0.396569062696706
"fibrillar collagen trimer"	GO:0005583	2	"Col5a2"	-0.000777854005519505
"fibrillar collagen trimer"	GO:0005583	2	"Col5a3"	-0.0157786442999106
"fibrillar collagen trimer"	GO:0005583	2	"Lum"	-0.00719363434790012
"fibrillar collagen trimer"	GO:0005583	2	"Tnxb"	-0.382405638725814
"THO complex part of transcription export complex"	GO:0000347;GO:0000445	3	"Thoc1"	-0.0132937512411799
"THO complex part of transcription export complex"	GO:0000347;GO:0000445	3	"Thoc2"	-0.0200234321107596
"THO complex part of transcription export complex"	GO:0000347;GO:0000445	3	"Thoc3"	-0.0132937512411799
"THO complex part of transcription export complex"	GO:0000347;GO:0000445	3	"Thoc5"	-0.167237724182856
"THO complex part of transcription export complex"	GO:0000347;GO:0000445	3	"Thoc6"	-0.201041783555351
"THO complex part of transcription export complex"	GO:0000347;GO:0000445	3	"Thoc7"	-1.72537228381915
"oxidoreductase complex"	GO:1990204	2	"Bckdha"	-0.498826178854134
"oxidoreductase complex"	GO:1990204	2	"Bckdhb"	-0.0132937512411799
"oxidoreductase complex"	GO:1990204	2	"Bckdk"	-0.283490697079407
"oxidoreductase complex"	GO:1990204	2	"Cyba"	-0.00921937355556568
"oxidoreductase complex"	GO:1990204	2	"Cybb"	-0.00356798822037067
"oxidoreductase complex"	GO:1990204	2	"Cyc1"	-0.00719363434790012
"oxidoreductase complex"	GO:1990204	2	"Dhtkd1"	-0.730857182298737
"oxidoreductase complex"	GO:1990204	2	"Dlat"	-0.0539621801541054
"oxidoreductase complex"	GO:1990204	2	"Dld"	-0.0132937512411799
"oxidoreductase complex"	GO:1990204	2	"Dlst"	-0.647611132078408
"oxidoreductase complex"	GO:1990204	2	"Foxred1"	-0.0201495922722227
"oxidoreductase complex"	GO:1990204	2	"Gcsh"	-0.0275600187372827
"oxidoreductase complex"	GO:1990204	2	"Gldc"	-0.231155010700053
"oxidoreductase complex"	GO:1990204	2	"Gpd1"	-5.35641597776393
"oxidoreductase complex"	GO:1990204	2	"Gpd1l"	-0.189048706308818
"oxidoreductase complex"	GO:1990204	2	"Gpd2"	-0.00921937355556568
"oxidoreductase complex"	GO:1990204	2	"Mrps36"	-0.0800632256070839
"oxidoreductase complex"	GO:1990204	2	"mt-Cytb"	-0.0132937512411799
"oxidoreductase complex"	GO:1990204	2	"mt-Nd1"	-0.00921937355556568
"oxidoreductase complex"	GO:1990204	2	"mt-Nd3"	-0.127758040198144
"oxidoreductase complex"	GO:1990204	2	"mt-Nd4l"	-0.00177256555776248
"oxidoreductase complex"	GO:1990204	2	"Ncf1"	-0.156798198909061
"oxidoreductase complex"	GO:1990204	2	"Ndufa1"	-0.215883363626589
"oxidoreductase complex"	GO:1990204	2	"Ndufa10"	-0.823638218914344
"oxidoreductase complex"	GO:1990204	2	"Ndufa11"	-0.00607348208829096
"oxidoreductase complex"	GO:1990204	2	"Ndufa12"	-1.11399885696411
"oxidoreductase complex"	GO:1990204	2	"Ndufa13"	-1.08764752202534
"oxidoreductase complex"	GO:1990204	2	"Ndufa2"	-0.0132937512411799
"oxidoreductase complex"	GO:1990204	2	"Ndufa3"	-0.0787951759104347
