name	term	lev	seq	value
"ISWI-type complex"	GO:0031010	2	"0610010K14Rik"	-0.114768177807194
"ISWI-type complex"	GO:0031010	2	"Baz1a"	-0.217231746737062
"ISWI-type complex"	GO:0031010	2	"Bptf"	-0.476960132706438
"ISWI-type complex"	GO:0031010	2	"Cecr2"	-10.2447133700793
"ISWI-type complex"	GO:0031010	2	"Chrac1"	-0.524673346541906
"ISWI-type complex"	GO:0031010	2	"Rbbp4"	-0.134171316543887
"ISWI-type complex"	GO:0031010	2	"Rsf1"	-4.35126936604415
"ISWI-type complex"	GO:0031010	2	"Smarca1"	-0.550843087127881
"ISWI-type complex"	GO:0031010	2	"Smarca5"	-0.634364664836797
"ISWI-type complex"	GO:0031010	2	"Usf1"	-2.70343566725943
"U2-type prespliceosome"	GO:0071004	2	"Lsm7"	-0.227653678015304
"U2-type prespliceosome"	GO:0071004	2	"Sf3a1"	-1.50547556790719
"U2-type prespliceosome"	GO:0071004	2	"Sf3a2"	-0.869986127398324
"U2-type prespliceosome"	GO:0071004	2	"Sf3b1"	-0.18749710700688
"U2-type prespliceosome"	GO:0071004	2	"Snrnp70"	-0.086715822009044
"U2-type prespliceosome"	GO:0071004	2	"Snrpb"	-0.181489181068512
"U2-type prespliceosome"	GO:0071004	2	"Snrpg"	-0.072299864440535
"U2-type prespliceosome"	GO:0071004	2	"Snrpn"	-14.0585804925058
"U2-type prespliceosome"	GO:0071004	2	"U2af2"	-1.35202543872794
"cell projection membrane"	GO:0031253	3	"Abca7"	-0.124924870880592
"cell projection membrane"	GO:0031253	3	"Abcb1a"	-0.328439081698046
"cell projection membrane"	GO:0031253	3	"Abcc2"	-0.116266390966708
"cell projection membrane"	GO:0031253	3	"Ace"	-3.44022942607132
"cell projection membrane"	GO:0031253	3	"Adam17"	-0.133759648944401
"cell projection membrane"	GO:0031253	3	"Adcy6"	-7.9722637864418
"cell projection membrane"	GO:0031253	3	"Adora1"	-2.76649992778246
"cell projection membrane"	GO:0031253	3	"Adora2a"	-0.177698925786021
"cell projection membrane"	GO:0031253	3	"Aif1"	-0.201866241339886
"cell projection membrane"	GO:0031253	3	"Akap5"	-0.212695361308747
"cell projection membrane"	GO:0031253	3	"Akt2"	-0.335656998143817
"cell projection membrane"	GO:0031253	3	"Amn"	-2.48890547340029
"cell projection membrane"	GO:0031253	3	"Ank1"	-2.02116900782818
"cell projection membrane"	GO:0031253	3	"Antxr1"	-1.27009099208168
"cell projection membrane"	GO:0031253	3	"Apc"	-1.16674886032507
"cell projection membrane"	GO:0031253	3	"Apc2"	-2.67939103878477
"cell projection membrane"	GO:0031253	3	"Aqp4"	-36.8500505215874
"cell projection membrane"	GO:0031253	3	"Arf4"	-1.83660280330412
"cell projection membrane"	GO:0031253	3	"Arf6"	-0.626822851811515
"cell projection membrane"	GO:0031253	3	"Arhgef2"	-4.75809322774999
"cell projection membrane"	GO:0031253	3	"Arl13b"	-0.970733442383759
"cell projection membrane"	GO:0031253	3	"Arpc1a"	-3.01102653498724
"cell projection membrane"	GO:0031253	3	"Arpc2"	-21.8458692476769
"cell projection membrane"	GO:0031253	3	"Atf4"	-5.36581653643884
"cell projection membrane"	GO:0031253	3	"Atp2b1"	-34.7427803084308
"cell projection membrane"	GO:0031253	3	"Atp6v0a4"	-1.90817111543503
"cell projection membrane"	GO:0031253	3	"Atp7a"	-2.50004515359186
"cell projection membrane"	GO:0031253	3	"Atp8b1"	-1.76548433605921
"cell projection membrane"	GO:0031253	3	"B4galt1"	-0.959859681028522
"cell projection membrane"	GO:0031253	3	"Bbs4"	-0.314615788911128
"cell projection membrane"	GO:0031253	3	"Bves"	-1.78319730949589
"cell projection membrane"	GO:0031253	3	"Cacna1d"	-1.49954463196745
"cell projection membrane"	GO:0031253	3	"Car4"	-3.27879034659058
"cell projection membrane"	GO:0031253	3	"Cask"	-3.1719921201022
"cell projection membrane"	GO:0031253	3	"Cd24a"	-15.007489722957
"cell projection membrane"	GO:0031253	3	"Cdc37"	-0.448436926224292
"cell projection membrane"	GO:0031253	3	"Cdhr1"	-7.04916542160535
"cell projection membrane"	GO:0031253	3	"Cdhr2"	-29.3889107081171
"cell projection membrane"	GO:0031253	3	"Cdkl5"	-2.48519029756294
"cell projection membrane"	GO:0031253	3	"Ceacam1"	-2.63578053532241
"cell projection membrane"	GO:0031253	3	"Chrna7"	-1.16759773278246
