name	term	lev	seq	value
"BLOC complex"	GO:0031082	4	"Bloc1s1"	0
"BLOC complex"	GO:0031082	4	"Bloc1s2"	0
"BLOC complex"	GO:0031082	4	"Bloc1s3"	0
"BLOC complex"	GO:0031082	4	"Bloc1s4"	0
"BLOC complex"	GO:0031082	4	"Bloc1s5"	0
"BLOC complex"	GO:0031082	4	"Bloc1s6"	0
"BLOC complex"	GO:0031082	4	"Dtnbp1"	0
"BLOC complex"	GO:0031082	4	"Hps1"	0
"BLOC complex"	GO:0031082	4	"Hps3"	0
"BLOC complex"	GO:0031082	4	"Hps4"	0
"BLOC complex"	GO:0031082	4	"Hps5"	0
"BLOC complex"	GO:0031082	4	"Hps6"	0
"BLOC complex"	GO:0031082	4	"Kxd1"	0
"BLOC complex"	GO:0031082	4	"Pi4k2a"	0
"BLOC complex"	GO:0031082	4	"Snap25"	0
"BLOC complex"	GO:0031082	4	"Snap47"	0
"BLOC complex"	GO:0031082	4	"Snapin"	0
"BLOC complex"	GO:0031082	4	"Stx12"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abca12"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abca8a"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abca8b"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abca9"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abcb10"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abcb6"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abcb7"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abcb8"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Abcd3"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Acaa2"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Acadvl"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Acat1"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Acsl5"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Afg3l2"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Aifm1"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Aifm3"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Ak2"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Akap1"	0
"organelle inner membrane"	GO:0005743;GO:0019866	4	"Alas2"	0
