name	term	lev	seq	value
"translation repressor activity"	GO:0030371	2	"Cirbp"	0.1
"translation repressor activity"	GO:0030371	2	"Cpeb1"	-0.1
"translation repressor activity"	GO:0030371	2	"Cpeb2"	0.3
"translation repressor activity"	GO:0030371	2	"Cpeb3"	0
"translation repressor activity"	GO:0030371	2	"Cpeb4"	-0.5
"translation repressor activity"	GO:0030371	2	"Eif4ebp1"	-0.1
"translation repressor activity"	GO:0030371	2	"Eif4ebp2"	-0.1
"translation repressor activity"	GO:0030371	2	"Fmr1"	-0.2
"translation repressor activity"	GO:0030371	2	"Ireb2"	-0.4
"translation repressor activity"	GO:0030371	2	"Paip2"	0.4
"translation repressor activity"	GO:0030371	2	"Patl1"	-0.2
"translation repressor activity"	GO:0030371	2	"Purb"	-0.2
"translation repressor activity"	GO:0030371	2	"Rara"	-0.6
"translation repressor activity"	GO:0030371	2	"Samd4"	0.5
"translation repressor activity"	GO:0030371	2	"Samd4b"	0
"translation repressor activity"	GO:0030371	2	"Trim71"	-1.1
"ionotropic glutamate receptor binding"	GO:0035255	5	"Adrb2"	0.7
"ionotropic glutamate receptor binding"	GO:0035255	5	"Cacng2"	0.3
"ionotropic glutamate receptor binding"	GO:0035255	5	"Canx"	0.1
"ionotropic glutamate receptor binding"	GO:0035255	5	"Ctnnb1"	0.3
"ionotropic glutamate receptor binding"	GO:0035255	5	"Dlg1"	0
"ionotropic glutamate receptor binding"	GO:0035255	5	"Dlg2"	-0.4
"ionotropic glutamate receptor binding"	GO:0035255	5	"Dlg3"	-1.6
"ionotropic glutamate receptor binding"	GO:0035255	5	"Dlg4"	0.3
"ionotropic glutamate receptor binding"	GO:0035255	5	"Drd2"	0.2
"ionotropic glutamate receptor binding"	GO:0035255	5	"Flot1"	0.1
"ionotropic glutamate receptor binding"	GO:0035255	5	"Flot2"	0.2
"ionotropic glutamate receptor binding"	GO:0035255	5	"Fus"	-0.1
"ionotropic glutamate receptor binding"	GO:0035255	5	"Gnas"	0.8
"ionotropic glutamate receptor binding"	GO:0035255	5	"Grin2b"	-3.3
"ionotropic glutamate receptor binding"	GO:0035255	5	"Gsk3b"	-2.4
"ionotropic glutamate receptor binding"	GO:0035255	5	"Il1r1"	0.5
"ionotropic glutamate receptor binding"	GO:0035255	5	"mt-Nd2"	2.9
"ionotropic glutamate receptor binding"	GO:0035255	5	"Myo5b"	1.3
"ionotropic glutamate receptor binding"	GO:0035255	5	"Nedd4"	-1
"ionotropic glutamate receptor binding"	GO:0035255	5	"Neto1"	1.9
"ionotropic glutamate receptor binding"	GO:0035255	5	"Neto2"	-0.1
"ionotropic glutamate receptor binding"	GO:0035255	5	"Nsf"	-0.2
"ionotropic glutamate receptor binding"	GO:0035255	5	"Ophn1"	0
"ionotropic glutamate receptor binding"	GO:0035255	5	"Rab4a"	0.2
"ionotropic glutamate receptor binding"	GO:0035255	5	"Rapsn"	0.1
