name	term	lev	seq	value
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Agt"	-0.7
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Arap1"	0
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Arrb1"	0.1
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Arrb2"	-0.2
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Bdkrb2"	0.4
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Drd1"	0.6
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Ednrb"	0
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Gna13"	0.2
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Gnb1"	0
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Gng3"	0.5
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Jak2"	0.7
"angiotensin receptor binding"	GO:0031701;GO:0031702	3	"Tyk2"	0.6
"calcium-dependent phospholipid binding"	GO:0005544	3	"Anxa11"	-0.8
"calcium-dependent phospholipid binding"	GO:0005544	3	"Anxa3"	-0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Anxa4"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Anxa5"	-0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Anxa6"	-1.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Anxa7"	-0.7
"calcium-dependent phospholipid binding"	GO:0005544	3	"Anxa9"	0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"C2cd4a"	-0.7
"calcium-dependent phospholipid binding"	GO:0005544	3	"C2cd4b"	1
"calcium-dependent phospholipid binding"	GO:0005544	3	"C2cd4c"	0.3
"calcium-dependent phospholipid binding"	GO:0005544	3	"C2cd4d"	0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"C2cd5"	0.2
"calcium-dependent phospholipid binding"	GO:0005544	3	"Cpne3"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Doc2a"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Doc2b"	-0.5
"calcium-dependent phospholipid binding"	GO:0005544	3	"Doc2g"	-0.9
"calcium-dependent phospholipid binding"	GO:0005544	3	"Dysf"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Esyt2"	-0.6
"calcium-dependent phospholipid binding"	GO:0005544	3	"Pclo"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Pla2g4a"	0.3
"calcium-dependent phospholipid binding"	GO:0005544	3	"Rph3a"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt1"	0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt10"	-0.4
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt12"	0.3
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt14"	0.7
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt15"	-0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt16"	0.2
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt17"	-1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt2"	0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt3"	0.4
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt4"	1.7
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt5"	-0.2
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt6"	0.1
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt7"	-0.6
"calcium-dependent phospholipid binding"	GO:0005544	3	"Syt9"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Sytl1"	0
"calcium-dependent phospholipid binding"	GO:0005544	3	"Sytl2"	-0.9
"calcium-dependent phospholipid binding"	GO:0005544	3	"Sytl4"	0.3
"calcium-dependent phospholipid binding"	GO:0005544	3	"Sytl5"	-0.1
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp5e"	-0.3
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp5l"	0.6
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v0b"	0.2
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v0c"	0
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v0d1"	0
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v0d2"	0.1
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v1c1"	0
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v1c2"	0.1
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v1e1"	-0.2
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v1g1"	1.6
"hydrogen-exporting ATPase activity, phosphorylative mechanism"	GO:0008553	3	"Atp6v1g2"	0.1
