name	term	lev	seq	value
"phosphatidylinositol trisphosphate phosphatase activity"	GO:0034594	3	"Inpp4b"	0
"phosphatidylinositol trisphosphate phosphatase activity"	GO:0034594	3	"Inpp5d"	0
"phosphatidylinositol trisphosphate phosphatase activity"	GO:0034594	3	"Inpp5j"	0
"phosphatidylinositol trisphosphate phosphatase activity"	GO:0034594	3	"Inpp5k"	0
"phosphatidylinositol trisphosphate phosphatase activity"	GO:0034594	3	"Pten"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Ache"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrm3"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrna1"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrna2"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrna3"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrna4"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrna5"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrna6"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrna7"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrnb1"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrnb2"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrnb3"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrnb4"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrnd"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Chrne"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Slc18a3"	0
"acetylcholine binding"	GO:0042166;GO:0022848	2	"Htr3a"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Atp2c1"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Atp2c2"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Atp7a"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Atp7b"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Mmgt1"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Mmgt2"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc11a1"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc11a2"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc25a28"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc25a37"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc30a1"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc31a1"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc39a1"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc39a10"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc39a14"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc39a3"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Slc40a1"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Tfrc"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Trf"	0
"transition metal ion transmembrane transporter activity"	GO:0046915	2	"Trpm2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Anxa6"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Aqp1"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Asic1"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Asic2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Asic3"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrm5"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrna1"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrna2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrna3"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrna4"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrna5"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrna6"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrna7"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrnb1"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrnb2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrnb3"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrnb4"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrnd"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Chrne"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Clca4a"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Cnga2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Cnga3"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Cnga4"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Cngb1"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Cngb3"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabra1"	1
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabra2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabra3"	1
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabra4"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabra5"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrb1"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrb2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrb3"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrd"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrg1"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrg2"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrg3"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrq"	0
"ligand-gated ion channel activity"	GO:0015276;GO:0022834	2	"Gabrr2"	0
