name	term	lev	seq	value
"mismatch repair complex binding"	GO:0032404	3	"Atr"	0
"mismatch repair complex binding"	GO:0032404	3	"Mlh1"	0
"mismatch repair complex binding"	GO:0032404	3	"Msh2"	0
"mismatch repair complex binding"	GO:0032404	3	"Msh6"	0
"mismatch repair complex binding"	GO:0032404	3	"Mutyh"	0
"mismatch repair complex binding"	GO:0032404	3	"Pcna"	0
"mismatch repair complex binding"	GO:0032404	3	"Trex1"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Actn2"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Adap2"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Amer1"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Amer2"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Anxa2"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Apba1"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Asap1"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Cadps"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Chmp3"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Commd1"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Dab2"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Exoc1"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Fcho2"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Fzd7"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Gsdmd"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Hcn1"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Hip1r"	0
"phosphatidylinositol bisphosphate binding"	GO:0005546;GO:1902936	2	"Jph2"	0
