"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 8 "GO:0001558;GO:0040008" "regulation of growth" 1
0 1 3 14 "GO:0001932;GO:0031399;GO:0032268;GO:0051247;GO:0001934;GO:0031401;GO:0032270" "regulation of protein modification process" 1
0 1 2 6 "GO:0002009" "morphogenesis of an epithelium" 1
0 1 1 9 "GO:0002376" "immune system process" 1
0 1 2 11 "GO:0002682" "regulation of immune system process" 1
0 1 4 5 "GO:0002684" "positive regulation of immune system process" 1
0 1 2 8 "GO:0006140;GO:1900542" "regulation of nucleotide metabolic process" 1
0 1 3 14 "GO:0006351;GO:0032774;GO:0034645;GO:0009059;GO:0016070;GO:0034654;GO:0090304;GO:0018130;GO:0019438;GO:0044271;GO:1901362" "cellular macromolecule biosynthetic process" 1
0 1 3 12 "GO:0006464;GO:0036211;GO:0044267;GO:0043412" "cellular protein metabolic process" 1
0 1 3 8 "GO:0006468;GO:0016310" "phosphorylation" 1
0 1 4 11 "GO:0006796;GO:0006793" "phosphate-containing compound metabolic process" 1
0 1 4 5 "GO:0006813;GO:0015672" "potassium ion transport" 1
0 1 3 10 "GO:0006816;GO:0070838;GO:0072511;GO:0006874;GO:0006875;GO:0055074;GO:0072503;GO:0055065;GO:0072507" "calcium ion homeostasis" 1
0 1 2 5 "GO:0006820" "anion transport" 1
0 1 4 5 "GO:0006886" "intracellular protein transport" 1
0 1 4 7 "GO:0006915;GO:0012501;GO:0008219;GO:0016265" "apoptotic process" 1
0 1 3 6 "GO:0006952;GO:0009611" "defense response" 1
0 1 2 10 "GO:0006996" "organelle organization" 1
0 1 5 8 "GO:0007167;GO:0007169" "enzyme linked receptor protein signaling pathway" 1
0 1 5 9 "GO:0007186" "G-protein coupled receptor signaling pathway" 1
0 1 5 9 "GO:0007264" "small GTPase mediated signal transduction" 1
0 1 3 11 "GO:0007267;GO:0007154;GO:0044700;GO:0023052" "cell communication" 1
0 1 2 6 "GO:0007268" "synaptic transmission" 1
0 1 3 7 "GO:0007275" "multicellular organismal development" 1
0 1 2 7 "GO:0007399;GO:0048731" "system development" 1
0 1 4 8 "GO:0007612;GO:0007611;GO:0050890" "learning" 1
0 1 2 10 "GO:0008104;GO:0033036;GO:0051179" "localization" 1
0 1 2 5 "GO:0008283" "cell proliferation" 1
0 1 2 9 "GO:0008284" "positive regulation of cell proliferation" 1
0 1 2 11 "GO:0008285" "negative regulation of cell proliferation" 1
0 1 3 6 "GO:0009314" "response to radiation" 1
0 1 2 12 "GO:0009605" "response to external stimulus" 1
0 1 2 7 "GO:0009725" "response to hormone" 1
0 1 3 5 "GO:0009888" "tissue development" 1
0 1 2 5 "GO:0009894" "regulation of catabolic process" 1
0 1 2 6 "GO:0010035" "response to inorganic substance" 1
0 1 3 15 "GO:0010243;GO:1901700;GO:1901698" "response to oxygen-containing compound" 1
0 1 2 9 "GO:0010605" "negative regulation of macromolecule metabolic process" 1
0 1 3 12 "GO:0010628;GO:0010557;GO:0009891" "positive regulation of gene expression" 1
0 1 2 6 "GO:0010629;GO:0010558" "negative regulation of gene expression" 1
0 1 2 10 "GO:0010769;GO:0022604" "regulation of cell morphogenesis" 1
0 1 2 7 "GO:0010976" "positive regulation of neuron projection development" 1
0 1 3 7 "GO:0014070" "response to organic cyclic compound" 1
0 1 2 5 "GO:0014074" "response to purine-containing compound" 1
0 1 3 8 "GO:0015031;GO:0045184" "establishment of protein localization" 1
0 1 2 8 "GO:0016192" "vesicle-mediated transport" 1
0 1 2 6 "GO:0016337;GO:0098602" "single organism cell adhesion" 1
0 1 3 11 "GO:0016477;GO:0048870;GO:0040011" "cell motility" 1
0 1 4 6 "GO:0016482" "cytoplasmic transport" 1
0 1 2 13 "GO:0022603" "regulation of anatomical structure morphogenesis" 1
0 1 2 13 "GO:0022607" "cellular component assembly" 1
0 1 2 15 "GO:0030001;GO:0006812;GO:0055085" "transmembrane transport" 1
0 1 3 13 "GO:0030003;GO:0055080;GO:0050801;GO:0006873;GO:0055082;GO:0019725" "cation homeostasis" 1
0 1 2 5 "GO:0030155" "regulation of cell adhesion" 1
0 1 4 5 "GO:0030198;GO:0043062" "extracellular matrix organization" 1
0 1 3 12 "GO:0030334;GO:2000145;GO:0040012;GO:0051270" "regulation of locomotion" 1
0 1 3 7 "GO:0030336;GO:2000146;GO:0040013;GO:0051271" "negative regulation of locomotion" 1
0 1 3 5 "GO:0030534" "adult behavior" 1
0 1 4 5 "GO:0030817;GO:0030802;GO:0030799;GO:0030808;GO:0030814;GO:1900371" "regulation of cAMP biosynthetic process" 1
0 1 2 11 "GO:0031327;GO:0009890;GO:0045934;GO:0051172" "negative regulation of cellular biosynthetic process" 1
0 1 5 11 "GO:0031346" "positive regulation of cell projection organization" 1
0 1 4 9 "GO:0032101" "regulation of response to external stimulus" 1
0 1 2 10 "GO:0032989" "cellular component morphogenesis" 1
0 1 2 6 "GO:0033043" "regulation of organelle organization" 1
0 1 3 11 "GO:0033554" "cellular response to stress" 1
0 1 4 6 "GO:0034097" "response to cytokine" 1
0 1 2 9 "GO:0034220" "ion transmembrane transport" 1
0 1 4 5 "GO:0034613;GO:0070727" "cellular protein localization" 1
0 1 2 7 "GO:0034765;GO:0034762" "regulation of ion transmembrane transport" 1
0 1 6 6 "GO:0042306;GO:0033157;GO:0046822;GO:1900180;GO:0032386;GO:0051223;GO:0070201;GO:0032880" "regulation of protein transport" 1
0 1 5 5 "GO:0042326" "negative regulation of phosphorylation" 1
0 1 5 13 "GO:0042327" "positive regulation of phosphorylation" 1
0 1 2 8 "GO:0042391" "regulation of membrane potential" 1
0 1 2 6 "GO:0042493" "response to drug" 1
0 1 3 11 "GO:0042981;GO:0043067" "regulation of programmed cell death" 1
0 1 4 8 "GO:0043066;GO:0043069" "negative regulation of programmed cell death" 1
0 1 2 6 "GO:0043086" "negative regulation of catalytic activity" 1
0 1 5 13 "GO:0043269" "regulation of ion transport" 1
0 1 5 5 "GO:0043270" "positive regulation of ion transport" 1
0 1 2 10 "GO:0043408" "regulation of MAPK cascade" 1
