"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
130 0.682985462260899 5 30 "GO:0000118" "histone deacetylase complex" 0.860885136401716
181 0.409668513279866 6 63 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.651962481903358
251 0.381488075535077 3 37 "GO:0000139" "Golgi membrane" 0.63746006789989
513 0.0774786765440674 4 36 "GO:0000152" "nuclear ubiquitin ligase complex" 0.36472955216663
657 0.318113750503447 4 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.63746006789989
658 0.157827341770092 4 14 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.543365773656237
109 0.785970036285231 2 19 "GO:0000178" "exosome (RNase complex)" 0.90347386230794
180 0.504430922960814 4 42 "GO:0000228" "nuclear chromosome" 0.731794965804787
658 0.232690791404379 3 10 "GO:0000242" "pericentriolar material" 0.605449384114912
230 0.509676234194002 2 25 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.735270284441841
657 0.398873134972041 4 5 "GO:0000346" "transcription export complex" 0.63746006789989
-132 0.852946175763894 4 6 "GO:0000347;GO:0000445" "THO complex" 0.932316487598019
347 0.440015632439305 2 15 "GO:0000407" "pre-autophagosomal structure" 0.686612038492821
-727 0.166243426551366 2 11 "GO:0000421" "autophagic vacuole membrane" 0.553840732648139
657 0.355369766712224 4 6 "GO:0000439" "core TFIIH complex" 0.63746006789989
362 0.365661092434162 2 19 "GO:0000502" "proteasome complex" 0.63746006789989
464 0.0206334196214987 4 76 "GO:0000775" "chromosome, centromeric region" 0.158648070867523
424 0.0129797071710033 3 105 "GO:0000776" "kinetochore" 0.113394435547983
239 0.620631597590733 5 13 "GO:0000777" "condensed chromosome kinetochore" 0.822752999104956
657 0.318113750503447 5 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.63746006789989
327 0.467368666507 2 15 "GO:0000779" "condensed chromosome, centromeric region" 0.715529020404522
207 0.694100545478629 3 11 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.863574918973395
202 0.223580555251931 2 111 "GO:0000781;GO:0000784" "chromosome, telomeric region" 0.605449384114912
657 0.318113750503447 2 7 "GO:0000783;GO:0000782;GO:0070187" "nuclear telomere cap complex" 0.63746006789989
-55 0.612566511218414 4 260 "GO:0000785" "chromatin" 0.816560046663382
498 0.0867000121211886 2 36 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.392133388155964
406 0.263512314591824 3 23 "GO:0000788" "nuclear nucleosome" 0.635455368637756
-63 0.642195386805717 2 170 "GO:0000790" "nuclear chromatin" 0.843262253642421
362 0.083331296901565 2 70 "GO:0000792" "heterochromatin" 0.38288321461036
536 0.0441363843253947 5 43 "GO:0000793" "condensed chromosome" 0.261045965411736
454 0.184483671709412 2 26 "GO:0000794" "condensed nuclear chromosome" 0.574973780412043
328 0.480846723995496 5 14 "GO:0000795" "synaptonemal complex" 0.720229292218362
657 0.355369766712224 2 6 "GO:0000796" "condensin complex" 0.63746006789989
-1 0.998700835626572 3 7 "GO:0000798" "nuclear cohesin complex" 0.998700835626572
658 0.143723366984921 2 15 "GO:0000800" "lateral element" 0.529024308263645
