"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
261 0.631488124920812 3 30 "GO:0000118" "histone deacetylase complex" 0.926693632754318
274 0.464956859703674 6 63 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.926693632754318
-639 0.192084217354277 3 37 "GO:0000139" "Golgi membrane" 0.922336725826636
-455 0.359552963505017 4 36 "GO:0000152" "nuclear ubiquitin ligase complex" 0.926693632754318
-785 0.484831169110345 2 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.926693632754318
-308 0.698157082745387 2 14 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.926693632754318
442 0.517468265460319 3 19 "GO:0000178" "exosome (RNase complex)" 0.926693632754318
-956 0.0353765540113871 2 43 "GO:0000228" "nuclear chromosome" 0.786610447137294
-268 0.775315225540901 2 10 "GO:0000242" "pericentriolar material" 0.940709991396177
339 0.576406021466836 2 24 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.926693632754318
-52 0.969087143346577 3 5 "GO:0000346" "transcription export complex" 0.994098643910102
-1283 0.290500547023499 2 6 "GO:0000347;GO:0000445" "THO complex" 0.926693632754318
-619 0.419921934417397 2 15 "GO:0000407" "pre-autophagosomal structure" 0.926693632754318
577 0.520275099140391 4 11 "GO:0000421" "autophagic vacuole membrane" 0.926693632754318
-517 0.670069864947503 2 6 "GO:0000439" "core TFIIH complex" 0.926693632754318
-340 0.617916748230795 2 19 "GO:0000502" "proteasome complex" 0.926693632754318
90 0.794960567254536 2 75 "GO:0000775" "chromosome, centromeric region" 0.943844934661313
-294 0.315497538063638 2 104 "GO:0000776" "kinetochore" 0.926693632754318
-1889 0.0174765843680325 4 14 "GO:0000777" "condensed chromosome kinetochore" 0.500536080284896
-389 0.729580866499611 2 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.926693632754318
447 0.574110081196245 3 14 "GO:0000779" "condensed chromosome, centromeric region" 0.926693632754318
