"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-378 0.494149948689174 2 30 "GO:0000118" "histone deacetylase complex" 0.744461713090677
307 0.421291904160338 6 63 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.682338151598667
793 0.111053735756448 3 37 "GO:0000139" "Golgi membrane" 0.363161505554261
103 0.838774200386529 4 36 "GO:0000152" "nuclear ubiquitin ligase complex" 0.948777374207713
-347 0.761564432602834 2 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.911391550693814
-425 0.612708219091422 2 13 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.835301603139873
-101 0.887550586677118 3 18 "GO:0000178" "exosome (RNase complex)" 0.969003013935461
138 0.764607459167386 2 43 "GO:0000228" "nuclear chromosome" 0.911391550693814
785 0.411679521595705 2 10 "GO:0000242" "pericentriolar material" 0.676330642621515
517 0.393073660782272 2 25 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.661143049454387
-6 0.996753184289295 3 5 "GO:0000346" "transcription export complex" 0.996753184289295
231 0.851796709712665 4 6 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 0.957230830133125
-80 0.918644661663578 2 15 "GO:0000407" "pre-autophagosomal structure" 0.976679224264821
1114 0.221816186962139 4 11 "GO:0000421" "autophagic vacuole membrane" 0.49531769904167
889 0.471555468178102 4 6 "GO:0000439" "core TFIIH complex" 0.724662078046526
1119 0.107015136926747 3 19 "GO:0000502" "proteasome complex" 0.355002136920459
100 0.77511435710788 3 75 "GO:0000775" "chromosome, centromeric region" 0.914563590487828
46 0.875995264751202 3 105 "GO:0000776" "kinetochore" 0.964731391523297
-126 0.875811233577286 2 14 "GO:0000777" "condensed chromosome kinetochore" 0.964731391523297
1286 0.260496213030263 2 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.530213530946553
362 0.654561358820404 2 14 "GO:0000779" "condensed chromosome, centromeric region" 0.85297895487034
-312 0.744178217189615 3 10 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.902430526996194
376 0.190867896431362 3 112 "GO:0000781;GO:0000784" "chromosome, telomeric region" 0.465088941209816
710 0.534566800353024 4 7 "GO:0000783;GO:0000782;GO:0070187" "telosome" 0.778166861273389
-278 0.143749463791211 3 260 "GO:0000785" "chromatin" 0.400787372008706
698 0.166833152684181 3 36 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.429533116985391
958 0.128818231768632 2 23 "GO:0000788" "nuclear nucleosome" 0.383817078668532
-99 0.671717441422781 2 171 "GO:0000790" "nuclear chromatin" 0.86290518566006
-415 0.251756136876904 4 70 "GO:0000792" "heterochromatin" 0.521656860195387
311 0.500896409559052 2 43 "GO:0000793" "condensed chromosome" 0.749714799556933
338 0.569015151017693 4 26 "GO:0000794" "condensed nuclear chromosome" 0.809966412367082
-622 0.441907006952205 2 14 "GO:0000795" "synaptonemal complex" 0.69278212941162
303 0.806313667438596 4 6 "GO:0000796" "condensin complex" 0.933483943846697
-1625 0.155057552802777 3 7 "GO:0000798" "nuclear cohesin complex" 0.421526592713391
-37 0.96397684243863 2 14 "GO:0000800" "lateral element" 0.982568318007865
692 0.283161454432901 2 22 "GO:0000803" "sex chromosome" 0.559832101887398
373 0.744138423132913 4 7 "GO:0000805" "X chromosome" 0.902430526996194
385 0.754949026621209 2 6 "GO:0000812" "Swr1 complex" 0.909100922109309
-221 0.624210468561555 3 45 "GO:0000922" "spindle pole" 0.841221139272408
2579 0.0565086948706811 2 5 "GO:0000923" "equatorial microtubule organizing center" 0.256519733294539
1293 0.109703191947064 4 14 "GO:0000930" "gamma-tubulin complex" 0.360453344968925
-13 0.977292941013991 2 42 "GO:0000932" "cytoplasmic mRNA processing body" 0.989692887385678
90 0.917658313683863 3 12 "GO:0000940" "condensed chromosome outer kinetochore" 0.976679224264821
