"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 5 30 "GO:0000118" "histone deacetylase complex" 1
0 1 5 63 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 1 2 37 "GO:0000139" "Golgi membrane" 1
0 1 2 36 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 1 2 14 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 3 19 "GO:0000178" "exosome (RNase complex)" 1
0 1 2 44 "GO:0000228" "nuclear chromosome" 1
0 1 3 10 "GO:0000242" "pericentriolar material" 1
0 0.305949769044944 3 25 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 4 5 "GO:0000346" "transcription export complex" 1
0 1 3 6 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 1
0 1 2 15 "GO:0000407" "pre-autophagosomal structure" 1
0 1 4 11 "GO:0000421" "autophagic vacuole membrane" 1
0 1 2 6 "GO:0000439" "core TFIIH complex" 1
0 1 2 19 "GO:0000502" "proteasome complex" 1
0 1 2 76 "GO:0000775" "chromosome, centromeric region" 1
0 1 4 106 "GO:0000776" "kinetochore" 1
0 1 2 14 "GO:0000777" "condensed chromosome kinetochore" 1
0 1 3 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 1
0 1 3 15 "GO:0000779" "condensed chromosome, centromeric region" 1
0 1 4 11 "GO:0000780" "condensed nuclear chromosome, centromeric region" 1
0 1 2 112 "GO:0000781;GO:0000784" "chromosome, telomeric region" 1
0 1 2 7 "GO:0000783;GO:0000782;GO:0070187" "nuclear telomere cap complex" 1
0 0.736051445289582 2 262 "GO:0000785" "chromatin" 1
0 1 2 36 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 1
0 1 3 23 "GO:0000788" "nuclear nucleosome" 1
0 0.455948481178666 2 172 "GO:0000790" "nuclear chromatin" 1
0 1 2 71 "GO:0000792" "heterochromatin" 1
0 1 2 44 "GO:0000793" "condensed chromosome" 1
0 1 3 27 "GO:0000794" "condensed nuclear chromosome" 1
0 1 3 15 "GO:0000795" "synaptonemal complex" 1
0 1 2 6 "GO:0000796" "condensin complex" 1
0 1 2 7 "GO:0000798" "nuclear cohesin complex" 1
0 1 2 15 "GO:0000800" "lateral element" 1
0 1 2 22 "GO:0000803" "sex chromosome" 1
0 1 3 7 "GO:0000805" "X chromosome" 1
0 1 4 6 "GO:0000812" "Swr1 complex" 1
0 1 2 46 "GO:0000922" "spindle pole" 1
0 1 2 5 "GO:0000923" "equatorial microtubule organizing center" 1
0 1 4 14 "GO:0000930" "gamma-tubulin complex" 1
0 1 3 42 "GO:0000932" "cytoplasmic mRNA processing body" 1
0 1 2 12 "GO:0000940" "condensed chromosome outer kinetochore" 1
0 1 3 11 "GO:0000974" "Prp19 complex" 1
0 1 3 6 "GO:0001650" "fibrillar center" 1
0 1 3 5 "GO:0001651" "dense fibrillar component" 1
0 0.316027313381997 4 26 "GO:0001669" "acrosomal vesicle" 1
0 0.489647977153561 5 46 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 1
0 1 2 38 "GO:0001726" "ruffle" 1
0 1 4 5 "GO:0001739" "sex chromatin" 1
0 1 4 5 "GO:0001740" "Barr body" 1
0 1 3 14 "GO:0001741" "XY body" 1
0 0.364275358800395 2 31 "GO:0001750" "photoreceptor outer segment" 1
0 1 2 16 "GO:0001772" "immunological synapse" 1
0 1 2 12 "GO:0001891" "phagocytic cup" 1
0 1 3 31 "GO:0001917" "photoreceptor inner segment" 1
0 1 2 6 "GO:0001931" "uropod" 1
0 1 2 6 "GO:0001939;GO:0001940" "female pronucleus" 1
0 1 2 8 "GO:0002080" "acrosomal membrane" 1
0 0.253306047019688 2 20 "GO:0002102" "podosome" 1
0 1 2 8 "GO:0002178;GO:0017059;GO:0031211" "palmitoyltransferase complex" 1
0 0.00389346184057299 1 985 "GO:0005576" "extracellular region" 0.13489367062867
0 1 2 5 "GO:0005577" "fibrinogen complex" 1
0 0.0272192127753574 2 247 "GO:0005578" "proteinaceous extracellular matrix" 0.557193296813199
0 0.242517991651356 3 65 "GO:0005581" "collagen trimer" 1
0 0.160705702366365 2 12 "GO:0005583" "fibrillar collagen trimer" 1
0 1 4 5 "GO:0005587;GO:0098642" "collagen type IV trimer" 1
0 0.029250278663683 2 119 "GO:0005604;GO:0044420" "extracellular matrix part" 0.565505387497871
0 1 2 18 "GO:0005605" "basal lamina" 1
0 0.196696987854705 3 15 "GO:0005614" "interstitial matrix" 1
0 0.010658324201188 2 957 "GO:0005615" "extracellular space" 0.255799780828512
0 0.159176418440374 2 659 "GO:0005622" "intracellular" 1
0 1 1 97 "GO:0005623" "cell" 1
0 0.316027313381997 3 26 "GO:0005637" "nuclear inner membrane" 1
0 1 3 5 "GO:0005638" "lamin filament" 1
0 1 2 14 "GO:0005639;GO:0044453" "nuclear membrane part" 1
0 1 2 11 "GO:0005640" "nuclear outer membrane" 1
0 1 2 12 "GO:0005641" "nuclear envelope lumen" 1
0 1 2 5 "GO:0005642" "annulate lamellae" 1
0 0.671402037744821 4 76 "GO:0005643;GO:0046930" "pore complex" 1
0 1 2 9 "GO:0005652" "nuclear lamina" 1
0 1 4 7 "GO:0005655;GO:0030681;GO:0030677" "multimeric ribonuclease P complex" 1
0 1 2 24 "GO:0005657" "replication fork" 1
0 1 3 5 "GO:0005658" "alpha DNA polymerase:primase complex" 1
0 1 3 15 "GO:0005662" "DNA replication factor A complex" 1
0 1 2 5 "GO:0005663" "DNA replication factor C complex" 1
0 1 2 8 "GO:0005664;GO:0000808" "nuclear origin of replication recognition complex" 1
0 1 2 16 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 1
0 1 2 17 "GO:0005666" "DNA-directed RNA polymerase III complex" 1
0 0.253856505387426 2 294 "GO:0005667" "transcription factor complex" 1
0 1 5 34 "GO:0005669" "transcription factor TFIID complex" 1
0 1 4 14 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 1
0 1 5 12 "GO:0005675" "holo TFIIH complex" 1
0 1 2 8 "GO:0005677" "chromatin silencing complex" 1
0 1 2 19 "GO:0005680" "anaphase-promoting complex" 1
0 1 3 153 "GO:0005681" "spliceosomal complex" 1
0 1 2 16 "GO:0005682" "U5 snRNP" 1
0 1 2 5 "GO:0005683" "U7 snRNP" 1
0 1 2 19 "GO:0005684" "U2-type spliceosomal complex" 1
0 1 3 17 "GO:0005685" "U1 snRNP" 1
0 1 2 19 "GO:0005686" "U2 snRNP" 1
0 1 2 10 "GO:0005687" "U4 snRNP" 1
0 1 3 7 "GO:0005688" "U6 snRNP" 1
0 1 2 26 "GO:0005689" "U12-type spliceosomal complex" 1
0 1 3 331 "GO:0005694" "chromosome" 1
0 1 2 19 "GO:0005697" "telomerase holoenzyme complex" 1
0 0.391584853282544 2 34 "GO:0005719;GO:0000791" "euchromatin" 1
0 1 2 35 "GO:0005720" "nuclear heterochromatin" 1
0 1 2 18 "GO:0005721" "centromeric heterochromatin" 1
0 0.931842815646328 3 675 "GO:0005730" "nucleolus" 1
0 1 2 18 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 1 2 12 "GO:0005736" "DNA-directed RNA polymerase I complex" 1
0 0.989587121701224 3 1424 "GO:0005739" "mitochondrion" 1
0 1 2 16 "GO:0005740" "mitochondrial envelope" 1
0 1 3 150 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 1 4 8 "GO:0005742" "mitochondrial outer membrane translocase complex" 1
0 0.977789809393506 3 386 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 3 6 "GO:0005744" "mitochondrial inner membrane presequence translocase complex" 1
0 1 4 5 "GO:0005746" "mitochondrial respiratory chain" 1
0 1 4 42 "GO:0005747;GO:0045271;GO:0030964" "NADH dehydrogenase complex" 1
0 1 4 11 "GO:0005750;GO:0045275" "respiratory chain complex III" 1
0 1 4 14 "GO:0005751;GO:0045277" "respiratory chain complex IV" 1
