"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
54 0.953713978245372 2 10 "GO:0000030" "mannosyltransferase activity" 0.994346881921087
-615 0.577532718728941 2 7 "GO:0000182" "rDNA binding" 0.929161417543929
442 0.532464412934358 2 17 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.915792240438202
-125 0.647346544027253 5 115 "GO:0000287" "magnesium ion binding" 0.948409000130881
423 0.746249705610977 3 5 "GO:0000339" "RNA cap binding" 0.966033099010881
723 0.579840783005822 2 5 "GO:0000832;GO:0000828;GO:0052723" "inositol hexakisphosphate 5-kinase activity" 0.929161417543929
1114 0.350193336972105 4 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.857884086958319
-71 0.645281724396086 2 374 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.948409000130881
-163 0.441046151081567 2 195 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.895436531682013
140 0.728056658330357 2 53 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.963940485973264
-57 0.882220451605317 3 58 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.975331903861682
226 0.101699141026791 2 467 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.718589846456136
203 0.243296687432047 3 290 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.827266380146674
-822 0.260523820703226 4 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.839286502399274
20 0.892095906264144 2 389 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.979149874812225
-1511 0.24722430536866 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 0.831069033177099
-339 0.63211064984431 2 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.948409000130881
-1081 0.364405284194481 2 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 0.857884086958319
-1507 0.206165487772708 4 6 "GO:0001025" "RNA polymerase III transcription factor binding" 0.810599406339199
47 0.878683796817881 2 91 "GO:0001046" "core promoter sequence-specific DNA binding" 0.975305981242404
69 0.78462638007804 2 134 "GO:0001047" "core promoter binding" 0.966033099010881
-3055 0.00564139708495717 3 7 "GO:0001055" "RNA polymerase II activity" 0.291204928158688
-1876 0.0422349784902717 4 10 "GO:0001056" "RNA polymerase III activity" 0.604048692986553
-724 0.543726911028802 2 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 0.915792240438202
152 0.594210552034057 3 106 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.937319636125514
375 0.0765670301284812 2 194 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.664857374859354
-165 0.572906105645737 5 101 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.923955955669837
-6 0.983308207987901 4 96 "GO:0001085" "RNA polymerase II transcription factor binding" 0.99521671623573
-718 0.460972103653121 2 9 "GO:0001091;GO:0001094" "RNA polymerase II basal transcription factor binding" 0.895436531682013
-832 0.162981736707183 3 24 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.769925724204732
738 0.146887481892317 2 33 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.755908785773315
69 0.917854459268292 2 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.983717923408956
7 0.98531300385742 4 64 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.99521671623573
501 0.347442073657953 2 30 "GO:0001105" "RNA polymerase II transcription coactivator activity" 0.857884086958319
-431 0.498630840740849 5 21 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.912444813510298
605 0.473409058603112 3 12 "GO:0001134" "transcription factor recruiting transcription factor activity" 0.900149920976493
783 0.448125643923468 2 8 "GO:0001135" "RNA polymerase II transcription factor recruiting transcription factor activity" 0.895436531682013
-149 0.646705670726808 2 81 "GO:0001158;GO:0035326" "enhancer binding" 0.948409000130881
-20 0.98235434921242 2 11 "GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 0.99521671623573
953 0.355893716008588 2 8 "GO:0001162" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.857884086958319
-1091 0.262527438859303 3 9 "GO:0001164;GO:0001163;GO:0001013" "RNA polymerase I regulatory region DNA binding" 0.840066456642609
473 0.300771029894908 4 41 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.856265147926669
110 0.837429317383022 2 30 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.971773668510227
428 0.473037418418581 2 24 "GO:0001205" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.900149920976493
1245 0.227803688263872 4 8 "GO:0001206" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.814778953254797
167 0.766245542011916 3 27 "GO:0001221" "transcription cofactor binding" 0.966033099010881
386 0.676295906372385 5 10 "GO:0001222" "transcription corepressor binding" 0.951830201186698
969 0.293948959794364 5 10 "GO:0001223" "transcription coactivator binding" 0.849877865580256
-94 0.697980812909135 2 148 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.951830201186698
409 0.0245473773743546 3 264 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.527099139620232
95 0.942092022478297 3 5 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.992351713899563
-516 0.692840621621106 2 5 "GO:0001530" "lipopolysaccharide binding" 0.951830201186698
-1418 0.277610451908358 2 5 "GO:0001540" "beta-amyloid binding" 0.848283561054547
373 0.0835153561993043 2 187 "GO:0001664" "G-protein coupled receptor binding" 0.678716390504261
-1381 0.290141467442896 3 5 "GO:0001665" "alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity" 0.849877865580256
-363 0.781015167041819 3 5 "GO:0001671" "ATPase activator activity" 0.966033099010881
810 0.534870899144676 4 5 "GO:0001727" "lipid kinase activity" 0.915792240438202
-581 0.625756574034299 5 6 "GO:0001784" "phosphotyrosine binding" 0.948409000130881
-1118 0.125976380174979 5 16 "GO:0001786" "phosphatidylserine binding" 0.732897068899755
-548 0.645912927308857 3 6 "GO:0001848" "complement binding" 0.948409000130881
154 0.653583808471884 3 73 "GO:0001948" "glycoprotein binding" 0.948409000130881
287 0.685665057753361 3 17 "GO:0001965" "G-protein alpha-subunit binding" 0.951830201186698
24 0.971728126663402 3 19 "GO:0001968" "fibronectin binding" 0.994346881921087
-303 0.463619679979455 2 50 "GO:0002020" "protease binding" 0.896035602896733
-383 0.364499535729334 3 48 "GO:0002039" "p53 binding" 0.857884086958319
12 0.990018535823743 2 9 "GO:0002161" "aminoacyl-tRNA editing activity" 0.997621067242185
857 0.47246067617453 2 6 "GO:0002162" "dystroglycan binding" 0.900149920976493
237 0.631002086097918 2 35 "GO:0003678" "DNA helicase activity" 0.948409000130881
106 0.929209423845167 2 6 "GO:0003680" "AT DNA binding" 0.989536816556485
-64 0.651649783498468 2 450 "GO:0003682" "chromatin binding" 0.948409000130881
438 0.289776912165056 3 50 "GO:0003684" "damaged DNA binding" 0.849877865580256
2 0.998587062562036 2 9 "GO:0003688" "DNA replication origin binding" 0.999523817567447
-104 0.919985096077866 3 8 "GO:0003689;GO:0033170" "DNA clamp loader activity" 0.985042972319093
432 0.103906949637494 2 122 "GO:0003690" "double-stranded DNA binding" 0.718589846456136
1763 0.0877271813094273 2 8 "GO:0003691" "double-stranded telomeric DNA binding" 0.695340947157273
44 0.895498924803114 6 78 "GO:0003697" "single-stranded DNA binding" 0.980684838317193
93 0.400907596096832 2 749 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.871037267782315
136 0.685435712818007 3 76 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.951830201186698
133 0.758645147317235 3 46 "GO:0003707;GO:0004879;GO:0098531" "steroid hormone receptor activity" 0.966033099010881
698 0.558210480585666 2 6 "GO:0003708" "retinoic acid receptor activity" 0.915792240438202
80 0.704689233885129 2 196 "GO:0003713" "transcription coactivator activity" 0.951830201186698
-80 0.753843230687575 4 134 "GO:0003714" "transcription corepressor activity" 0.966033099010881
1471 0.182736239315317 3 7 "GO:0003720;GO:0003964" "RNA-directed DNA polymerase activity" 0.788991028333703
-809 0.028342807222857 4 63 "GO:0003725" "double-stranded RNA binding" 0.540020830402008
-227 0.516193930944276 2 70 "GO:0003727" "single-stranded RNA binding" 0.915792240438202
-289 0.219702584853072 2 156 "GO:0003729" "mRNA binding" 0.814778953254797
-181 0.674904501885893 2 46 "GO:0003730" "mRNA 3'-UTR binding" 0.951830201186698
-397 0.206689621631605 2 87 "GO:0003735" "structural constituent of ribosome" 0.810599406339199
-1223 0.00674475801536181 2 42 "GO:0003743" "translation initiation factor activity" 0.306367662159319
156 0.84189624213483 2 14 "GO:0003746" "translation elongation factor activity" 0.971773668510227
-1051 0.378063358025143 2 6 "GO:0003747;GO:0008079" "translation release factor activity" 0.860684023961511
-557 0.340257014720969 3 25 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.856265147926669
224 0.458749876430468 2 94 "GO:0003774" "motor activity" 0.895436531682013
0 0.999523817567447 2 56 "GO:0003777" "microtubule motor activity" 0.999523817567447
56 0.769487074684974 2 242 "GO:0003779" "actin binding" 0.966033099010881
-199 0.778613793809593 3 17 "GO:0003785" "actin monomer binding" 0.966033099010881
514 0.260811300914931 2 41 "GO:0003823" "antigen binding" 0.839286502399274
76 0.945369310909831 3 7 "GO:0003836" "beta-galactoside (CMP) alpha-2,3-sialyltransferase activity" 0.992956702299051
1052 0.377344702757799 3 6 "GO:0003854" "3-beta-hydroxy-delta5-steroid dehydrogenase activity" 0.860684023961511
-109 0.92709709913058 2 6 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.9890710696235
484 0.348793596845624 2 32 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.857884086958319
-1030 0.0322080494793094 2 37 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.556253686191167
1405 0.0955282504873555 2 12 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.709886341723631
2855 0.0166189880331926 3 6 "GO:0003909;GO:0003910" "DNA ligase (ATP) activity" 0.424512844577878
795 0.504819266286884 2 6 "GO:0003916" "DNA topoisomerase activity" 0.912444813510298
-514 0.023273807678035 2 169 "GO:0003924" "GTPase activity" 0.509006793847395
1096 0.193754362894687 5 12 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.792905843113663
1100 0.286852895404705 3 8 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.849877865580256
-546 0.468748964256419 2 15 "GO:0003995;GO:0052890" "acyl-CoA dehydrogenase activity" 0.89723262040005
-517 0.664502747588779 3 6 "GO:0004000" "adenosine deaminase activity" 0.951830201186698
71 0.901831522788357 2 26 "GO:0004003" "ATP-dependent DNA helicase activity" 0.981624910979769
-534 0.168502155497695 2 57 "GO:0004004;GO:0003724;GO:0008186" "RNA-dependent ATPase activity" 0.774323134796801
-413 0.584086156682246 4 15 "GO:0004012" "phospholipid-translocating ATPase activity" 0.929929177153971
-1283 0.12794513248221 2 12 "GO:0004016" "adenylate cyclase activity" 0.733510686706262
682 0.509001433425728 4 8 "GO:0004017" "adenylate kinase activity" 0.912444813510298
1039 0.426442919998437 5 5 "GO:0004028" "3-chloroallyl aldehyde dehydrogenase activity" 0.892635859610342
-125 0.868137441521164 5 15 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 0.973262204522613
-131 0.912326037183067 3 6 "GO:0004030" "aldehyde dehydrogenase [NAD(P)+] activity" 0.983717923408956
969 0.458063860137402 2 5 "GO:0004075" "biotin carboxylase activity" 0.895436531682013
1870 0.116689292761579 2 6 "GO:0004111;GO:0016775" "phosphotransferase activity, nitrogenous group as acceptor" 0.725316077639078
638 0.316993303119528 6 21 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 0.856265147926669
779 0.336018525581276 2 13 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.856265147926669
-842 0.445763734411362 3 7 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "heme-copper terminal oxidase activity" 0.895436531682013
501 0.650098859022038 4 7 "GO:0004143" "diacylglycerol kinase activity" 0.948409000130881
447 0.037550587875961 3 188 "GO:0004175" "endopeptidase activity" 0.589833237946172
199 0.856807479947257 6 7 "GO:0004176" "ATP-dependent peptidase activity" 0.971773668510227
-24 0.97329804868821 2 16 "GO:0004177" "aminopeptidase activity" 0.994346881921087
1706 0.00167622568986762 2 29 "GO:0004180" "carboxypeptidase activity" 0.131974835982244
2469 0.000493842751076426 7 17 "GO:0004181" "metallocarboxypeptidase activity" 0.0804415844658197
2431 0.00847460812744975 3 10 "GO:0004185;GO:0070008" "serine-type exopeptidase activity" 0.312766006203692
646 0.424951979936769 6 13 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.891938901761669
562 0.178957179856772 2 49 "GO:0004197" "cysteine-type endopeptidase activity" 0.785851158039568
183 0.859672132131726 3 8 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.972131207940946
-95 0.830140282128536 2 44 "GO:0004222" "metalloendopeptidase activity" 0.971773668510227
1489 0.000184189128505624 2 54 "GO:0004252" "serine-type endopeptidase activity" 0.0435054721530284
-563 0.389076571253853 3 20 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.861811997980731
-278 0.815698191775395 5 6 "GO:0004300" "enoyl-CoA hydratase activity" 0.969154491435354
-235 0.857398952233409 5 5 "GO:0004303" "estradiol 17-beta-dehydrogenase activity" 0.971773668510227
724 0.579106680100828 4 5 "GO:0004311" "farnesyltranstransferase activity" 0.929161417543929
-1726 0.0762433116319371 2 9 "GO:0004312" "fatty acid synthase activity" 0.664857374859354
1884 0.149169831033049 8 5 "GO:0004331" "fructose-2,6-bisphosphate 2-phosphatase activity" 0.758564327398442
-431 0.741381167226629 2 5 "GO:0004340;GO:0004396" "glucokinase activity" 0.966033099010881
360 0.744006070146128 3 7 "GO:0004364" "glutathione transferase activity" 0.966033099010881
-1170 0.256973163863708 2 8 "GO:0004383" "guanylate cyclase activity" 0.833750842096261
-686 0.599558102889767 4 5 "GO:0004385" "guanylate kinase activity" 0.937851813924258
-475 0.0696025349213407 2 126 "GO:0004386" "helicase activity" 0.655095498712401
-382 0.351416266101321 3 51 "GO:0004402" "histone acetyltransferase activity" 0.857884086958319
