"RNAseqID","Mouse","Genotype","jobnumber","Subfield","Treatment","Date"
"100-CA1-1","15-100","WT","JA16444","CA1","HOMO","9/28/15"
"100-CA1-2","15-100","WT","JA16444","CA1","HOMO","9/28/15"
"100-CA1-3","15-100","WT","JA16444","CA1","HOMO","9/28/15"
"100-CA3-1","15-100","WT","JA16444","CA3","HOMO","9/28/15"
"100-CA3-4","15-100","WT","JA16444","CA3","HOMO","9/28/15"
"100-DG-2","15-100","WT","JA16444","DG","HOMO","9/28/15"
"100-DG-3","15-100","WT","JA16444","DG","HOMO","9/28/15"
"101-CA1-1","15-100","WT","JA16444","CA1","DISS","9/28/15"
"101-CA1-2","15-100","WT","JA16444","CA1","DISS","9/28/15"
"101-CA1-3","15-100","WT","JA16444","CA1","DISS","9/28/15"
"101-CA3-1","15-100","WT","JA16444","CA3","DISS","9/28/15"
"101-CA3-4","15-100","WT","JA16444","CA3","DISS","9/28/15"
"101-DG-3","15-100","WT","JA16444","DG","DISS","9/28/15"
"101-DG-4","15-100","WT","JA16444","DG","DISS","9/28/15"
