"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"0610007P14Rik",4.58850390210214,4.77645646422688,4.853057788055,5.07903130334416,5.17133202675858,5.18617592465758,5.03061975020135,4.95517654191685,4.21725474366931,3.46688730882056,5.08661614690757,5.01921524714651,5.43969703900206,4.15555935893865
"0610009B22Rik",3.1864329636103,3.69991802801288,3.13023430384197,3.60300015887893,3.09720531744733,3.64254309711204,3.48269009711882,3.30483041143433,4.26058787135777,2.7114180053603,3.82007434010315,3.47741253318065,4.20070028886672,2.74448196556436
"0610009L18Rik",1.7769150046267,2.36012221460129,1.67393368671444,2.38022501486212,2.12837491606431,1.82924506796867,2.48769089898665,2.03899472168502,1.95213157885622,1.79573774141479,2.24039483857148,1.91689480750112,3.16130675690725,3.00002424647475
"0610009O20Rik",4.78389286198724,5.30068059960293,5.17951304416424,5.56853658908742,5.42696535329791,5.58009589458023,5.24991497585207,5.47498414769798,5.04528993743271,5.18008553725497,5.55560501829757,5.28452421936343,6.00400785606321,4.96703945234532
"0610010F05Rik",5.35988224597237,5.52637837918582,5.47358495429033,5.22363085081755,5.48988364918069,5.49730514291328,5.37274994191653,4.99828095041241,5.43816611942285,5.47127587731262,4.73413420552234,5.65848585868647,5.41060564747107,4.64097267848299
"0610010K14Rik",3.42395210117178,3.61155300528223,3.4870587245737,3.36166675944659,3.69318409258334,3.56473083779995,3.90844302857146,3.96261928085604,3.76371099932695,2.75808122481031,2.48692736723719,2.84391850326804,3.77684889986572,4.42976674745822
"0610012G03Rik",4.98211248550931,5.26747109190202,4.84404640916896,5.16233871345995,5.18971592523144,4.65897647853465,5.38644681515414,5.61987914701321,4.91729356648358,5.18361722293869,5.49569593112035,5.41097947637838,4.40032347355275,4.13150966268843
"0610030E20Rik",4.63531841191511,4.29889701715832,4.13046996930839,4.48934340420861,3.68250163150227,4.85094500067457,4.98027928635119,4.21876433996192,3.48634989597326,3.49920962177937,4.81940939873462,3.39654954186354,3.7841904229343,4.60677753665771
"0610037L13Rik",4.98387359453826,5.47858466318888,5.20417702595904,5.49807305136435,5.6153931390526,5.50308264561393,6.13859199926446,5.4805808884594,5.4166137376199,4.59847082756618,5.53550101406325,5.20047068595322,5.38094171275484,3.49903047640711
"0610040J01Rik",1.80194000903565,1.57108043565186,1.62889470738983,1.7126312219127,1.48859252602843,2.21477733651147,2.14714720937762,2.16934659235854,1.69197611552717,2.1286375718576,1.78063052961663,2.00312561401593,1.8714622188501,1.50448735346297
"1110002E22Rik",1.90823995970313,2.30534680922151,1.71380606114994,1.6869888855489,1.64505318716068,2.19258012677868,2.42865596465468,1.38855419041649,1.59936257650771,1.47527697302595,1.31525019888393,1.35760302958063,1.77759451733808,1.40661376410149
"1110004E09Rik",4.04857313802646,4.78837265319359,4.42763689487766,4.49013082543151,5.04310866667829,4.66586450816735,4.66560352833704,4.59665771915907,4.32902877327797,4.25604741100612,4.21375773894179,3.35802295033363,4.45309339539557,4.49140515214542
"1110004F10Rik",6.11802956262982,6.61096908726958,6.53769966492088,6.1843562973768,6.60040859536133,6.40149205561773,6.43219655420566,6.41166865049369,5.97853858733604,6.50503241209083,6.31432910477047,6.52522509030253,5.93697617761555,6.24376855376969
"1110008F13Rik",5.10839121870419,5.52709982925938,5.42581009186353,5.06390364396564,5.79381235917333,5.70337985708118,5.37248784565319,5.50125134870761,6.37454522408625,5.32936155132569,5.19756392161952,5.58742280496073,4.66820967635275,5.65023636419903
"1110008L16Rik",2.80098592233219,2.32101859489042,2.8236961075732,2.67719616990894,2.56773364883735,2.23695950225056,2.58404150932528,2.54105991928166,2.23170239748019,2.11366938630724,2.89881823363384,2.79220991717396,2.43864378933515,2.01366017982617
"1110008P14Rik",5.56494123786448,5.65435545749445,5.46989481087408,5.57408846713264,6.08318232385469,6.27686405710729,5.31825958381902,5.9331396624859,7.22299863850402,5.21569507464475,6.00963252780859,6.2494298192691,5.98747086948953,5.01612782140188
"1110012L19Rik",1.93270290672575,2.5896417556624,2.01298821243587,2.59961263971844,2.64549389014839,2.67018458303446,2.40793944389289,2.09194176271302,3.29845840440427,3.23839005222747,2.42366674277032,2.48791775117428,2.41583759810578,1.92259671767517
"1110017D15Rik",-0.243127780205245,-0.143621885134422,-0.1989147288465,-0.0644100001939832,-0.122689935654047,-0.240717313608109,-0.229194450754353,-0.173982518711905,-0.129298914008889,-0.177635455039878,-0.123430997425345,-0.239068003830808,-0.0715295224459344,-0.221528829678676
"1110032A03Rik",3.78412306688267,4.03238647154124,4.1196904831491,3.80868917019267,4.7595665307955,4.33668896167068,4.07080076970763,4.42270131056119,3.90836285611491,4.60268194062266,4.09823943508629,4.39486831556049,4.3307637724925,4.74402342246471
"1110032F04Rik",3.55591575335528,3.52346578454375,3.52323910761269,3.46244810618066,3.11899536382959,3.36345209965314,2.70859908833025,3.85699375482537,2.6846845645382,2.5088378292225,3.14851711608164,2.39287457464435,2.90238920164856,2.3503934894251
"1110034G24Rik",2.80682710423505,2.68055621057603,2.27666648952504,2.31542170317582,2.47636093857776,2.22830411557493,2.75043958135921,2.21876915695068,2.2565767965348,3.88093496772432,2.83368050437749,2.63127408482636,2.47930222394559,1.97801562109146
"1110037F02Rik",5.56304683817256,5.57803744820361,5.76263569055248,5.41820061028076,5.11412898351867,5.0771917021569,6.13353127141215,5.51569440938311,5.07792697070284,5.9537077214607,5.13893776469534,4.99605734674778,5.77857329424299,4.5679868678205
"1110038F14Rik",3.47323293409755,3.93608993272493,3.73562392594862,4.09567659013452,4.00062937699877,4.13497525971773,4.38203923551068,4.20002005183382,3.59259973631581,2.94292211779327,3.80412418348058,4.06798663027018,3.43026854747676,2.72107046180459
