"","gene","pvalue","lfc","padj","color"
"1","0610007P14Rik",0.061477682156989,-0.528113592517465,0.868005181832489,"none"
"2","0610009B22Rik",0.0181079722219536,0.289105331024584,0.959162139556082,"none"
"3","0610009L18Rik",0.0188701712875153,-0.391662918406499,0.957480259252174,"none"
"4","0610009O20Rik",0.0374999218818354,0.257128883831534,0.91727610038363,"none"
"5","0610010F05Rik",0.0398798301953076,-0.271203206085159,0.912263228767021,"none"
"6","0610010K14Rik",0.0268075196968848,0.298385281320466,0.940139890383042,"none"
"7","0610012G03Rik",0.0904101313585837,0.455918016353207,0.812063271961007,"none"
"8","0610030E20Rik",0.135725653173815,-1.04357609262483,0.731601095008867,"none"
"9","0610037L13Rik",0.000106075710295527,-0.00839822998595732,0.999755781476944,"none"
"12","1110004E09Rik",0.00275345018148963,-0.0444783897506877,0.993680002388806,"none"
"13","1110004F10Rik",0.0179421106312984,-0.10549566286882,0.959528523536018,"none"
"14","1110008F13Rik",0.109107759752114,0.544977244582639,0.777843523891958,"none"
"15","1110008L16Rik",0.0912733597503039,-1.12835069557492,0.810450771934072,"none"
"16","1110008P14Rik",0.297055455955511,1.00190995854237,0.50459686043876,"none"
"17","1110012L19Rik",0.35390772274001,2.13613693267957,0.442682421868593,"none"
"19","1110032A03Rik",0.125158339919997,0.689326926513603,0.749620854382662,"none"
"20","1110032F04Rik",0.0338908087544446,-0.55299858742334,0.924930692755663,"none"
"21","1110034G24Rik",0.119795137123464,1.20111520521545,0.758935491257837,"none"
"22","1110037F02Rik",0.00446109185773603,-0.053710843507231,0.989780533650562,"none"
"23","1110038F14Rik",0.00368748015759272,0.0745420764174794,0.991545207660761,"none"
"24","1110051M20Rik",0.0331248252815582,0.176368510997735,0.926563471459265,"none"
"25","1110059E24Rik",0.0340299094027982,0.332664400759284,0.924634493143358,"none"
"26","1110059G10Rik",0.0414933409541656,-0.789000016366956,0.908880234837269,"none"
"27","1110065P20Rik",0.0100568469460856,0.107741634610562,0.977109313928929,"none"
"28","1190002N15Rik",0.118731166613446,-0.684072715380289,0.760797073537488,"none"
"30","1190007I07Rik",0.0156051199600635,0.227835672248492,0.964705778774056,"none"
"31","1500009C09Rik",0.00297348820662703,0.043802299294202,0.993176675696271,"none"
"32","1500009L16Rik",0.00506276818043535,-0.108668482268215,0.988410230315287,"none"
"33","1500011B03Rik",0.000710203028999258,-0.00982642320156879,0.998366033471666,"none"
"34","1500011K16Rik",0.0620926504528591,0.487329935752752,0.866776941695431,"none"
"37","1600002H07Rik",0.182216879400596,1.49559716817177,0.65732949602182,"none"
"39","1600012H06Rik",0.0287655784609668,0.333787362381505,0.935910719544921,"none"
"40","1600014C10Rik",0.0127646752190996,-0.109770692008866,0.971035985746594,"none"
"43","1700001L19Rik",0.112619212339792,-1.20172550530943,0.771579690545595,"none"
"44","1700001O22Rik",0.120992854755177,1.03055947390716,0.756845346942507,"none"
"46","1700003E16Rik",0.185939477420959,1.06507333662342,0.651719210271455,"none"
"61","1700017B05Rik",0.107068065752806,0.614667932840539,0.781505311859868,"none"
"64","1700019D03Rik",0.00899277857417491,-0.146409733386847,0.979506272452119,"none"
"69","1700021F05Rik",0.00679681603922068,-0.118963941433553,0.984471581450423,"none"
"73","1700025G04Rik",0.141607508100822,-0.410001231400708,0.721759471753479,"none"
"75","1700028J19Rik",0.37944939602867,3.36502976257725,0.417398230852942,"none"
"79","1700029I15Rik",0.0723946133687306,1.06587340537904,0.846457946800212,"none"
"81","1700030J22Rik",0.0849436292316784,-1.12456364353549,0.822349382728848,"none"
"82","1700030K09Rik",0.0729712724946556,0.82690792972638,0.845334760113607,"none"
"86","1700037H04Rik",0.0439182718558523,-0.49785642471906,0.903819543909853,"none"
"88","1700047I17Rik2",0.0390919593891808,-0.400540337665524,0.913919703675718,"none"
"89","1700048O20Rik",0.0100568469460856,-0.206609527777605,0.977109313928929,"none"
"93","1700066M21Rik",0.00275345018148963,0.0359807893785768,0.993680002388806,"none"
"102","1700123O20Rik",0.0797436776890015,-0.922314831901797,0.832254826248211,"none"
"103","1700128F08Rik",0.0588821526058303,-0.766205089901952,0.873208284500516,"none"
"104","1810009A15Rik",0.0118643528934516,0.254906153181387,0.973051098130826,"none"
"105","1810010H24Rik",0.0202511929792788,-0.523503186230724,0.954440384504707,"none"
"108","1810013L24Rik",0.166324669910384,-0.636147127229418,0.681828781939194,"none"
"109","1810022K09Rik",0.0709372087507096,-0.596429826213226,0.849303260289061,"none"
"111","1810026J23Rik",0.0961887446423186,-0.378759387493839,0.801329729319076,"none"
"112","1810030O07Rik",0.00780123705534097,0.0975974119385316,0.982197361054566,"none"
"113","1810032O08Rik",0.0235984451876907,0.45951822998344,0.947112470209745,"none"
"114","1810037I17Rik",0.236513542881072,0.902568858057303,0.580078083296819,"none"
"115","1810041L15Rik",0.0445221207423791,0.298862985905647,0.902563734314154,"none"
"116","1810043G02Rik",0.0470166332531754,-0.356887561077532,0.897394424102044,"none"
"117","1810043H04Rik",0.0973881735102211,0.937299895701431,0.79911968051164,"none"
