"","gene","pvalue","lfc","color"
"1","0610007P14Rik",0.107024228805555,0.635613883077369,"none"
"2","0610009B22Rik",0.976777119862766,-3.10650098162665,"none"
"4","0610009O20Rik",0.601478488737953,-2.13486535173268,"none"
"5","0610010F05Rik",0.220853546565581,-1.04630268132641,"none"
"6","0610010K14Rik",0.317066392881915,-2.08523852700751,"none"
"7","0610012G03Rik",0.00446667095876216,0.0395912249747317,"none"
"8","0610030E20Rik",0.455803848981714,-1.75076518132404,"none"
"9","0610037L13Rik",0.329323709661545,-1.56556606760461,"none"
"12","1110004E09Rik",0.236278982533745,-1.2618108779787,"none"
"13","1110004F10Rik",0.021243632886064,0.110704117966915,"none"
"14","1110008F13Rik",0.450403447522677,-1.41282126273881,"none"
"16","1110008P14Rik",0.292940322576923,-1.07437402907056,"none"
"19","1110032A03Rik",0.147648503127519,-1.29927503196918,"none"
"20","1110032F04Rik",1.11842253637845,4.70126569533155,"CA1"
"22","1110037F02Rik",0.101066001857943,-0.413677632010916,"none"
"23","1110038F14Rik",0.204931917329571,-1.23605107364106,"none"
"24","1110051M20Rik",0.0253246535641193,-0.151304777622508,"none"
"25","1110059E24Rik",0.0831659115957094,-0.752254177940233,"none"
"26","1110059G10Rik",0.180795345323214,-1.3439419650738,"none"
"27","1110065P20Rik",0.335602445494671,1.20246386490352,"none"
"28","1190002N15Rik",0.0180225829300407,0.125068528884993,"none"
"32","1500009C09Rik",0.0552953323366214,0.327686299051648,"none"
"33","1500009L16Rik",0.366675391551376,2.40468631943255,"none"
"34","1500011B03Rik",2.00794321886193,-2.51502957923408,"DG"
"35","1500011K16Rik",0.0387849128568351,-0.3544324463323,"none"
"38","1600002H07Rik",0.420157551541538,-2.3244062470776,"none"
"40","1600012H06Rik",0.114902571714168,0.910312345004567,"none"
"41","1600014C10Rik",0.86139321501688,-2.45004015817524,"none"
"47","1700003E16Rik",0.0247531168431263,-0.28504968035215,"none"
"60","1700017B05Rik",0.168723958709672,1.03107314868221,"none"
"65","1700021F05Rik",0.0837433356709842,-0.676048674117458,"none"
"69","1700025G04Rik",1.3865757957793,-1.99387633101273,"DG"
"77","1700030K09Rik",0.160399584376417,-1.08667164980681,"none"
"81","1700037H04Rik",0.271590715133012,1.3299973890491,"none"
"83","1700047I17Rik2",0.10795789915288,-1.12070086270959,"none"
"88","1700066M21Rik",1.34318659615863,2.83397035638818,"CA1"
"97","1700123O20Rik",0.575914531785105,-3.39394178078574,"none"
"98","1700128F08Rik",1.5694846721498,-3.77506855132219,"DG"
"102","1810013L24Rik",0.11931588857911,-0.518437480810073,"none"
"103","1810022K09Rik",0.0251973915887772,0.295839383191951,"none"
"105","1810026J23Rik",0.948608041272019,-1.40924460755438,"none"
"106","1810030O07Rik",0.0535744652057717,-0.362586937366899,"none"
"108","1810037I17Rik",0.175073745483339,-1.2564922770243,"none"
"109","1810041L15Rik",1.7882945905345,-3.19962984029566,"DG"
"110","1810043G02Rik",0.0961580927130422,-0.525454047117501,"none"
"111","1810043H04Rik",0.675370179561006,3.13275191598138,"none"
"113","1810055G02Rik",0.134214620278909,0.955301015698362,"none"
"115","2010107E04Rik",0.0462505872391273,0.323402036108092,"none"
"116","2010107G23Rik",0.363845601464237,2.04197947283222,"none"
"118","2010111I01Rik",1.02391135350533,2.15947549124084,"CA1"
"119","2010300C02Rik",1.76227701636157,-1.53101416714923,"DG"
"120","2010315B03Rik",0.14244404896551,1.19000314739074,"none"
"124","2210013O21Rik",0.37599931124217,-2.40023012860049,"none"
"125","2210016F16Rik",0.478387998203045,2.54854059325218,"none"
"126","2210016L21Rik",1.09559620742407,-1.68382664654599,"DG"
"130","2210418O10Rik",0.0105200163082816,-0.136382046661093,"none"
"132","2310009B15Rik",0.753036846617145,-4.67037476058796,"none"
"133","2310011J03Rik",0.649781110648904,1.87840354769677,"none"
"134","2310022A10Rik",0.705551930085519,-2.54292288823012,"none"
"135","2310022B05Rik",0.184787858105094,1.10134413320621,"none"
"137","2310033P09Rik",0.95198419417326,-3.70087578265821,"none"
"138","2310035C23Rik",0.14999903637688,-0.482694898129106,"none"
"139","2310036O22Rik",0.307209557631081,-1.12001639509472,"none"
"142","2310057M21Rik",0.433248663931147,-1.88878765727007,"none"
"143","2310061I04Rik",0.120066397004292,-0.609717294866464,"none"
"144","2410002F23Rik",0.16193142681099,0.569204598011126,"none"
"145","2410004B18Rik",1.62666001383202,-3.51501233973755,"DG"
"147","2410015M20Rik",0.111802991891807,0.892733851969639,"none"
"148","2410016O06Rik",0.653941068958296,-2.68895073967024,"none"
"149","2410089E03Rik",0.337092928348548,-0.856782174045176,"none"
"150","2410131K14Rik",0.0284635333772273,-0.25758984092171,"none"
"152","2510002D24Rik",0.164615406688492,1.10850271436206,"none"
"153","2510009E07Rik",0.120171634946665,-0.606741689236262,"none"
"154","2510039O18Rik",0.557070826469447,1.83020473263041,"none"
"155","2610001J05Rik",0.111441324388689,-0.952194609245393,"none"
"156","2610002M06Rik",0.228459836323995,-0.980314762932323,"none"
"157","2610008E11Rik",0.199989684845357,1.15868154123645,"none"
"159","2610021A01Rik",0.0859959950515649,-0.48304299135107,"none"
"161","2610044O15Rik8",0.0749754108528069,-0.426925023359372,"none"
"162","2610301B20Rik",0.0102626762927489,-0.0986917973649404,"none"
"164","2610507B11Rik",0.0101629145013796,-0.0499125173003338,"none"
"165","2610524H06Rik",0.161967629362127,1.44810002392905,"none"
"167","2700049A03Rik",0.0865095955647215,0.660420615812291,"none"
"168","2700060E02Rik",0.0185559003505883,0.101162539494246,"none"
"169","2700062C07Rik",0.711223418431711,-3.72136956699357,"none"
"170","2700081O15Rik",0.010025048238116,0.0556458116922147,"none"
"172","2700097O09Rik",0.11579204323778,-1.10726826711601,"none"
"173","2810004N23Rik",0.693495400920526,-4.01889186654337,"none"
"174","2810006K23Rik",0.20478447993167,-1.14223965613906,"none"
"176","2810403A07Rik",0.079022474621578,-0.444501774544478,"none"
"178","2810428I15Rik",0.272744574367058,1.33763926651673,"none"
"179","2810459M11Rik",0.0550017795411818,0.610514356396531,"none"
"180","2810474O19Rik",0.916973935307194,2.5631306304645,"none"
"181","2900011O08Rik",0.0189813268945244,0.0941599084556455,"none"
"182","2900026A02Rik",3.02931948583707,2.33421425482756,"CA1"
"183","2900055J20Rik",0.285036637363909,-1.68660493326183,"none"
"187","3110002H16Rik",0.156596333027265,-0.717608656681377,"none"
"190","3110035E14Rik",4.16224307875544,3.76202232335895,"CA1"
"192","3110043O21Rik",0.0247294646333069,-0.272573020872983,"none"
"195","3110082I17Rik",2.62119633871732,-6.90005855662763,"DG"
"199","3632451O06Rik",0.662678182687976,3.48732878290479,"none"
"200","3830406C13Rik",2.06093327790129,-4.87164629889524,"DG"
"202","4430402I18Rik",0.00360653723332715,-0.0569103364453467,"none"
"203","4833420G17Rik",0.354782643050905,-1.50823845181817,"none"
"204","4833439L19Rik",0.849973015508221,1.27562254297489,"none"
"208","4921524J17Rik",0.846861472024469,-4.25312299922981,"none"
"210","4930402H24Rik",0.0501148371581139,-0.208784273865725,"none"
"215","4930430F08Rik",0.0603878030473624,0.620309085550044,"none"
"219","4930447C04Rik",0.783942718899319,3.67008768367585,"none"
"223","4930453N24Rik",0.196577683832022,1.03115956798188,"none"
"227","4930503L19Rik",0.0128178800334705,-0.145262033905226,"none"
"238","4930562C15Rik",3.59514115916379,-8.33489573924911,"DG"
"244","4931406C07Rik",0.0076312819150283,0.118987987411738,"none"
"245","4931406P16Rik",0.00088808010615777,-0.01043644826958,"none"
"249","4931428F04Rik",0.480325745700714,-2.01758544899568,"none"
"255","4932438A13Rik",2.45518954749231,2.18314853570409,"CA1"
"268","4933427D14Rik",0.0541595971349998,-0.341361343411752,"none"
"271","4933434E20Rik",0.664531636342255,1.68410608208683,"none"
"273","5031439G07Rik",0.352448468541768,-0.824000792135157,"none"
"274","5330417C22Rik",0.0305380597856924,0.187494265686046,"none"
"277","5430427O19Rik",0.220501369938393,-1.86620756848974,"none"
"278","5730409E04Rik",0.508707173521797,-1.15719950424969,"none"
"279","5730455P16Rik",0.455173917892322,-1.21979966188909,"none"
"288","6030419C18Rik",1.03661672684298,-1.54242058426141,"DG"
"290","6030458C11Rik",0.136823485278106,0.605882493937709,"none"
"292","6030498E09Rik",0.299119347680019,-7.6871115179886,"none"
"293","6330408A02Rik",0.174740622960548,-1.81853697158323,"none"
"296","6430548M08Rik",0.306471946993382,-0.792809579348381,"none"
"303","8030462N17Rik",0.228776879534492,1.03066030511418,"none"
"308","9030624J02Rik",0.0995515687971492,-0.547316680420551,"none"
"309","9130011E15Rik",1.7514458490641,5.46946579863074,"CA1"
"313","9130401M01Rik",0.648892250304267,-2.23195868564538,"none"
"319","9230110C19Rik",0.0338634150539354,-0.442118755414062,"none"
"320","9330151L19Rik",0.66390560394888,2.2585342557962,"none"
"321","9330159F19Rik",0.0484348419887282,-0.197976623419108,"none"
"323","9330182L06Rik",0.258780963662657,1.69784171039771,"none"
"324","9430015G10Rik",0.11881701443924,0.902766235293985,"none"
"325","9430016H08Rik",0.866435931632914,2.64738320518288,"none"
"326","9430020K01Rik",2.73563222702582,3.99047482734477,"CA1"
"330","9530068E07Rik",0.176722380400818,0.520725039750412,"none"
"335","9930021J03Rik",1.51151742729688,-2.43826550645853,"DG"
"337","9930111J21Rik2",0.275819897332965,-1.08376621158183,"none"
"340","A230046K03Rik",0.0891964913023008,-0.46887686520678,"none"
"341","A230050P20Rik",0.161024902843858,-0.62853863390134,"none"
"346","A430005L14Rik",0.0350717068038905,0.503366782684167,"none"
"347","A430033K04Rik",0.259580318333437,-1.24576066388446,"none"
"348","A430078G23Rik",0.846979241183343,-4.61685271068036,"none"
"349","A430105I19Rik",1.02241884067442,-3.77080148626967,"DG"
"360","A730017C20Rik",0.117420987360319,0.599397483531813,"none"
"365","A830010M20Rik",0.439155461470669,1.20570180960712,"none"
"366","A830018L16Rik",0.0429125211786528,-0.254332768933794,"none"
"371","A930011G23Rik",0.27196494628268,-2.16626977729525,"none"
"375","AA415398",0.0654145603601822,-0.691807183820886,"none"
"378","Aaas",1.27792519396137,-5.11651805261964,"DG"
"379","Aacs",0.0534727261973607,-0.39161590273778,"none"
"380","Aaed1",0.321660348118225,-2.6515984379307,"none"
"381","Aagab",0.847416290618515,-1.72434218895486,"none"
"382","Aak1",0.00522847933286753,-0.0203950289557149,"none"
"383","Aamdc",0.0116117039964682,0.144849580984828,"none"
"384","Aamp",0.532287221419013,-1.03389015560398,"none"
"386","Aar2",0.0541595971349998,-0.345977160728862,"none"
"388","Aars",0.156596333027265,0.444073357513786,"none"
"389","Aars2",0.0688752722123501,-0.44735574734986,"none"
"390","Aarsd1",0.131413887285373,-0.67101801329956,"none"
"391","Aasdh",0.05154883785586,-0.504347669524256,"none"
"392","Aasdhppt",1.392383148756,-3.62953666595211,"DG"
"394","Aatf",0.278236941800489,-1.84176660747355,"none"
"395","Aatk",0.105498693476062,0.332040344253684,"none"
"397","Abat",0.458027272464199,0.990814233192814,"none"
"398","Abca1",0.744947362063466,2.87181093370336,"none"
"401","Abca2",0.00403248195741199,0.0180971836923964,"none"
"402","Abca3",1.3158870491564,-2.34257658280086,"DG"
"404","Abca5",0.203840769074071,-0.890518213046404,"none"
"406","Abca7",0.0150723743991878,-0.158121964811271,"none"
"408","Abca8b",0.054083394472979,-0.358091944005254,"none"
"409","Abca9",0.426751657236472,-2.52122174011536,"none"
"410","Abcb10",2.83767829529502,-7.18283705349757,"DG"
"411","Abcb1a",0.0654145603601822,0.675218439386084,"none"
"413","Abcb4",0.244975241361256,1.77738076018596,"none"
"414","Abcb6",0.0282490433442254,-0.224133894756723,"none"
"415","Abcb7",0.574218196299578,1.68285304994337,"none"
"416","Abcb8",0.21770919628643,0.856775275425285,"none"
"417","Abcb9",0.160345818091597,0.868710542011677,"none"
"418","Abcc1",0.753622825489369,2.80416101931346,"none"
"419","Abcc10",0.649781110648904,-2.8937018297221,"none"
"423","Abcc4",0.538692671498738,-3.01135921566889,"none"
"424","Abcc5",0.187546615639033,-0.457881051515556,"none"
"426","Abcc8",1.46053173609732,-2.60649138552298,"DG"
"428","Abcd1",0.0501971351894882,0.421666068352559,"none"
"429","Abcd2",0.0205518420720905,0.165615721252559,"none"
"430","Abcd3",1.42221147002194,2.14019648506798,"CA1"
"431","Abcd4",0.147589201609343,-0.795645628126638,"none"
"432","Abce1",0.0984990526072823,0.389301051411456,"none"
"433","Abcf1",0.143818827699994,-0.525143378037366,"none"
"434","Abcf2",0.0669591982364738,-0.304000551148996,"none"
"435","Abcf3",0.32387258721544,-1.20465648711072,"none"
"436","Abcg1",0.162225635509179,-0.515684926677971,"none"
"437","Abcg2",0.0110575378877286,-0.142064967535586,"none"
"438","Abcg4",0.117233332174178,0.448009148306797,"none"
"440","Abhd10",0.12320145210369,-1.09011296037132,"none"
"441","Abhd11",0.00236518091827016,-0.0253653534928871,"none"
"442","Abhd12",0.242464552190749,-0.544892380984324,"none"
"443","Abhd13",0.0083437636083862,-0.0755066162113469,"none"
"444","Abhd14a",0.535201413584107,2.05658565177861,"none"
"445","Abhd14b",0.123557804587708,-1.1212293557777,"none"
"447","Abhd16a",0.198639784643357,-0.749684265484683,"none"
"449","Abhd17a",0.210734144079043,0.729893613481666,"none"
"450","Abhd17b",0.432795920009778,-1.60460151879699,"none"
"451","Abhd17c",0.110914592090964,0.523361045401434,"none"
"452","Abhd18",0.830832809373602,-2.64240912246105,"none"
"453","Abhd2",1.04079270993161,-1.83653412546991,"DG"
"454","Abhd3",0.17311320278487,1.248825325947,"none"
"455","Abhd4",0.0855174699905553,-0.60088570002606,"none"
"456","Abhd5",1.01243110952978,-5.02150844318635,"DG"
"457","Abhd6",0.114021230459374,-0.400347353706388,"none"
"458","Abhd8",0.916973935307194,1.3199311939227,"none"
"459","Abi1",0.193329280625865,0.508548990557888,"none"
"460","Abi2",0.00130627968982752,0.00507052096137641,"none"
"463","Abl1",0.145486959472082,0.71630592698888,"none"
"464","Abl2",0.198726403077435,-0.580126395508764,"none"
"465","Ablim1",6.56944256607479,-5.2236953540205,"DG"
"466","Ablim2",0.641181819419918,-1.07317575931999,"none"
"467","Ablim3",2.86459933888205,-3.9163397622473,"DG"
"468","Abr",1.18195313645221,-0.98115901863955,"DG"
"470","Abracl",0.810332655026395,3.79118894866716,"none"
"471","Abt1",0.40778631103806,2.57134760326701,"none"
"472","Abtb1",2.83767829529502,-4.20694712165074,"DG"
"475","Acaa1a",0.600272212844488,-1.47719490147913,"none"
"478","Acaca",0.193173994071154,0.756486907051899,"none"
"481","Acad11",0.915167602317583,-2.19353767609701,"none"
"483","Acad8",0.339791370955712,1.41277731879333,"none"
"484","Acad9",0.389990653405241,1.1329701818838,"none"
"485","Acadl",0.103931441105887,-1.18694574043753,"none"
"486","Acadm",0.0848648351123463,0.558358477452182,"none"
"488","Acadsb",0.542862419866172,1.41504401023446,"none"
"489","Acadvl",0.0969887375484789,-0.584901225658504,"none"
"491","Acap2",0.0530008816332228,0.206268780564051,"none"
"492","Acap3",0.501099252515378,-0.783655217006546,"none"
"493","Acat1",0.429289570564219,-1.10223767216271,"none"
"494","Acat2",0.33584914224869,-1.71692622767864,"none"
"496","Acbd3",0.483690627587803,1.6593895527375,"none"
"497","Acbd4",0.282903000694201,1.36761322291895,"none"
"498","Acbd5",0.942800889970256,-2.0967031924876,"none"
"499","Acbd6",0.118589980652602,0.540856796394927,"none"
"501","Acd",0.868322687321671,-2.41849811833801,"none"
"506","Acer3",0.217746836134312,-0.998268945325998,"none"
"507","Ache",0.368544242008011,1.39097396135615,"none"
"508","Acin1",0.135847418165769,-0.424229786976257,"none"
"509","Ackr1",0.108899434627414,-0.601279255001908,"none"
"511","Ackr3",4.22108687817856,-8.88471953187594,"DG"
"513","Acly",0.238996116145667,-0.533274683587748,"none"
"516","Aco1",1.35466693674864,3.12710732392389,"CA1"
"517","Aco2",0.575755944285547,0.839845077887064,"none"
"518","Acot1",0.0905803581965503,-0.783028715514366,"none"
"520","Acot11",0.576510897279872,-2.187784493922,"none"
"522","Acot13",0.0360363358497314,-0.243858542596827,"none"
"523","Acot2",0.21967665092881,1.32458627740973,"none"
"526","Acot5",1.47096328075399,-4.15459844511192,"DG"
"528","Acot7",0.00203803713291149,-0.0123195939544687,"none"
"529","Acot8",0.012662104234641,0.158160246466217,"none"
"530","Acot9",0.308142866430952,1.59851161994216,"none"
"531","Acox1",0.0387318333773481,0.208128115502197,"none"
"532","Acox3",0.335602445494671,1.30050424840283,"none"
"534","Acp1",0.0253246535641193,-0.179735247584296,"none"
"535","Acp2",0.747561390406753,1.35709083336024,"none"
"537","Acp6",0.130616508601285,-0.885074684011378,"none"
"540","Acrbp",0.0172271235415711,0.198969302093334,"none"
"541","Acsbg1",0.479701351510265,1.22686464394576,"none"
"544","Acsf3",0.0791915391614106,0.582796512213567,"none"
"545","Acsl1",1.1590358769631,2.25290643267769,"CA1"
"546","Acsl3",0.662390172716317,1.27573784864535,"none"
"547","Acsl4",1.23051201334249,1.6076260189063,"CA1"
"548","Acsl5",0.134214620278909,-0.569266260783065,"none"
"549","Acsl6",0.0321344716906633,-0.170306615357277,"none"
"553","Acss1",1.36231038101238,3.19543162677831,"CA1"
"554","Acss2",0.576271229850837,1.38676513972207,"none"
"557","Actb",0.136607666874709,-0.216881832298015,"none"
"558","Actg1",0.389990653405241,-0.510263806704079,"none"
"560","Actl10",0.103871894492064,-2.69476940806102,"none"
"561","Actl6a",0.370825019493222,2.32973003102443,"none"
"562","Actl6b",0.247195024609469,-0.588761449432763,"none"
"564","Actn1",0.13025228877823,0.488844773237646,"none"
"565","Actn2",0.521407370044023,1.28246250312236,"none"
"567","Actn4",0.590064900853492,-0.856135836378222,"none"
"568","Actr10",0.0831659115957094,0.32037703722126,"none"
"569","Actr1a",0.508600966791423,-0.775867801113721,"none"
"570","Actr1b",0.0961580927130422,0.278546582643732,"none"
"571","Actr2",1.61489259772041,1.33659422765607,"CA1"
"572","Actr3",0.508600966791423,0.846841291417449,"none"
"573","Actr3b",1.87527417151218,1.5543886485761,"CA1"
"574","Actr5",0.0459604652139727,0.581785815545774,"none"
"575","Actr6",0.289035300476925,-1.99200123674148,"none"
"576","Actr8",0.34257915969314,-1.28227022256186,"none"
"578","Acvr1",0.0282490433442254,-0.20424042580378,"none"
"579","Acvr1b",0.200199037269985,-0.548161835129979,"none"
"580","Acvr1c",1.26641910794281,-4.48232811270077,"DG"
"581","Acvr2a",0.273957353432061,1.01290663977604,"none"
"586","Acyp1",0.106936979415374,-1.12432822982629,"none"
"587","Acyp2",0.3122028752415,-2.59715429671902,"none"
"589","Adal",1.53182501540848,-5.13257970790471,"DG"
"590","Adam10",2.62437876130791,-2.98913824479626,"DG"
"591","Adam11",1.94898510757041,-1.45289395801453,"DG"
"592","Adam12",0.190467841572215,1.62118674267599,"none"
"593","Adam15",0.0512699800516235,0.183370382493149,"none"
"594","Adam17",0.124779072437668,-1.01345431645442,"none"
"596","Adam19",0.1338965281561,1.13036115484764,"none"
"597","Adam1a",0.156534311637952,-0.924344497765191,"none"
"600","Adam22",0.0076312819150283,-0.0430912723410382,"none"
"601","Adam23",2.27315930443999,1.9604825969146,"CA1"
"605","Adam8",0.999482500482333,-3.61226516410747,"none"
"606","Adam9",0.452906012790604,1.22180578612588,"none"
"607","Adamts1",0.567513803959588,-1.56246866502421,"none"
"608","Adamts10",0.345509933633194,-1.44450977120626,"none"
"614","Adamts17",0.713257119524809,-2.80877399511853,"none"
"617","Adamts2",0.262092321890878,2.00706877319938,"none"
"618","Adamts20",0.000768093970281642,0.00476001643347563,"none"
"619","Adamts3",4.00015726484858,-8.90830090374119,"DG"
"625","Adamts9",0.447560563844838,3.21086931919066,"none"
"631","Adap1",0.116361607007345,0.481127608634588,"none"
