"","gene","pvalue","lfc","color"
"1","0610007P14Rik",0.013139688951084,-0.166733733784246,"none"
"2","0610009B22Rik",0.00697174561375162,-0.126394158865637,"none"
"4","0610009O20Rik",0.187742614888757,-1.380247175705,"none"
"5","0610010F05Rik",0.141612489532235,1.04748629260212,"none"
"6","0610010K14Rik",0.497026077678758,-3.20221957615732,"none"
"7","0610012G03Rik",0.0646797045527539,-0.564708695916624,"none"
"8","0610030E20Rik",0.129674350539288,-1.05404238844359,"none"
"9","0610037L13Rik",0.211108995107975,-1.49338569739605,"none"
"12","1110004E09Rik",0.336402637180579,-1.9296925549843,"none"
"13","1110004F10Rik",0.0395483119818904,0.28034027062061,"none"
"14","1110008F13Rik",0.0580347433815247,0.502783922933391,"none"
"16","1110008P14Rik",0.0652712643328258,-0.523989030876136,"none"
"19","1110032A03Rik",0.0724578946249727,-1.07212643211641,"none"
"20","1110032F04Rik",0.030366485933447,-0.495925858615446,"none"
"22","1110037F02Rik",0.0086274739371078,0.0843914577056993,"none"
"23","1110038F14Rik",0.131411446899255,-1.21401813476775,"none"
"24","1110051M20Rik",0.0585094193878187,0.426312052830342,"none"
"25","1110059E24Rik",0.0430131265089281,-0.659781291519887,"none"
"26","1110059G10Rik",0.09345598787823,-1.16083592700993,"none"
"27","1110065P20Rik",0.0781568566991963,0.577043458419887,"none"
"28","1190002N15Rik",0.0260860738562781,0.26978626983615,"none"
"32","1500009C09Rik",0.0223219793575096,-0.235547463048009,"none"
"33","1500009L16Rik",0.00477318678227497,0.0942527569091398,"none"
"34","1500011B03Rik",0.114184042314878,-0.627898881012236,"none"
"35","1500011K16Rik",0.238544476827085,-1.652200581948,"none"
"38","1600002H07Rik",0.285500290500647,-2.31565518172965,"none"
"40","1600012H06Rik",0.0114169992828266,-0.200204702563762,"none"
"41","1600014C10Rik",0.0938556082931472,0.875759167742791,"none"
"47","1700003E16Rik",0.0159352333865083,-0.295712001748447,"none"
"60","1700017B05Rik",0.0395483119818904,0.481208356755438,"none"
"65","1700021F05Rik",0.000178800224778802,-0.00400181927608768,"none"
"69","1700025G04Rik",0.014674791315199,0.1363663855028,"none"
"71","1700028J19Rik",0.460031976120501,4.73630005775014,"none"
"76","1700030J22Rik",0.129704663497571,1.99307062451291,"none"
"77","1700030K09Rik",0.00675118808293925,-0.110269452783838,"none"
"81","1700037H04Rik",0.0371502370513558,0.42882361197602,"none"
"83","1700047I17Rik2",0.00144230478278528,-0.0362035794052543,"none"
"88","1700066M21Rik",0.00477318678227497,0.0504460146591419,"none"
"97","1700123O20Rik",0.7301166868055,-4.89593320699014,"none"
"98","1700128F08Rik",0.256986207028848,-1.79579515977896,"none"
"100","1810009A15Rik",0.0549566089500962,0.922317238018773,"none"
"102","1810013L24Rik",0.0851438556003582,-0.554348863732224,"none"
"103","1810022K09Rik",0.0956746462875372,-1.12239364227843,"none"
"105","1810026J23Rik",0.0538159491567534,0.312579839440765,"none"
"106","1810030O07Rik",0.0603981575233673,0.582580297587627,"none"
"108","1810037I17Rik",0.132242345616974,-1.36085952210619,"none"
"109","1810041L15Rik",0.3077993684944,1.56851061552478,"none"
"110","1810043G02Rik",0.0252323819919082,-0.271863950772318,"none"
"111","1810043H04Rik",0.127433615328861,1.33689220968666,"none"
"113","1810055G02Rik",0.0247966181951205,-0.349702995674402,"none"
"115","2010107E04Rik",0.127424142605909,-0.904027138918976,"none"
