"","gene","pvalue","lfc","color"
"1","0610007P14Rik",0.108361731478507,-0.280426106075438,"none"
"2","0610009B22Rik",0.141621789097663,-0.701327029830184,"none"
"4","0610009O20Rik",0.779851942622842,-0.959879036470274,"none"
"5","0610010F05Rik",0.0760321511540581,-0.168279479408325,"none"
"6","0610010K14Rik",0.371582620500064,1.07341971347951,"none"
"7","0610012G03Rik",0.0443648998151717,-0.108837083310821,"none"
"8","0610030E20Rik",0.00494891876372411,0.0190314741573939,"none"
"9","0610037L13Rik",1.58608631859418,-1.45337232100561,"DG"
"11","1110002E22Rik",0.970991597192766,-3.95754476274555,"none"
"12","1110004E09Rik",0.276250013328563,0.725683348192798,"none"
"13","1110004F10Rik",0.500670120389079,0.530713077879811,"none"
"14","1110008F13Rik",0.245615797757741,0.500750410502877,"none"
"15","1110008L16Rik",0.305009252954281,1.15694744857687,"none"
"16","1110008P14Rik",0.335334492746642,0.597172310988168,"none"
"17","1110012L19Rik",0.954264726886479,-3.9403093973578,"none"
"19","1110032A03Rik",0.128168513133132,0.468556949430923,"none"
"20","1110032F04Rik",0.407137918794026,-1.89346927649369,"none"
"21","1110034G24Rik",0.210538901417561,0.860440149894966,"none"
"22","1110037F02Rik",0.01676490360375,-0.0464266273132373,"none"
"23","1110038F14Rik",0.837836519204523,-1.52691996970807,"none"
"24","1110051M20Rik",0.0303457175464012,-0.0619076317358561,"none"
"25","1110059E24Rik",0.01676490360375,0.0634508549201211,"none"
"26","1110059G10Rik",0.0380426975645948,0.185866204904788,"none"
"27","1110065P20Rik",0.410344769379411,0.856276099218871,"none"
"28","1190002N15Rik",0.578497626282006,0.805677650272961,"none"
"30","1190007I07Rik",0.143680599657353,-0.756454892136635,"none"
"32","1500009C09Rik",0.209944242593279,-0.438091488315535,"none"
"33","1500009L16Rik",0.257057968798048,-1.30142703485719,"none"
"34","1500011B03Rik",0.252669900352865,-0.480082706388392,"none"
"35","1500011K16Rik",0.324266708167798,0.812526549800333,"none"
"38","1600002H07Rik",0.769197736564451,-2.32040843203969,"none"
"39","1600002K03Rik",1.43917558381352,4.50148868840411,"CA1"
"40","1600012H06Rik",0.300909417549597,-0.78521704466787,"none"
"41","1600014C10Rik",0.271210568690742,-0.543928631551635,"none"
"44","1700001K19Rik",0.524155705073331,-3.10787637491935,"none"
"45","1700001L19Rik",0.502961609356569,1.82354253862126,"none"
"46","1700001O22Rik",0.296751653671709,1.3930163112213,"none"
"48","1700003E16Rik",1.17209647960743,1.34788290889154,"CA1"
"62","1700016D06Rik",0.17769468223289,-1.45349749385529,"none"
"64","1700017B05Rik",0.0377608399475719,-0.154961433133447,"none"
"68","1700019D03Rik",0.390488774025882,-1.60338884383542,"none"
"73","1700021F05Rik",0.0882399980083622,-0.423697461833177,"none"
"77","1700025G04Rik",4.31295319300206,-1.93730551010228,"DG"
"84","1700029I15Rik",0.438170661291178,-2.44614153094979,"none"
"85","1700029J07Rik",0.0651479125350166,0.528327964608771,"none"
"87","1700030J22Rik",0.208712616371819,-1.15542981925449,"none"
"88","1700030K09Rik",0.0904543391805927,0.429157657639984,"none"
"89","1700034I23Rik",0.347926708797756,2.47495071782368,"none"
"91","1700037C18Rik",0.188857513045469,1.16422451654826,"none"
"92","1700037H04Rik",2.01118835746206,2.09408595921068,"CA1"
"94","1700047I17Rik2",1.19597858202496,-4.65371238160816,"DG"
"95","1700048O20Rik",0.0106912464970394,-0.0735162086871892,"none"
"100","1700066M21Rik",1.13853923642874,1.24594750139104,"CA1"
"111","1700123O20Rik",0.013189951167965,-0.078138800573396,"none"
"113","1700128F08Rik",0.124850494623251,0.40819431856297,"none"
"114","1810009A15Rik",0.0400160652468239,0.274932869439089,"none"
