"","dg_d_1","dg_d_2","dg_d_3","dg_v_1","dg_v_2","dg_v_3","ca3_d_1","ca3_d_2","ca3_d_3","ca3_v_1","ca3_v_2","ca3_v_3","ca1_d_1","ca1_d_2","ca1_d_3","ca1_v_1","ca1_v_2","ca1_v_3"
"0610005C13Rik",0,56,56,84,168,168,196,28,0,112,84,168,112,112,0,0,112,0
"0610007C21Rik",9156,16268,12124,19992,15036,19628,13608,16688,13188,21784,24472,28756,19684,19880,15904,4928,2996,5264
"0610007L01Rik",11816,6468,6608,18144,16352,11536,22008,23408,15988,24640,25144,25032,27244,32088,30968,8400,5628,8064
"0610007N19Rik",0,0,0,0,112,0,0,0,0,0,28,0,0,0,0,0,0,0
"0610007P08Rik",18592,14952,5152,16940,17304,22624,10248,12656,15708,11704,15876,15204,22512,18648,14560,6104,1652,3640
"0610007P14Rik",18312,13804,12852,23044,27244,25648,31108,27132,36092,31248,28980,33488,31528,43120,46396,8456,8092,15344
"0610007P22Rik",1372,112,1064,3640,2912,5292,1428,3584,588,2884,3584,4060,2660,5544,1540,2744,924,1848
"0610008F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B14Rik",0,0,0,0,0,168,0,84,0,0,476,0,28,0,0,0,0,0
"0610009B22Rik",5068,8848,3192,9660,13944,17416,24836,22960,21252,27636,30940,43036,19964,29680,16436,7476,4676,9800
"0610009D07Rik",5796,2940,4760,4564,5824,6048,6440,6468,6608,12180,10276,15092,10276,15624,11536,2324,2044,3528
"0610009E02Rik",980,224,588,252,112,280,224,112,224,168,196,28,84,364,252,0,0,0
"0610009L18Rik",0,0,0,1260,0,0,196,1428,308,476,1148,700,28,2016,224,0,280,28
"0610009O20Rik",196,11172,1092,6356,3164,9156,5208,7840,2968,10612,13188,6664,5992,13020,7868,2632,1540,4480
"0610010F05Rik",9212,6804,7196,22876,14112,20692,44212,55776,49168,40656,47992,61124,45808,52192,48300,13944,10864,14896
"0610010K14Rik",224,0,0,56,224,392,0,392,0,0,0,28,0,336,0,56,0,0
"0610010O12Rik",7000,7224,4620,4452,4592,3556,7196,6104,8624,3556,4312,7364,5572,7504,4984,1232,896,1512
"0610011F06Rik",1428,6720,6440,5936,3780,7756,7028,3892,3276,10248,7056,6804,4872,7280,5264,868,1876,3192
"0610011L14Rik",2268,1456,5012,9968,5404,9800,12068,13776,8624,22988,17108,13888,14336,19012,22064,4144,3948,5040
"0610012D04Rik",0,0,0,0,0,84,0,0,0,0,0,28,0,84,392,0,0,0
"0610012G03Rik",3668,1540,5740,3920,4620,3164,6944,8008,7224,9632,7896,7196,10724,8036,6692,1176,1344,2856
"0610012H03Rik",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"0610025J13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",3276,9268,7560,14000,9268,5712,5012,7728,6300,6412,10500,11088,9072,11788,5320,3416,3948,1680
"0610031J06Rik",1148,7000,17024,15848,8176,7672,8568,9184,7840,14868,21336,16436,13524,20972,17052,5880,3276,5180
"0610037L13Rik",26964,11536,25508,74956,66556,100352,36652,28448,27216,60284,54768,54348,47068,48664,47908,21056,9044,15848
"0610037P05Rik",9660,3220,12908,18144,11116,16996,16156,19852,20216,23828,27160,26348,21532,38808,27888,6944,4900,10192
"0610038L08Rik",0,868,0,28,56,924,0,28,0,0,0,0,28,28,0,280,112,112
"0610038P03Rik",0,0,0,56,0,0,0,364,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",0,0,0,0,0,0,0,112,0,0,28,0,0,0,0,0,0,0
"0610040B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040B10Rik",28,28,840,1232,448,1764,364,588,560,1008,504,756,1092,2688,112,168,196,476
"0610040F04Rik",56,0,140,0,308,56,0,0,168,168,0,784,504,252,0,0,28,168
"0610040J01Rik",0,0,0,336,0,0,0,0,0,224,0,168,308,0,0,0,0,0
"0610043K17Rik",0,0,0,616,140,868,392,336,924,812,1512,700,1708,1792,924,0,84,392
"0910001L09Rik",1316,2100,8260,6076,5908,3500,5628,6104,3360,7868,7532,5460,6972,6384,3164,2744,980,1428
"1010001B22Rik",0,280,0,112,112,0,0,0,0,0,168,112,0,0,0,0,0,0
"1010001N08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100001G20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
