"","gene","pvalue","lfc","padj","direction"
"196","Kcnq3",1.00034238802434,1.39913432700821,0.0999211933127072,"CA1"
"315","Prtg",1.00034238802434,-2.49186145184048,0.0999211933127072,"DG"
"433","Vwa5b2",1.00034238802434,-1.86970230328019,0.0999211933127072,"DG"
"104","Dgkg",1.00093868765416,1.18800151393987,0.0997840925961271,"CA1"
"337","Rnf217",1.00203455437845,-2.23441730815659,0.0995326221670619,"DG"
"122","Ermn",1.00753132161773,-2.15453737690316,0.0982807989653554,"DG"
"25","Appl2",1.00829350614662,-1.25581031762162,0.0981084679449334,"DG"
"349","Sema3e",1.00829350614662,1.93096464346734,0.0981084679449334,"CA1"
"140","Fubp1",1.00945236749692,-1.09648986977276,0.0978470265455327,"DG"
"352","Sept5",1.01518768665514,-1.0288144515977,0.0965633476300045,"DG"
"422","Trpm3",1.01518768665514,-2.16931342470477,0.0965633476300045,"DG"
"289","Plcl2",1.01556815502211,2.07819509312672,0.0964787893119031,"CA1"
"113","E130012A19Rik",1.0168381669198,2.30553857960986,0.0961970675005933,"CA1"
"271","Osbpl6",1.0168381669198,1.24994356858228,0.0961970675005933,"CA1"
"393","Sv2c",1.02238166738531,-3.11750313948955,0.094976974858181,"DG"
"43","Bmp1",1.02279938404975,-1.41244291553494,0.0948856672469253,"DG"
"246","Myc",1.02279938404975,-2.11374515051512,0.0948856672469253,"DG"
"402","Thrb",1.02514031802935,2.31113849693569,0.094375590495972,"CA1"
"121","Erbin",1.02574529064283,-1.78220359163896,0.0942442167345765,"DG"
"359","Sh3kbp1",1.03029267948953,-2.13286726123962,0.0932625574470159,"DG"
"412","Tmod1",1.03407395588836,-1.99812104365021,0.0924540720746185,"DG"
"329","Rasd1",1.03805847217498,2.1101284906223,0.0916097141102553,"CA1"
"62","Ccdc85a",1.03825742893342,-1.24506725375331,0.0915677559499003,"DG"
"423","Tspan13",1.03825742893342,1.53670045943334,0.0915677559499003,"CA1"
"211","Lpar1",1.03888493067439,-2.53777324045601,0.0914355474182793,"DG"
"18","Akr1c18",1.03966225595964,6.07246732112811,0.0912720371811948,"CA1"
"76","Chl1",1.03966225595964,1.04209222487898,0.0912720371811948,"CA1"
"112","Dyrk2",1.03966225595964,1.63323534981292,0.0912720371811948,"CA1"
"144","Gabrb2",1.03966225595964,1.29840050880635,0.0912720371811948,"CA1"
"415","Tox2",1.04788200336056,2.45654461398551,0.0895608066792238,"CA1"
