"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"Xkr4-001_3634",22,24,25,28,8,19,6,4,3,4,12,13,13,3
"Rp1-003_4170",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rp1-001_6869",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rp1-201_858",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sox17-001_3127",0,0,0,0,0,0,0,4,0,0,0,2,0,0
"Sox17-005_1977",0,0,0,0,2,0,1,0,0,0,1,0,0,0
"Sox17-004_3242",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sox17-002_1512",0,3,0,4,0,2,0,0,9,0,0,0,0,0
"Sox17-007_406",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sox17-006_840",1,0,0,0,4,2,0,0,0,0,0,0,0,0
"Sox17-003_1506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl15-002_1894",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl15-001_4203",3,9,8,5,9,10,8,6,3,0,6,3,5,6
"Mrpl15-003_497",0,0,0,6,14,9,3,8,0,0,0,0,0,0
"Mrpl15-004_1569",2,2,0,5,2,1,3,5,0,18,8,3,0,0
"Lypla1-002_1136",0,0,9,9,5,10,7,0,0,0,0,0,0,0
"Lypla1-001_2507",10,11,6,5,11,7,7,6,26,34,6,12,9,0
"Lypla1-003_877",0,5,0,0,0,0,0,0,0,0,0,7,0,0
"Lypla1-009_529",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Lypla1-007_444",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lypla1-008_930",0,5,17,15,1,0,0,0,0,0,0,0,0,0
"Lypla1-006_660",8,0,0,0,0,0,0,2,0,0,0,0,0,0
"Gm37988-001_825",0,0,0,0,0,0,0,13,0,0,0,0,0,0
"Tcea1-001_2547",73,59,75,59,36,80,61,34,25,28,47,51,0,0
"Tcea1-002_2854",0,3,4,0,12,2,2,4,0,0,0,0,0,46
"Rgs20-002_1778",4,9,6,10,3,5,7,4,0,0,9,22,30,16
"Rgs20-001_2125",0,0,0,0,0,0,0,4,0,0,2,0,0,0
"Rgs20-005_883",0,0,0,2,0,9,0,0,0,0,0,0,0,42
"Rgs20-007_577",23,6,0,0,0,8,3,0,0,0,0,0,0,0
"Rgs20-004_707",0,0,0,0,0,0,0,0,0,0,0,11,0,0
"Atp6v1h-003_1662",0,0,6,0,0,0,0,0,24,35,0,0,0,0
"Atp6v1h-001_2049",6,30,14,31,16,8,29,24,31,0,36,0,0,53
"Atp6v1h-007_970",4,10,33,20,5,5,3,2,20,0,11,14,0,0
"Atp6v1h-008_385",0,0,0,0,0,0,11,0,0,0,6,0,0,0
"Atp6v1h-006_1811",122,141,145,136,164,149,74,80,0,110,70,136,107,0
