"gene","lfc","padj","upregulated in"
"Trf",2.7,5.31e-07,"DISS"
"Hexb",2.3,8.1e-07,"DISS"
"Selplg",3,9.22e-07,"DISS"
"C1qb",2.3,7.07e-06,"DISS"
"Csf1r",2.1,9.58e-06,"DISS"
"Ctss",2.6,9.58e-06,"DISS"
"Cnp",2.5,4.48e-05,"DISS"
"Il1a",3.1,4.48e-05,"DISS"
"Mag",3.3,4.48e-05,"DISS"
"Cd14",3.4,4.88e-05,"DISS"
"Mpeg1",2.4,6.47e-05,"DISS"
"Tmem88b",3.1,6.78e-05,"DISS"
"Nfkbia",2.1,6.84e-05,"DISS"
"Slc15a3",3.4,9.32e-05,"DISS"
"Cd83",2.6,9.99e-05,"DISS"
"Cldn11",3.1,0.000105,"DISS"
"Laptm5",2.3,0.000224,"DISS"
"Plau",3.9,0.000224,"DISS"
"Plp1",2.7,0.000224,"DISS"
"Mal",3.2,0.000232,"DISS"
"Plek",2.5,0.000232,"DISS"
"Jun",1.6,0.00032,"DISS"
"Mobp",2.6,0.000441,"DISS"
"Socs3",2.3,0.00048,"DISS"
"Pllp",2.8,0.000546,"DISS"
"Ndrg1",2.9,0.00058,"DISS"
"Phldb1",2.3,0.000685,"DISS"
"Tyrobp",3.3,0.000822,"DISS"
"Cx3cr1",2.1,0.00095,"DISS"
"Tmem119",2.5,0.00095,"DISS"
"C1qa",2.3,0.000985,"DISS"
"Slc2a5",4.1,0.00123,"DISS"
"Fcrls",2.7,0.0014,"DISS"
"Lgmn",1.8,0.00157,"DISS"
"Clic4",2,0.00181,"DISS"
"Sema5a",3.3,0.00298,"DISS"
"C5ar1",3.7,0.00301,"DISS"
"Cmtm5",2.7,0.00301,"DISS"
"Ctcfl",3.1,0.00305,"DISS"
"Cryab",2.8,0.00307,"DISS"
"Gab1",2.9,0.00344,"DISS"
"C1qc",2.6,0.0044,"DISS"
"Fa2h",3.3,0.00461,"DISS"
"Clec2l",1.9,0.00501,"DISS"
"Spry2",1.8,0.00508,"DISS"
"Mcam",2.9,0.00512,"DISS"
"Olfml3",2.1,0.00518,"DISS"
"Sepp1",1.5,0.00578,"DISS"
"Lag3",3.3,0.00803,"DISS"
"Mbp",2,0.00803,"DISS"
"Atf3",2.2,0.00809,"DISS"
"C1ql1",3.1,0.00809,"DISS"
"Adgrg1",1.9,0.00862,"DISS"
"Csrp1",1.7,0.00907,"DISS"
"Ltbp3",2.3,0.00907,"DISS"
"Rpl36a",1.6,0.00907,"DISS"
"Stxbp5l",-1.9,0.00907,"HOMO"
"Ighv14-2",7.8,0.0096,"DISS"
"Mapk3",1.6,0.0098,"DISS"
"Trem2",3.3,0.0114,"DISS"
"Syngr2",3.4,0.012,"DISS"
"Irf8",2.8,0.0126,"DISS"
"Grin2b",-1.7,0.0132,"HOMO"
"Cst3",1.5,0.0145,"DISS"
"Unc93b1",2.3,0.0155,"DISS"
"D6Wsu163e",2.3,0.0159,"DISS"
"Sstr1",4.3,0.0159,"DISS"
"Cdkl5",-1.7,0.016,"HOMO"
"Gm10401",7.6,0.016,"DISS"
"Itga5",3.1,0.016,"DISS"
"Ly86",2.8,0.016,"DISS"
"Olig1",1.7,0.016,"DISS"
"Zfp36",1.8,0.016,"DISS"
"Cd9",2.4,0.0172,"DISS"
"Rph3a",2.3,0.0172,"DISS"
"Slc2a1",1.7,0.0177,"DISS"
"Bin2",2.5,0.0183,"DISS"
"Gpr84",2.9,0.0187,"DISS"
"H2-K1",2.1,0.0187,"DISS"
"Rc3h2",-2,0.0187,"HOMO"
"Slco2b1",2.2,0.0187,"DISS"
"Tgfbr2",2.4,0.0187,"DISS"
"Cdh9",3.7,0.0199,"DISS"
"Ptgds",2.5,0.0199,"DISS"
"Epha6",-1.7,0.0201,"HOMO"
"Itgb5",2,0.0201,"DISS"
"Inpp5d",2.8,0.0204,"DISS"
"Icam1",2.9,0.0206,"DISS"
"Kcnma1",-1.9,0.0206,"HOMO"
"Myrf",2.2,0.0221,"DISS"
"Sparc",1.8,0.0221,"DISS"
"Tnf",2.4,0.0221,"DISS"
"Siglech",2.1,0.0221,"DISS"
"Serpinb1a",4.4,0.0226,"DISS"
"Mog",2.5,0.0227,"DISS"
"Stat3",1.6,0.0241,"DISS"
"Tlr7",3.9,0.0242,"DISS"
"Lgals9",2.7,0.0262,"DISS"
"Cyba",3.8,0.0263,"DISS"
"Ermn",2.5,0.0269,"DISS"
"Fn1",1.8,0.0269,"DISS"
"Grin2a",-1.7,0.0269,"HOMO"
"Sipa1",2.7,0.0269,"DISS"
"Lrrc7",-1.8,0.0273,"HOMO"
"Vasp",2.3,0.0273,"DISS"
"Shroom3",6.2,0.028,"DISS"
"Qdpr",1.5,0.0286,"DISS"
"Slc12a2",2.1,0.0286,"DISS"
"Tmem170",2.5,0.0293,"DISS"
"Apod",2,0.03,"DISS"
"Ccl4",1.9,0.03,"DISS"
"Il1b",2.4,0.03,"DISS"
"Plekhg3",2.6,0.03,"DISS"
"Sept4",1.8,0.03,"DISS"
"Cd82",2.2,0.032,"DISS"
"Ucp2",2.5,0.0321,"DISS"
"Smoc2",3.8,0.0327,"DISS"
"mt-Nd3",1.7,0.0328,"DISS"
"Fosb",1.6,0.0332,"DISS"
