"","PC1","PC2","PC3","PC4","PC5","PC6","group","Subfield","Treatment","name"
"100-CA1-1",-17.1409637376791,8.08967103428042,6.69743315154249,2.93779198661396,-6.77163466776273,0.107639376681699,"CA1 : HOMO","CA1","HOMO","100-CA1-1"
"100-CA1-2",-18.7238490596995,10.6813316516506,3.50402590061313,-0.53454025242257,-3.4015899916564,1.16774926510392,"CA1 : HOMO","CA1","HOMO","100-CA1-2"
"100-CA1-3",-17.1517790252134,11.2067310628289,3.8537171588802,-2.57558302169905,-2.97376159517636,-0.583156536190433,"CA1 : HOMO","CA1","HOMO","100-CA1-3"
"100-CA3-1",-11.725627227516,1.15220569247445,1.24949911101922,-4.47189904665648,4.16599397996368,-6.36654672208817,"CA3 : HOMO","CA3","HOMO","100-CA3-1"
"100-CA3-4",-8.10324956572685,-3.02694693848636,-8.2356398691615,-6.91618378951389,2.07069295836586,-0.127293584506383,"CA3 : HOMO","CA3","HOMO","100-CA3-4"
"100-DG-2",11.1778416507431,0.119642077791809,-9.1997767373922,-7.52132834858073,-4.96434943367279,-2.1858284455487,"DG : HOMO","DG","HOMO","100-DG-2"
"100-DG-3",27.41778218001,20.9610795121165,-4.55475687202854,-2.85701822811136,2.28136396770943,8.45857624974946,"DG : HOMO","DG","HOMO","100-DG-3"
"101-CA1-1",-14.2188730180092,3.36168712553836,2.75955341923093,3.29411813167746,1.52061612938789,5.34008184755069,"CA1 : DISS","CA1","DISS","101-CA1-1"
"101-CA1-2",-3.91347529354637,-7.02238952339485,5.22527167145468,13.4591632509206,6.98984220163683,2.99267844516051,"CA1 : DISS","CA1","DISS","101-CA1-2"
"101-CA1-3",5.45367120650037,-15.3908810065711,-9.82581740916645,7.7864317722742,-10.0543485904119,-3.0209174684053,"CA1 : DISS","CA1","DISS","101-CA1-3"
"101-CA3-1",-7.93466170804476,-6.74641678626023,-4.7562889517829,-2.55802895971362,10.7314776234619,-4.57791137838339,"CA3 : DISS","CA3","DISS","101-CA3-1"
"101-CA3-4",4.86254382593477,-17.2857727917759,-15.5308097090654,0.051237607309277,0.578376864836509,5.23094375854097,"CA3 : DISS","CA3","DISS","101-CA3-4"
"101-DG-3",18.4891679796663,-20.7957845005677,25.7072256455689,-6.87782042774475,-1.4889286496641,1.86548661609897,"DG : DISS","DG","DISS","101-DG-3"
"101-DG-4",31.5114717925808,14.6958433903753,3.10636349028748,6.78365932564698,1.31624920298218,-8.30150142376385,"DG : DISS","DG","DISS","101-DG-4"
