"","gene","pvalue","lfc","padj","direction"
"1","0610007P14Rik",0.0614782694197776,-0.528115779141919,0.868004008097108,"neither"
"2","0610009B22Rik",0.0181065750319284,0.28910227331486,0.959165225328491,"neither"
"3","0610009L18Rik",0.0188652174720591,-0.391651580772801,0.957491180891193,"neither"
"4","0610009O20Rik",0.0375211592397975,0.257116026220964,0.917231245923335,"neither"
"5","0610010F05Rik",0.0398882654945573,-0.271216897562619,0.912245510055598,"neither"
"6","0610010K14Rik",0.0268087838610844,0.298415194830369,0.940137153784923,"neither"
"7","0610012G03Rik",0.0904809965378164,0.455934577296362,0.811930775885402,"neither"
"8","0610030E20Rik",0.13575457939328,-1.0435834634588,0.731552368280879,"neither"
"9","0610037L13Rik",0.000105258476613143,-0.00839791003754011,0.999757662769251,"neither"
"12","1110004E09Rik",0.00275540210905026,-0.0444704802022596,0.993675536324637,"neither"
"13","1110004F10Rik",0.0179298295101383,-0.105488936170918,0.959555657780554,"neither"
"14","1110008F13Rik",0.109143733280428,0.54497168883816,0.777779096139975,"neither"
"15","1110008L16Rik",0.0912937214205687,-1.12829986986508,0.810412775263078,"neither"
"16","1110008P14Rik",0.297240709164263,1.00191664549245,0.504381664857965,"neither"
"17","1110012L19Rik",0.354031546001453,2.13610957870734,0.442556225082487,"neither"
"19","1110032A03Rik",0.125241420026236,0.689334826534249,0.749477466367662,"neither"
"20","1110032F04Rik",0.033902431282328,-0.552994555596043,0.924905940221678,"neither"
"21","1110034G24Rik",0.119840751473795,1.20110980796314,0.758855783748568,"neither"
"22","1110037F02Rik",0.0044600715897267,-0.0537098933836289,0.989782858899081,"neither"
"23","1110038F14Rik",0.00368801317280527,0.0745730577232972,0.991543990725301,"neither"
"24","1110051M20Rik",0.0331400511647079,0.176370373905933,0.926530987740413,"neither"
"25","1110059E24Rik",0.0340383958760784,0.332625121066009,0.924616425197344,"neither"
"26","1110059G10Rik",0.0415347787769587,-0.789022031878289,0.908793518972818,"neither"
"27","1110065P20Rik",0.0100632276433271,0.107745926299288,0.977094958248247,"neither"
"28","1190002N15Rik",0.118691925891802,-0.684070556865273,0.76086581853936,"neither"
"30","1190007I07Rik",0.0156033083009177,0.227815377250311,0.964709803051971,"neither"
