name	term	lev	seq	value
"enzyme regulator activity"	GO:0030234	1	"A2m"	0.3
"enzyme regulator activity"	GO:0030234	1	"Abce1"	-0.5
"enzyme regulator activity"	GO:0030234	1	"Abi1"	-0.1
"enzyme regulator activity"	GO:0030234	1	"Abr"	-0.8
"enzyme regulator activity"	GO:0030234	1	"Acap1"	0.4
"enzyme regulator activity"	GO:0030234	1	"Acap2"	-2.4
"enzyme regulator activity"	GO:0030234	1	"Acrbp"	-0.5
"enzyme regulator activity"	GO:0030234	1	"Adgrb3"	-1.1
"enzyme regulator activity"	GO:0030234	1	"Adrm1"	-0.4
"enzyme regulator activity"	GO:0030234	1	"Afap1l2"	0.6
"enzyme regulator activity"	GO:0030234	1	"Agap1"	0.1
"enzyme regulator activity"	GO:0030234	1	"Agap2"	0.2
"enzyme regulator activity"	GO:0030234	1	"Agap3"	2.5
"enzyme regulator activity"	GO:0030234	1	"Agfg1"	-1.4
"enzyme regulator activity"	GO:0030234	1	"Agfg2"	-0.7
"enzyme regulator activity"	GO:0030234	1	"Agrn"	-1
"enzyme regulator activity"	GO:0030234	1	"Agt"	0.2
"enzyme regulator activity"	GO:0030234	1	"Akap11"	-1
"enzyme regulator activity"	GO:0030234	1	"Akt1"	0.3
"enzyme regulator activity"	GO:0030234	1	"Alox5ap"	0.3
"enzyme regulator activity"	GO:0030234	1	"Als2"	-1.1
"enzyme regulator activity"	GO:0030234	1	"Als2cl"	0.1
"enzyme regulator activity"	GO:0030234	1	"Angptl4"	-0.4
"enzyme regulator activity"	GO:0030234	1	"Ankrd27"	-0.7
"enzyme regulator activity"	GO:0030234	1	"Ankrd54"	0.3
"enzyme regulator activity"	GO:0030234	1	"Anp32e"	-0.4
"enzyme regulator activity"	GO:0030234	1	"Anxa1"	0.1
"enzyme regulator activity"	GO:0030234	1	"Anxa2"	0.4
"enzyme regulator activity"	GO:0030234	1	"Anxa3"	0.4
"enzyme regulator activity"	GO:0030234	1	"Apaf1"	-0.3
"enzyme regulator activity"	GO:0030234	1	"Apba3"	0
"enzyme regulator activity"	GO:0030234	1	"Apc"	0.4
"enzyme regulator activity"	GO:0030234	1	"Apoa1"	0.1
"enzyme regulator activity"	GO:0030234	1	"Apobec1"	0.3
"enzyme regulator activity"	GO:0030234	1	"Apoc3"	0.2
"enzyme regulator activity"	GO:0030234	1	"Apoe"	2.6
"enzyme regulator activity"	GO:0030234	1	"Apoh"	0.1
"enzyme regulator activity"	GO:0030234	1	"App"	-0.1
"enzyme regulator activity"	GO:0030234	1	"Arap1"	1.7
"enzyme regulator activity"	GO:0030234	1	"Arap3"	1.1
"enzyme regulator activity"	GO:0030234	1	"Arfgap1"	-0.5
"enzyme regulator activity"	GO:0030234	1	"Arhgap1"	-0.1
"enzyme regulator activity"	GO:0030234	1	"Arhgap11a"	0.2
"enzyme regulator activity"	GO:0030234	1	"Arhgap12"	-0.8
"enzyme regulator activity"	GO:0030234	1	"Arhgap17"	0.3
"enzyme regulator activity"	GO:0030234	1	"Arhgap19"	-0.1
"enzyme regulator activity"	GO:0030234	1	"Arhgap20"	-1.2
"enzyme regulator activity"	GO:0030234	1	"Arhgap22"	0.1
"enzyme regulator activity"	GO:0030234	1	"Arhgap24"	0
"enzyme regulator activity"	GO:0030234	1	"Arhgap25"	1.7
"enzyme regulator activity"	GO:0030234	1	"Arhgap35"	-0.7
"enzyme regulator activity"	GO:0030234	1	"Arhgap36"	0
"enzyme regulator activity"	GO:0030234	1	"Arhgap40"	0.1
"enzyme regulator activity"	GO:0030234	1	"Arhgap42"	-0.9
"enzyme regulator activity"	GO:0030234	1	"Arhgap5"	-1
"enzyme regulator activity"	GO:0030234	1	"Arhgap6"	0.1
"enzyme regulator activity"	GO:0030234	1	"Arhgdia"	0.9
"enzyme regulator activity"	GO:0030234	1	"Arhgdib"	1.7
"enzyme regulator activity"	GO:0030234	1	"Arhgdig"	-0.2
"enzyme regulator activity"	GO:0030234	1	"Arhgef1"	-0.2
"enzyme regulator activity"	GO:0030234	1	"Arhgef12"	-0.9
"enzyme regulator activity"	GO:0030234	1	"Arhgef15"	0.3
"enzyme regulator activity"	GO:0030234	1	"Arhgef19"	0.7
"enzyme regulator activity"	GO:0030234	1	"Arl1"	0.3
"enzyme regulator activity"	GO:0030234	1	"Arl2bp"	0.1
"enzyme regulator activity"	GO:0030234	1	"Arpp19"	-0.1
"enzyme regulator activity"	GO:0030234	1	"Arrb1"	-0.3
"enzyme regulator activity"	GO:0030234	1	"Asap1"	-3.3
"enzyme regulator activity"	GO:0030234	1	"Asap2"	-1
"enzyme regulator activity"	GO:0030234	1	"Asap3"	3.1
"enzyme regulator activity"	GO:0030234	1	"Atp1b1"	-0.9
"enzyme regulator activity"	GO:0030234	1	"Atp7a"	-0.2
"enzyme regulator activity"	GO:0030234	1	"Atpif1"	0.7
"enzyme regulator activity"	GO:0030234	1	"Avp"	0.3
"enzyme regulator activity"	GO:0030234	1	"Axin1"	0.8
"enzyme regulator activity"	GO:0030234	1	"Axin2"	-0.7
"enzyme regulator activity"	GO:0030234	1	"Azin1"	-0.7
"enzyme regulator activity"	GO:0030234	1	"Azin2"	0.4
"enzyme regulator activity"	GO:0030234	1	"B3gat3"	1.3
"enzyme regulator activity"	GO:0030234	1	"Bad"	1.7
"enzyme regulator activity"	GO:0030234	1	"BC048546"	0.6
"enzyme regulator activity"	GO:0030234	1	"Bcas3"	0.4
"enzyme regulator activity"	GO:0030234	1	"Bccip"	0.5
