"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
221 0.814933981964169 2 10 "GO:0000030" "mannosyltransferase activity" 0.922708131840998
-2424 0.031313903833536 6 7 "GO:0000182" "rDNA binding" 0.209345761583752
155 0.83023780912403 6 17 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.933821354307746
-192 0.490373885147558 5 116 "GO:0000287" "magnesium ion binding" 0.763802255661772
-727 0.58499358382605 5 5 "GO:0000339" "RNA cap binding" 0.814201596202339
-3171 0.0172642610334333 6 5 "GO:0000832;GO:0000828;GO:0052723" "inositol hexakisphosphate 1-kinase activity" 0.155639929013527
-1727 0.155429948831236 2 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.475479792054424
42 0.785590876132019 2 380 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.912942522067483
227 0.287109763450048 2 198 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.613488486677766
793 0.0531395877716681 8 53 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.285068247095271
885 0.0227833969580116 2 59 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.178351141372536
269 0.0534750613874532 2 480 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.285360193054122
328 0.061628097242142 3 296 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.299553946249043
-545 0.464583999307908 3 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.741092438574277
-480 0.00174358304522691 2 392 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.0414972764764005
-533 0.689225591874011 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 0.868833108400501
-1277 0.0771142070320846 2 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.33737465576537
-2037 0.0938277540759216 2 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 0.373428185118216
-1089 0.370362382197562 2 6 "GO:0001025" "RNA polymerase III transcription factor binding" 0.679092811733588
262 0.400971293853343 2 92 "GO:0001046" "core promoter sequence-specific DNA binding" 0.697596256850114
-102 0.692062408914904 2 135 "GO:0001047" "core promoter binding" 0.869652325586188
-286 0.799296620246784 7 7 "GO:0001055" "RNA polymerase II activity" 0.918998046467317
354 0.706764151558275 2 10 "GO:0001056" "RNA polymerase III activity" 0.879702759574281
-1405 0.247930443228901 2 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 0.588043942354017
-775 0.00682763127977516 3 109 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.0923281957151414
361 0.0896961195260757 5 200 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.360992933357539
455 0.12668749568463 2 101 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.438250348443924
84 0.779547054364787 4 99 "GO:0001085" "RNA polymerase II transcription factor binding" 0.907691775630231
-1619 0.102900649090551 2 9 "GO:0001091;GO:0001094" "RNA polymerase II basal transcription factor binding" 0.396284053131895
-1552 0.0107298864912703 2 24 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.116077862951015
129 0.800318488515147 2 34 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.919284750321453
-468 0.493167872645378 2 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.766228720425226
-1057 0.00433719902004433 4 65 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.0759009828507758
-643 0.230124335583291 2 31 "GO:0001105" "RNA polymerase II transcription coactivator activity" 0.577738310852566
-1305 0.0447920116833715 2 21 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.252618454517593
-154 0.857627599794498 3 12 "GO:0001134" "transcription factor recruiting transcription factor activity" 0.944892919163771
-1614 0.125348921010066 2 8 "GO:0001135" "RNA polymerase II transcription factor recruiting transcription factor activity" 0.436155602344966
669 0.0414091551403937 2 83 "GO:0001158;GO:0035326" "enhancer binding" 0.240375095693017
-303 0.735559510371899 3 11 "GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 0.890878572516438
-827 0.432277015175866 3 8 "GO:0001162" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.719454053229763
-1237 0.212781831549161 6 9 "GO:0001164;GO:0001163;GO:0001013" "RNA polymerase I regulatory region DNA binding" 0.554653751090846
-77 0.865487109182703 2 43 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.949779548868634
-910 0.0892812620595985 2 31 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.360992933357539
1378 0.0235303606684775 2 24 "GO:0001205" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.178351141372536
-218 0.835764052146698 5 8 "GO:0001206" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.935898546249755
-359 0.531574531001388 3 27 "GO:0001221" "transcription cofactor binding" 0.787126939901908
-966 0.305312815929876 2 10 "GO:0001222" "transcription corepressor binding" 0.622294948768303
221 0.814645237118871 2 10 "GO:0001223" "transcription coactivator binding" 0.922708131840998
234 0.340880193157907 2 149 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.658947383081942
348 0.0565361880486273 3 273 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.287513093067805
806 0.54497562497156 3 5 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.787803167269291
2108 0.113519317919098 2 5 "GO:0001530" "lipopolysaccharide binding" 0.41565534868839
-2058 0.122199301980185 2 5 "GO:0001540" "beta-amyloid binding" 0.432789194513155
495 0.0231031218714275 2 190 "GO:0001664" "G-protein coupled receptor binding" 0.178351141372536
374 0.778957292144638 3 5 "GO:0001665" "alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity" 0.907691775630231
-56 0.966741021265228 3 5 "GO:0001671" "ATPase activator activity" 0.992845535056896
-378 0.776710720527789 2 5 "GO:0001727" "lipid kinase activity" 0.907637580687968
1671 0.169386305122686 2 6 "GO:0001784" "phosphotyrosine binding" 0.492835459892412
246 0.741411583110401 3 16 "GO:0001786" "phosphatidylserine binding" 0.892995732693702
879 0.469789109689685 3 6 "GO:0001848" "complement binding" 0.747391765415408
492 0.159221513448803 2 73 "GO:0001948" "glycoprotein binding" 0.481020963249193
-367 0.611478763549111 2 17 "GO:0001965" "G-protein alpha-subunit binding" 0.829063726529668
397 0.561528705435569 2 19 "GO:0001968" "fibronectin binding" 0.801073684389622
960 0.0215790060792526 2 51 "GO:0002020" "protease binding" 0.175883679687059
-349 0.412772730884981 2 49 "GO:0002039" "p53 binding" 0.705790309834924
2174 0.102567688627789 3 5 "GO:0002054" "nucleobase binding" 0.396284053131895
-851 0.391178848679007 3 9 "GO:0002161" "aminoacyl-tRNA editing activity" 0.691683253979225
-2737 0.0243740913694352 3 6 "GO:0002162" "dystroglycan binding" 0.182422444840427
-787 0.118612353946597 2 35 "GO:0003678" "DNA helicase activity" 0.425874677695248
-768 0.527735620899232 2 6 "GO:0003680" "AT DNA binding" 0.787126939901908
-554 0.000108292140450612 2 453 "GO:0003682" "chromatin binding" 0.00613655462553468
-463 0.272184603308576 3 50 "GO:0003684" "damaged DNA binding" 0.5983438440837
-1423 0.151676422919746 2 9 "GO:0003688" "DNA replication origin binding" 0.469417510532987
145 0.890199771733076 4 8 "GO:0003689;GO:0033170" "protein-DNA loading ATPase activity" 0.957809880978626
346 0.198817912077679 2 124 "GO:0003690" "double-stranded DNA binding" 0.532830201543824
-313 0.765958118938241 2 8 "GO:0003691" "double-stranded telomeric DNA binding" 0.904612898480297
-146 0.6649904335695 6 79 "GO:0003697" "single-stranded DNA binding" 0.851093792673466
-128 0.249623584257484 2 770 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.588043942354017
967 0.00452588516216221 4 77 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.0769400477567576
-33 0.939247507723018 2 47 "GO:0003707;GO:0004879;GO:0098531" "steroid hormone receptor activity" 0.984761704132503
