"","pval","direction","color","enriched"
"2/20 proteasome core complex",0.0387039680252808,1,"firebrick1","DISS"
"61/675 nucleolus",0.0308192399861824,0,"dodgerblue2","HOMO"
"60/208 ribosome",1.03923003616961e-15,1,"firebrick1","DISS"
"35/106 large ribosomal subunit",5.20036142829748e-12,1,"firebrick1","DISS"
"33/53 cytosolic large ribosomal subunit",1.00125512171496e-15,1,"firebrick1","DISS"
"22/68 small ribosomal subunit",6.2015533606904e-11,1,"firebrick1","DISS"
"20/41 cytosolic small ribosomal subunit",7.89255027934756e-14,1,"firebrick1","DISS"
"11/153 ubiquitin ligase complex",0.00652694018190218,0,"dodgerblue2","HOMO"
"4/15 protein serine/threonine phosphatase complex",0.0224300148010144,0,"dodgerblue2","HOMO"
"20/303 transferase complex",3.85080892710173e-05,0,"dodgerblue2","HOMO"
"5/63 protein acetyltransferase complex",0.0461626791733514,0,"dodgerblue2","HOMO"
"55/645 catalytic complex",0.00125081943292913,0,"dodgerblue2","HOMO"
"9/74 methyltransferase complex",7.69170051451115e-05,0,"dodgerblue2","HOMO"
"1/10 Set1C/COMPASS complex",0.0224300148010144,0,"dodgerblue2","HOMO"
"2/59 protein kinase complex",0.00652694018190218,0,"dodgerblue2","HOMO"
"1/8 IkappaB kinase complex",0.0302521276052983,0,"dodgerblue2","HOMO"
"63/194 cytosolic part",3.5693362454969e-13,1,"firebrick1","DISS"
"6/112 chromosome, telomeric region",0.0342672031650015,0,"dodgerblue2","HOMO"
"36/360 nuclear chromosome part",0.0149543329888061,0,"dodgerblue2","HOMO"
"1/14 Sin3-type complex",0.0221166531820728,0,"dodgerblue2","HOMO"
"1/18 centromeric heterochromatin",0.0221166531820728,0,"dodgerblue2","HOMO"
"31/262 chromatin",0.00652694018190218,0,"dodgerblue2","HOMO"
"3/71 heterochromatin",0.0279500866258337,0,"dodgerblue2","HOMO"
"18/331 chromosome",1.91284946540506e-05,0,"dodgerblue2","HOMO"
"4/76 chromosome, centromeric region",0.0224300148010144,0,"dodgerblue2","HOMO"
"53/592 chromosomal part",4.22234829462182e-05,0,"dodgerblue2","HOMO"
"5/46 transcription elongation factor complex",0.0221166531820728,0,"dodgerblue2","HOMO"
"4/71 PML body",0.00125081943292913,0,"dodgerblue2","HOMO"
"38/529 nucleoplasm part",6.34604672606895e-14,0,"dodgerblue2","HOMO"
"2/14 mRNA cleavage and polyadenylation specificity factor complex",0.0382102378725031,0,"dodgerblue2","HOMO"
"2/19 mRNA cleavage factor complex",0.0401958722829441,0,"dodgerblue2","HOMO"
"6/99 nuclear speck",0.0301357327935738,0,"dodgerblue2","HOMO"
"1/34 Cajal body",0.0267752393444487,0,"dodgerblue2","HOMO"
"16/238 nuclear body",6.30668545634038e-09,0,"dodgerblue2","HOMO"
"122/957 extracellular space",3.35573142352783e-14,1,"firebrick1","DISS"
"101/985 extracellular region",4.12205374632126e-15,1,"firebrick1","DISS"
"23/247 proteinaceous extracellular matrix",0.000995216277548268,1,"firebrick1","DISS"
"51/384 extracellular matrix",1.24672041287511e-08,1,"firebrick1","DISS"
"113/1046 Golgi apparatus",0.000688314674390486,0,"dodgerblue2","HOMO"
