name	term	lev	seq	value
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Ash1l"	0
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Ash2l"	-0.7
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Cxxc1"	-0.3
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Dpy30"	-1.7
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Kmt2a"	0.3
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Kmt2b"	0.5
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Kmt2c"	0.2
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Kmt2e"	0.5
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Prdm9"	0.2
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Rbbp5"	-1.6
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Setd1a"	0.3
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Setd3"	0
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Wdr5"	-0.5
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Wdr82"	0.2
"histone methyltransferase activity (H3-K4 specific)"	GO:0042800	2	"Whsc1l1"	-0.1
"growth factor receptor binding"	GO:0070851	4	"Adam17"	1.1
"growth factor receptor binding"	GO:0070851	4	"Angpt1"	-0.2
"growth factor receptor binding"	GO:0070851	4	"Angpt2"	0.1
"growth factor receptor binding"	GO:0070851	4	"App"	0.1
"growth factor receptor binding"	GO:0070851	4	"Arf4"	-0.8
"growth factor receptor binding"	GO:0070851	4	"Artn"	0
"growth factor receptor binding"	GO:0070851	4	"Atxn2"	0.2
"growth factor receptor binding"	GO:0070851	4	"Cd2ap"	0.1
"growth factor receptor binding"	GO:0070851	4	"Cd300lf"	-0.5
"growth factor receptor binding"	GO:0070851	4	"Cd44"	-0.4
"growth factor receptor binding"	GO:0070851	4	"Ceacam1"	-0.2
"growth factor receptor binding"	GO:0070851	4	"Cntf"	0
"growth factor receptor binding"	GO:0070851	4	"Dab2ip"	0.7
"growth factor receptor binding"	GO:0070851	4	"Ecm1"	-0.3
"growth factor receptor binding"	GO:0070851	4	"Efemp1"	-1.6
"growth factor receptor binding"	GO:0070851	4	"Egf"	-0.1
"growth factor receptor binding"	GO:0070851	4	"Erap1"	0.8
"growth factor receptor binding"	GO:0070851	4	"Erbb4"	2.8
"growth factor receptor binding"	GO:0070851	4	"Ern1"	0
